geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
34884,-21.935184,-57.874484,manaus,AM
70469,-26.673509,-61.81205,jaboatao dos guararapes,PE
70762,-1.464047,-55.835473,niteroi,RJ
33562,-3.408217,-37.361987,rio branco,AC
61520,-17.284746,-55.866338,palmas,TO
87373,1.071465,-38.959794,joinville,SC
42778,-20.685158,-48.354096,campo grande,MS
26193,-29.534733,-46.163385,palmas,TO
21181,-13.094942,-58.40468,nossa senhora do socorro,SE
59634,-12.086856,-71.331569,macapa,AP
84120,0.109605,-40.218446,joinville,SC
33444,-3.772042,-71.050201,florianopolis,SC
68491,-22.02634,-66.133551,jaboatao dos guararapes,PE
10463,-9.342708,-63.381783,curitiba,PR
75358,-12.346956,-72.781479,dourados,MS
38426,-10.623232,-54.922944,sao luis,MA
20407,-10.15377,-72.750225,varzea grande,MT
91233,-9.111854,-41.835387,mossoro,RN
34227,-27.366266,-48.175479,salvador,BA
14250,-7.654131,-41.155451,niteroi,RJ
21495,-31.136808,-57.155637,jaboatao dos guararapes,PE
98092,-22.193539,-47.884865,florianopolis,SC
69682,-4.525277,-59.312831,palmas,TO
49229,-20.73277,-38.893869,rio de janeiro,RJ
66010,-0.954234,-70.532817,boa vista,RR
25993,-6.604461,-62.572095,sao luis,MA
78766,-25.025876,-65.056063,campina grande,PB
84890,-5.270316,-49.098813,rio de janeiro,RJ
89269,2.487884,-35.521419,contagem,MG
89802,-0.783677,-63.132919,jaboatao dos guararapes,PE
27001,-9.656981,-54.136917,arapiraca,AL
74553,-2.296746,-39.42078,rio branco,AC
35369,-32.939925,-72.088502,brasilia,DF
37175,-2.616555,-35.038494,aracaju,SE
53750,-19.713298,-42.370346,cuiaba,MT
93967,-25.354889,-62.298185,salvador,BA
50340,-21.589208,-52.100243,macapa,AP
24920,-6.93824,-60.02826,manaus,AM
33020,-25.627408,-41.314639,rio branco,AC
72193,-2.704333,-48.465216,ji-parana,RO
92208,-15.496518,-40.121475,sao luis,MA
64257,2.256019,-70.871153,caucaia,CE
84048,-5.451362,-61.010892,campina grande,PB
37297,-11.05889,-60.394667,natal,RN
18678,3.845305,-62.342519,macapa,AP
59183,-9.192588,-40.988581,santos,SP
34560,-10.382709,-40.14544,arapiraca,AL
51222,-6.026079,-62.683098,manaus,AM
41148,-18.879824,-41.480616,contagem,MG
78825,-21.511905,-68.735212,recife,PE
36489,1.707446,-56.136584,macapa,AP
75543,-27.145044,-60.075596,sorocaba,SP
52904,-27.554788,-39.871639,imperatriz,MA
36894,-5.466316,-55.544,boa vista,RR
10538,-21.18271,-71.326861,palmas,TO
53684,-15.258716,-71.246689,teresina,PI
12946,-11.052726,-61.13857,campina grande,PB
36287,-25.683266,-62.487318,feira de santana,BA
97965,-28.529268,-67.325813,caucaia,CE
11999,3.415326,-51.734221,goiania,GO
81110,-19.687911,-60.897573,porto alegre,RS
47128,-11.184848,-66.491551,maringa,PR
80854,-16.14139,-68.057188,jaboatao dos guararapes,PE
23884,-18.423214,-69.727456,sao luis,MA
88134,0.868484,-49.080114,vitoria,ES
90781,-19.486276,-60.37138,araguaina,TO
97932,-2.246607,-70.015267,vitoria da conquista,BA
84421,-27.991779,-42.111661,manaus,AM
22748,-15.687802,-46.989837,araguaina,TO
71675,-24.19562,-64.495811,araguaina,TO
57638,-18.101077,-46.414644,parnaiba,PI
52567,-15.775243,-71.849963,ji-parana,RO
56064,-14.811221,-40.860882,sao luis,MA
89225,-11.162226,-53.697913,jaboatao dos guararapes,PE
24022,-20.61695,-48.320846,serra,ES
79828,-15.482956,-50.559634,macapa,AP
81820,-26.957229,-54.669763,brasilia,DF
37294,-2.071203,-50.543132,juiz de fora,MG
84345,-3.081583,-52.307979,macapa,AP
96849,-7.555003,-44.904052,brasilia,DF
24984,-10.497801,-55.409479,araguaina,TO
68355,-26.305388,-36.676429,natal,RN
99850,-2.065465,-43.688952,belo horizonte,MG
74788,-8.490414,-70.663676,vila velha,ES
86122,1.323728,-48.826953,salvador,BA
96623,-27.329776,-52.812279,campinas,SP
85750,-16.007929,-65.184856,serra,ES
84747,-2.814827,-47.176761,caucaia,CE
21703,-10.856375,-49.763351,varzea grande,MT
26718,-0.604803,-70.628399,campina grande,PB
10110,-6.272543,-41.811375,natal,RN
46989,-0.104174,-64.060836,belem,PA
91948,-20.911162,-58.453995,araguaina,TO
81449,-24.973789,-66.410416,vila velha,ES
82800,-18.385388,-37.869682,curitiba,PR
30220,-22.038107,-39.836044,boa vista,RR
11520,-30.273652,-72.403104,curitiba,PR
96235,-16.404066,-35.37173,rio branco,AC
94180,-2.374219,-40.314195,uberlandia,MG
91690,-26.1677,-53.642233,macapa,AP
60425,-19.498325,-65.939941,mossoro,RN
85751,-14.070035,-45.225292,teresina,PI
63849,2.209449,-51.098611,araguaina,TO
84468,-14.635811,-58.994013,rio de janeiro,RJ
20494,-27.600676,-45.210859,arapiraca,AL
70940,-13.355917,-53.112442,manaus,AM
42142,-15.04684,-44.815928,teresina,PI
