order_id,payment_sequential,payment_type,payment_installments,payment_value
ORD000001,1,boleto,10,463.59
ORD000001,2,credit_card,1,644.97
ORD000002,1,credit_card,3,174.98
ORD000003,1,credit_card,3,849.68
ORD000004,1,credit_card,1,554.92
ORD000005,1,credit_card,1,1069.04
ORD000006,1,credit_card,6,469.69
ORD000007,1,debit_card,10,689.34
ORD000008,1,boleto,1,67.2
ORD000009,1,credit_card,1,1398.57
ORD000010,1,credit_card,2,782.43
ORD000011,1,credit_card,10,716.66
ORD000012,1,boleto,10,926.42
ORD000013,1,credit_card,1,280.57
ORD000013,2,credit_card,6,637.62
ORD000014,1,credit_card,3,825.61
ORD000015,1,credit_card,10,625.38
ORD000016,1,voucher,3,1330.83
ORD000017,1,credit_card,1,87.01
ORD000017,2,debit_card,1,82.99
ORD000018,1,boleto,1,554.67
ORD000019,1,credit_card,2,1233.37
ORD000020,1,boleto,1,819.79
ORD000021,1,voucher,2,400.14
ORD000021,2,credit_card,1,202.81
ORD000022,1,credit_card,1,1214.72
ORD000023,1,credit_card,2,78.61
ORD000023,2,credit_card,1,148.74
ORD000024,1,boleto,10,493.95
ORD000025,1,credit_card,6,318.01
ORD000025,2,credit_card,1,247.75
ORD000026,1,credit_card,2,85.64
ORD000027,1,boleto,3,350.69
ORD000028,1,credit_card,1,197.15
ORD000029,1,credit_card,1,263.13
ORD000030,1,credit_card,6,213.88
ORD000030,2,credit_card,1,340.74
ORD000031,1,debit_card,2,1450.39
ORD000032,1,credit_card,1,52.85
ORD000032,2,credit_card,6,62.26
ORD000033,1,credit_card,3,783.25
ORD000034,1,voucher,1,93.33
ORD000034,2,boleto,2,83.85
ORD000035,1,credit_card,2,2639.24
ORD000036,1,credit_card,2,1517.03
ORD000037,1,debit_card,10,883.44
ORD000038,1,debit_card,1,83.36
ORD000039,1,credit_card,2,581.3
ORD000040,1,credit_card,3,555.68
ORD000040,2,credit_card,6,240.36
ORD000041,1,credit_card,6,456.34
ORD000042,1,credit_card,2,606.85
ORD000043,1,credit_card,2,604.78
ORD000043,2,credit_card,10,289.31
ORD000044,1,debit_card,10,2451.93
ORD000045,1,credit_card,3,486.94
ORD000046,1,credit_card,1,814.05
ORD000047,1,credit_card,2,550.8
ORD000047,2,credit_card,10,313.44
ORD000048,1,credit_card,3,1179.52
ORD000049,1,credit_card,10,459.96
ORD000050,1,credit_card,10,250.35
ORD000051,1,credit_card,10,351.26
ORD000052,1,debit_card,2,249.87
ORD000053,1,boleto,10,170.49
ORD000054,1,credit_card,1,1892.58
ORD000055,1,credit_card,1,934.82
ORD000056,1,credit_card,10,939.26
ORD000057,1,boleto,1,988.13
