product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
PROD00001,computers,32,1132,3,2789,23,10,40
PROD00002,air_conditioning,20,1321,8,13803,72,29,90
PROD00003,fashion_bags_accessories,26,320,2,14092,48,40,26
PROD00004,perfumery,37,1816,8,15631,73,22,60
PROD00005,home_appliances,59,2436,7,375,76,78,30
PROD00006,furniture_decor,57,2469,3,10658,90,42,6
PROD00007,toys,44,704,8,10418,19,54,38
PROD00008,fashion_underwear_beach,15,1945,3,14773,86,76,17
PROD00009,sports_leisure,28,868,7,17944,26,78,53
PROD00010,baby,37,959,4,18951,6,49,51
PROD00011,health_beauty,34,1357,2,16405,88,60,57
PROD00012,fashion_shoes,37,1542,7,17193,47,16,27
PROD00013,books_general_interest,42,1628,3,18162,81,22,74
PROD00014,computers,39,1267,7,9331,94,14,16
PROD00015,watches_gifts,20,2760,1,13526,18,65,84
PROD00016,home_confort,21,2694,8,16544,79,6,90
PROD00017,office_furniture,41,967,4,14947,75,50,19
PROD00018,perfumery,45,609,6,15252,57,52,5
PROD00019,food_drink,29,2178,5,8819,89,35,44
PROD00020,fashion_shoes,58,1089,1,13634,9,3,8
PROD00021,toys,38,2225,6,11030,26,75,60
PROD00022,stationery,50,1703,4,12938,11,75,59
PROD00023,auto,55,1699,3,13259,45,68,25
PROD00024,computers,29,507,3,16573,20,75,55
PROD00025,fashion_bags_accessories,50,751,6,6726,16,13,8
PROD00026,computers,15,2675,3,961,84,71,15
PROD00027,signaling_and_security,39,203,3,14917,86,47,28
PROD00028,stationery,56,1008,5,6401,73,33,53
PROD00029,fashion_bags_accessories,57,311,5,2768,23,4,86
PROD00030,cine_photo,21,554,8,19576,20,15,23
PROD00031,office_furniture,31,839,2,2585,68,48,31
PROD00032,air_conditioning,21,2111,1,13607,14,64,85
PROD00033,furniture_decor,28,2915,7,12346,45,59,25
PROD00034,garden_tools,34,141,3,18639,85,79,9
PROD00035,telephony,36,1520,8,19710,74,2,25
PROD00036,fashion_underwear_beach,31,598,4,19911,8,70,7
PROD00037,fashion_underwear_beach,47,724,4,12006,19,29,8
PROD00038,construction_tools_construction,23,1000,2,4197,39,37,66
PROD00039,perfumery,20,1527,5,15354,100,65,60
PROD00040,small_appliances,40,890,5,5717,30,37,55
PROD00041,watches_gifts,52,2506,5,5478,31,64,60
PROD00042,furniture_bedroom,42,2542,5,10494,84,15,82
PROD00043,luggage_accessories,42,918,6,12303,85,10,62
PROD00044,cool_stuff,17,2194,5,19280,57,39,82
PROD00045,fashion_underwear_beach,37,1731,1,3806,28,43,59
PROD00046,garden_tools,37,1104,2,7101,89,49,52
PROD00047,toys,35,600,1,10489,93,3,47
PROD00048,baby,44,2424,6,7673,76,10,54
PROD00049,office_furniture,53,969,4,3422,76,37,82
PROD00050,furniture_decor,51,2747,7,14310,45,42,30
PROD00051,perfumery,18,2123,8,1583,40,55,20
PROD00052,telephony,43,800,6,19421,54,32,78
PROD00053,health_beauty,33,173,1,15181,41,18,56
PROD00054,sports_leisure,49,2260,1,11105,87,4,13
PROD00055,market_place,21,1800,5,9050,45,46,56
PROD00056,housewares,50,1382,8,1592,55,40,63
PROD00057,industry_commerce_and_business,56,597,6,3416,8,30,11
PROD00058,bed_bath_table,23,530,6,14326,33,23,16
PROD00059,perfumery,38,2301,1,1770,38,7,19
PROD00060,computers_accessories,34,407,5,10841,93,80,53
PROD00061,pet_shop,59,797,3,19168,63,17,21
PROD00062,construction_tools_construction,24,2492,7,14690,90,17,71
PROD00063,fashion_underwear_beach,30,2467,8,16109,40,43,66
PROD00064,electronics,20,1180,5,2763,50,73,36
PROD00065,baby,59,419,2,16257,12,29,6
PROD00066,baby,44,1677,4,16029,18,45,31
PROD00067,cine_photo,48,2205,6,10267,95,60,88
PROD00068,toys,47,532,3,7219,51,51,62
PROD00069,furniture_living_room,47,931,7,6208,13,37,59
PROD00070,cool_stuff,58,1358,2,4876,64,15,19
PROD00071,stationery,16,1987,3,8791,8,62,89
PROD00072,fashion_underwear_beach,43,1541,5,3927,75,12,50
PROD00073,computers,28,716,7,16505,60,67,47
PROD00074,computers_accessories,43,1216,6,3255,11,50,59
PROD00075,perfumery,33,875,7,5838,81,37,72
PROD00076,fashion_male_clothing,46,2224,7,3627,92,8,87
PROD00077,stationery,22,999,2,1791,9,75,39
PROD00078,stationery,19,2279,2,9076,33,53,55
PROD00079,air_conditioning,21,1000,5,16275,31,23,31
PROD00080,home_appliances,55,1279,5,151,17,25,69
PROD00081,furniture_living_room,45,1350,4,5628,45,10,26
PROD00082,garden_tools,36,1964,3,467,90,62,59
PROD00083,musical_instruments,16,827,5,2572,26,3,81
PROD00084,home_appliances,45,2488,1,16050,36,62,19
PROD00085,sports_leisure,16,2423,5,7530,72,66,26
PROD00086,toys,21,509,5,11049,62,64,49
PROD00087,home_confort,31,2817,8,8357,51,60,6
PROD00088,home_appliances,34,1466,8,3744,39,68,86
PROD00089,health_beauty,24,1780,4,4691,50,65,8
PROD00090,stationery,51,2950,7,11827,31,13,29
PROD00091,luggage_accessories,55,542,5,17905,62,69,27
PROD00092,fashion_bags_accessories,58,1528,6,12863,80,55,40
PROD00093,consoles_games,27,268,6,4079,60,60,77
PROD00094,home_appliances,33,551,1,16398,92,20,64
PROD00095,toys,48,1286,3,9999,67,38,13
PROD00096,office_furniture,15,1959,1,7171,41,77,20
PROD00097,computers_accessories,46,1352,1,14150,50,2,11
PROD00098,fashion_bags_accessories,23,1534,5,16499,90,73,24
PROD00099,housewares,60,1208,3,6496,60,76,15
PROD00100,office_furniture,29,231,8,11670,36,51,59
PROD00101,air_conditioning,21,1170,5,19613,44,24,77
PROD00102,computers,58,1420,3,6587,37,19,58
PROD00103,costruction_tools_garden,27,1333,5,2854,43,74,85
PROD00104,books_general_interest,49,851,7,14366,17,19,72
PROD00105,furniture_bedroom,59,1383,6,15397,50,56,64
PROD00106,fashion_shoes,41,1989,1,18364,8,55,16
PROD00107,auto,54,1338,4,19066,70,49,21
PROD00108,furniture_living_room,49,2416,5,1804,55,18,56
PROD00109,bed_bath_table,44,2221,8,1830,15,9,39
PROD00110,watches_gifts,36,2534,2,9571,77,63,47
PROD00111,computers_accessories,22,2494,1,6769,71,20,76
PROD00112,industry_commerce_and_business,23,1015,3,9909,85,41,5
PROD00113,industry_commerce_and_business,54,2917,4,3808,13,2,24
PROD00114,fashion_male_clothing,22,2229,2,8150,31,15,65
PROD00115,health_beauty,47,1917,7,1873,20,40,56
PROD00116,market_place,26,1062,5,14439,89,80,20
PROD00117,computers,24,2705,1,6105,23,32,26
PROD00118,small_appliances,59,2339,4,15652,66,39,42
PROD00119,watches_gifts,52,2119,6,9067,55,51,18
PROD00120,books_general_interest,41,1840,3,966,41,60,20
PROD00121,signaling_and_security,39,145,5,1166,87,58,10
PROD00122,home_appliances,23,2016,8,9123,6,22,50
PROD00123,small_appliances,47,963,6,17255,54,67,13
PROD00124,garden_tools,56,720,6,18503,48,60,22
PROD00125,pet_shop,57,1340,7,2285,87,63,53
PROD00126,market_place,53,2799,3,18925,95,66,89
PROD00127,fashion_underwear_beach,31,630,6,19345,79,46,79
PROD00128,furniture_living_room,40,376,1,1017,98,22,34
PROD00129,watches_gifts,57,535,8,15661,46,31,35
PROD00130,watches_gifts,26,1673,7,2159,12,80,37
PROD00131,telephony,17,398,8,12315,82,5,27
PROD00132,construction_tools_construction,21,2961,8,12424,22,75,76
PROD00133,perfumery,27,1134,8,14386,91,38,33
PROD00134,perfumery,25,1877,4,2868,79,5,85
PROD00135,watches_gifts,28,236,3,221,51,54,77
PROD00136,home_confort,19,1495,3,17356,68,26,31
PROD00137,signaling_and_security,45,2151,6,11731,84,73,22
PROD00138,furniture_decor,43,1851,7,2372,77,12,21
PROD00139,fashion_underwear_beach,34,513,2,16391,34,8,81
PROD00140,home_confort,36,192,4,9549,37,51,50
PROD00141,furniture_decor,25,1279,2,17561,78,32,71
PROD00142,furniture_living_room,47,1378,7,1906,74,16,79
PROD00143,market_place,31,2775,1,1107,48,55,38
PROD00144,perfumery,36,343,3,6742,75,44,89
PROD00145,computers_accessories,30,2121,2,18526,83,6,49
PROD00146,furniture_decor,41,2550,2,18119,66,18,39
PROD00147,sports_leisure,21,245,8,16683,33,46,60
PROD00148,market_place,34,1032,1,1863,8,27,73
PROD00149,fashion_male_clothing,39,2893,1,18154,66,8,54
PROD00150,luggage_accessories,59,612,7,14036,75,19,19
PROD00151,furniture_bedroom,22,2621,6,11577,29,45,60
PROD00152,computers_accessories,30,1050,2,19337,6,31,57
PROD00153,home_confort,51,287,1,8239,12,11,12
PROD00154,auto,43,839,5,1482,45,46,82
PROD00155,stationery,33,631,7,15736,89,17,89
PROD00156,furniture_decor,19,1124,4,16267,95,47,33
PROD00157,furniture_bedroom,60,1339,6,18118,42,33,72
PROD00158,pet_shop,35,2958,2,1819,49,54,84
PROD00159,industry_commerce_and_business,32,421,4,4543,71,31,44
PROD00160,costruction_tools_garden,28,602,6,4701,9,32,61
PROD00161,books_general_interest,22,187,8,1156,39,37,80
PROD00162,luggage_accessories,34,446,1,9195,83,51,68
PROD00163,health_beauty,39,1675,8,1505,33,28,53
