invoice_id,order_id,customer_id,invoice_date,due_date,amount,currency,payment_status
ARINV000001,ORD000001,CUST001861,2024-01-05 16:13:57,2024-02-04 16:13:57,1108.56,BRL,Paid
ARINV000002,ORD000002,CUST001830,2023-08-22 16:46:38,2023-09-21 16:46:38,174.98,BRL,Paid
ARINV000003,ORD000003,CUST001187,2023-09-19 21:58:37,2023-10-19 21:58:37,849.68,BRL,Paid
ARINV000004,ORD000004,CUST000303,2024-03-13 14:25:44,2024-04-12 14:25:44,554.92,BRL,Paid
ARINV000005,ORD000005,CUST001476,2024-06-08 13:35:52,2024-07-08 13:35:52,1069.04,BRL,Paid
ARINV000006,ORD000006,CUST000635,2024-07-05 17:54:48,2024-08-04 17:54:48,469.69,BRL,Paid
ARINV000007,ORD000007,CUST001243,2024-08-01 03:21:17,2024-08-31 03:21:17,689.34,BRL,Paid
ARINV000008,ORD000008,CUST000798,2023-06-12 18:41:45,2023-07-12 18:41:45,67.2,BRL,Cancelled
ARINV000009,ORD000009,CUST001293,2024-04-24 22:12:38,2024-05-24 22:12:38,1398.57,BRL,Paid
ARINV000010,ORD000010,CUST000890,2023-10-11 16:57:22,2023-11-10 16:57:22,782.43,BRL,Paid
ARINV000011,ORD000011,CUST001231,2023-03-16 06:36:52,2023-04-15 06:36:52,716.66,BRL,Paid
ARINV000012,ORD000012,CUST001213,2023-01-22 14:37:00,2023-02-21 14:37:00,926.42,BRL,Paid
ARINV000013,ORD000013,CUST000171,2023-01-20 00:18:39,2023-02-19 00:18:39,918.19,BRL,Paid
ARINV000014,ORD000014,CUST001658,2024-08-21 11:53:30,2024-09-20 11:53:30,825.61,BRL,Paid
ARINV000015,ORD000015,CUST000455,2023-12-30 21:00:09,2024-01-29 21:00:09,625.38,BRL,Paid
ARINV000016,ORD000016,CUST000710,2023-04-14 00:57:17,2023-05-14 00:57:17,1330.83,BRL,Paid
ARINV000017,ORD000017,CUST000207,2023-03-12 11:55:20,2023-04-11 11:55:20,170.0,BRL,Cancelled
ARINV000018,ORD000018,CUST000830,2023-07-26 11:01:45,2023-08-25 11:01:45,554.67,BRL,Paid
ARINV000019,ORD000019,CUST000758,2023-01-28 04:59:57,2023-02-27 04:59:57,1233.37,BRL,Cancelled
ARINV000020,ORD000020,CUST001368,2024-01-20 00:55:32,2024-02-19 00:55:32,819.79,BRL,Paid
ARINV000021,ORD000021,CUST000123,2023-02-20 16:16:04,2023-03-22 16:16:04,602.95,BRL,Paid
ARINV000022,ORD000022,CUST000185,2024-08-27 04:32:18,2024-09-26 04:32:18,1214.72,BRL,Paid
ARINV000023,ORD000023,CUST000602,2023-05-05 05:55:49,2023-06-04 05:55:49,227.35,BRL,Paid
ARINV000024,ORD000024,CUST000123,2023-11-21 15:06:51,2023-12-21 15:06:51,493.95,BRL,Paid
ARINV000025,ORD000025,CUST000362,2023-09-19 18:31:20,2023-10-19 18:31:20,565.76,BRL,Paid
ARINV000026,ORD000026,CUST001003,2024-03-06 14:34:29,2024-04-05 14:34:29,85.64,BRL,Paid
ARINV000027,ORD000027,CUST000242,2024-01-05 11:17:09,2024-02-04 11:17:09,350.69,BRL,Paid
ARINV000028,ORD000028,CUST001534,2023-08-23 03:04:29,2023-09-22 03:04:29,197.15,BRL,Open
ARINV000029,ORD000029,CUST001478,2024-10-24 11:46:11,2024-11-23 11:46:11,263.13,BRL,Paid
ARINV000030,ORD000030,CUST000379,2023-05-12 18:52:56,2023-06-11 18:52:56,554.62,BRL,Paid
ARINV000031,ORD000031,CUST001202,2023-03-04 21:42:25,2023-04-03 21:42:25,1450.39,BRL,Paid
ARINV000032,ORD000032,CUST001623,2024-01-16 22:29:04,2024-02-15 22:29:04,115.11,BRL,Paid
ARINV000033,ORD000033,CUST001711,2024-06-15 05:30:41,2024-07-15 05:30:41,783.25,BRL,Paid
ARINV000034,ORD000034,CUST001359,2023-06-16 01:05:29,2023-07-16 01:05:29,177.18,BRL,Paid
ARINV000035,ORD000035,CUST000554,2023-09-29 22:38:35,2023-10-29 22:38:35,2639.24,BRL,Paid
ARINV000036,ORD000036,CUST000194,2023-02-05 05:15:19,2023-03-07 05:15:19,1517.03,BRL,Cancelled
ARINV000037,ORD000037,CUST001031,2024-07-06 13:43:38,2024-08-05 13:43:38,883.44,BRL,Paid
ARINV000038,ORD000038,CUST001709,2023-04-13 00:32:38,2023-05-13 00:32:38,83.36,BRL,Open
ARINV000039,ORD000039,CUST001472,2023-04-26 17:19:09,2023-05-26 17:19:09,581.3,BRL,Paid
ARINV000040,ORD000040,CUST000714,2024-09-09 23:11:13,2024-10-09 23:11:13,796.04,BRL,Paid
ARINV000041,ORD000041,CUST001473,2023-11-27 23:53:52,2023-12-27 23:53:52,456.34,BRL,Paid
ARINV000042,ORD000042,CUST001003,2024-05-04 17:56:32,2024-06-03 17:56:32,606.85,BRL,Paid
ARINV000043,ORD000043,CUST000371,2024-06-11 04:43:34,2024-07-11 04:43:34,894.09,BRL,Paid
ARINV000044,ORD000044,CUST001762,2023-04-08 14:42:11,2023-05-08 14:42:11,2451.93,BRL,Paid
ARINV000045,ORD000045,CUST001526,2023-09-14 06:43:19,2023-10-14 06:43:19,486.94,BRL,Paid
ARINV000046,ORD000046,CUST000675,2024-11-15 21:30:35,2024-12-15 21:30:35,814.05,BRL,Paid
ARINV000047,ORD000047,CUST000810,2023-12-02 15:21:55,2024-01-01 15:21:55,864.24,BRL,Paid
ARINV000048,ORD000048,CUST001419,2024-01-30 23:00:21,2024-02-29 23:00:21,1179.52,BRL,Paid
ARINV000049,ORD000049,CUST001442,2024-10-11 01:14:31,2024-11-10 01:14:31,459.96,BRL,Paid
ARINV000050,ORD000050,CUST001166,2023-11-27 00:25:35,2023-12-27 00:25:35,250.35,BRL,Paid
ARINV000051,ORD000051,CUST001876,2024-02-20 16:27:38,2024-03-21 16:27:38,351.26,BRL,Paid
ARINV000052,ORD000052,CUST000656,2024-07-12 16:00:53,2024-08-11 16:00:53,249.87,BRL,Paid
ARINV000053,ORD000053,CUST001291,2023-12-12 12:16:44,2024-01-11 12:16:44,170.49,BRL,Paid
ARINV000054,ORD000054,CUST000692,2023-12-16 17:44:38,2024-01-15 17:44:38,1892.58,BRL,Paid
ARINV000055,ORD000055,CUST001082,2024-06-15 09:34:14,2024-07-15 09:34:14,934.82,BRL,Paid
ARINV000056,ORD000056,CUST001181,2024-07-10 04:35:44,2024-08-09 04:35:44,939.26,BRL,Paid
ARINV000057,ORD000057,CUST001917,2024-12-30 10:45:59,2025-01-29 10:45:59,988.13,BRL,Paid
ARINV000058,ORD000058,CUST000374,2024-07-20 03:01:14,2024-08-19 03:01:14,1423.42,BRL,Open
ARINV000059,ORD000059,CUST001078,2024-02-12 18:36:05,2024-03-13 18:36:05,722.71,BRL,Paid
ARINV000060,ORD000060,CUST000210,2023-07-23 12:53:11,2023-08-22 12:53:11,549.98,BRL,Paid
ARINV000061,ORD000061,CUST001995,2024-06-21 01:42:39,2024-07-21 01:42:39,86.62,BRL,Paid
ARINV000062,ORD000062,CUST000010,2024-12-11 19:19:42,2025-01-10 19:19:42,1567.52,BRL,Paid
ARINV000063,ORD000063,CUST000643,2024-10-12 23:05:40,2024-11-11 23:05:40,510.42,BRL,Cancelled
ARINV000064,ORD000064,CUST001792,2024-07-07 22:11:50,2024-08-06 22:11:50,1315.09,BRL,Paid
ARINV000065,ORD000065,CUST000157,2023-10-31 14:11:28,2023-11-30 14:11:28,548.47,BRL,Cancelled
ARINV000066,ORD000066,CUST001343,2024-05-02 17:02:22,2024-06-01 17:02:22,891.98,BRL,Paid
ARINV000067,ORD000067,CUST000233,2023-09-15 20:14:04,2023-10-15 20:14:04,1536.23,BRL,Open
ARINV000068,ORD000068,CUST001412,2023-03-02 14:56:28,2023-04-01 14:56:28,825.45,BRL,Paid
ARINV000069,ORD000069,CUST000470,2024-02-05 05:48:18,2024-03-06 05:48:18,1197.89,BRL,Paid
ARINV000070,ORD000070,CUST001835,2023-12-25 02:34:04,2024-01-24 02:34:04,305.17,BRL,Paid
ARINV000071,ORD000071,CUST000064,2024-08-22 05:31:42,2024-09-21 05:31:42,2114.33,BRL,Paid
ARINV000072,ORD000072,CUST001776,2023-01-12 23:11:00,2023-02-11 23:11:00,434.34,BRL,Paid
ARINV000073,ORD000073,CUST000884,2023-08-26 15:57:25,2023-09-25 15:57:25,83.87,BRL,Paid
ARINV000074,ORD000074,CUST000394,2023-06-07 02:33:47,2023-07-07 02:33:47,1185.0,BRL,Cancelled
ARINV000075,ORD000075,CUST000656,2023-10-06 01:29:30,2023-11-05 01:29:30,427.86,BRL,Paid
ARINV000076,ORD000076,CUST001681,2024-03-12 21:17:54,2024-04-11 21:17:54,336.32,BRL,Paid
ARINV000077,ORD000077,CUST000847,2023-10-26 08:10:43,2023-11-25 08:10:43,203.68,BRL,Paid
ARINV000078,ORD000078,CUST001371,2023-09-05 18:00:19,2023-10-05 18:00:19,902.91,BRL,Paid
ARINV000079,ORD000079,CUST000855,2024-10-15 03:49:47,2024-11-14 03:49:47,1305.37,BRL,Cancelled
ARINV000080,ORD000080,CUST001661,2023-09-15 23:18:40,2023-10-15 23:18:40,555.9,BRL,Open
ARINV000081,ORD000081,CUST001893,2024-01-01 03:01:31,2024-01-31 03:01:31,555.04,BRL,Paid
ARINV000082,ORD000082,CUST001780,2024-05-21 08:03:37,2024-06-20 08:03:37,618.73,BRL,Paid
ARINV000083,ORD000083,CUST000873,2024-07-28 22:05:13,2024-08-27 22:05:13,45.38,BRL,Paid
ARINV000084,ORD000084,CUST001498,2024-11-14 13:55:46,2024-12-14 13:55:46,122.26,BRL,Paid
ARINV000085,ORD000085,CUST001132,2024-08-12 03:27:20,2024-09-11 03:27:20,522.91,BRL,Open
ARINV000086,ORD000086,CUST000941,2024-02-08 01:27:05,2024-03-09 01:27:05,651.38,BRL,Paid
ARINV000087,ORD000087,CUST001582,2023-02-08 14:30:57,2023-03-10 14:30:57,809.67,BRL,Paid
ARINV000088,ORD000088,CUST000990,2024-11-16 00:56:00,2024-12-16 00:56:00,610.73,BRL,Paid
ARINV000089,ORD000089,CUST000782,2023-04-12 10:38:29,2023-05-12 10:38:29,902.54,BRL,Cancelled
ARINV000090,ORD000090,CUST000965,2024-04-12 09:13:48,2024-05-12 09:13:48,613.34,BRL,Paid
ARINV000091,ORD000091,CUST001436,2023-10-11 16:14:19,2023-11-10 16:14:19,578.55,BRL,Paid
ARINV000092,ORD000092,CUST000958,2023-06-14 07:37:23,2023-07-14 07:37:23,215.7,BRL,Paid
ARINV000093,ORD000093,CUST000134,2023-12-23 06:15:51,2024-01-22 06:15:51,185.59,BRL,Cancelled
ARINV000094,ORD000094,CUST001266,2023-12-27 22:26:33,2024-01-26 22:26:33,1537.61,BRL,Paid
ARINV000095,ORD000095,CUST001444,2023-04-14 03:17:33,2023-05-14 03:17:33,990.3,BRL,Paid
ARINV000096,ORD000096,CUST000222,2024-01-27 07:21:36,2024-02-26 07:21:36,379.51,BRL,Paid
