position_id,position_title,department_id
POS0001,Senior Analyst - Sales,DEPT001
POS0002,Manager - Sales,DEPT001
POS0003,Team Lead - Sales,DEPT001
POS0004,Supervisor - Sales,DEPT001
POS0005,Analyst - Procurement,DEPT002
POS0006,Senior Analyst - Procurement,DEPT002
POS0007,Executive - Finance,DEPT003
POS0008,Senior Analyst - Finance,DEPT003
POS0009,Coordinator - Finance,DEPT003
POS0010,Manager - Finance,DEPT003
POS0011,Senior Analyst - Production,DEPT004
POS0012,Associate - Production,DEPT004
POS0013,Executive - Warehouse,DEPT005
POS0014,Manager - Warehouse,DEPT005
POS0015,Associate - HR,DEPT006
POS0016,Executive - HR,DEPT006
POS0017,Coordinator - HR,DEPT006
POS0018,Senior Analyst - HR,DEPT006
POS0019,Supervisor - IT,DEPT007
POS0020,Team Lead - IT,DEPT007
POS0021,Manager - IT,DEPT007
POS0022,Coordinator - Marketing,DEPT008
POS0023,Director - Marketing,DEPT008
POS0024,Analyst - Quality,DEPT009
POS0025,Associate - Quality,DEPT009
POS0026,Director - Quality,DEPT009
POS0027,Senior Analyst - Logistics,DEPT010
POS0028,Coordinator - Logistics,DEPT010
POS0029,Director - Customer Service,DEPT011
POS0030,Supervisor - Customer Service,DEPT011
POS0031,Team Lead - Executive,DEPT012
POS0032,Manager - Executive,DEPT012
POS0033,Specialist - Executive,DEPT012
POS0034,Supervisor - Executive,DEPT012
