warehouse_id,material_id,quantity_on_hand,as_of_date
WH01,MAT00001,105,2024-12-31
WH01,MAT00003,0,2024-12-31
WH01,MAT00004,261,2024-12-31
WH01,MAT00006,0,2024-12-31
WH01,MAT00008,0,2024-12-31
WH01,MAT00011,230,2024-12-31
WH01,MAT00012,330,2024-12-31
WH01,MAT00016,258,2024-12-31
WH01,MAT00018,0,2024-12-31
WH01,MAT00020,172,2024-12-31
WH01,MAT00022,188,2024-12-31
WH01,MAT00025,0,2024-12-31
WH01,MAT00028,20,2024-12-31
WH01,MAT00033,0,2024-12-31
WH01,MAT00037,0,2024-12-31
WH01,MAT00039,389,2024-12-31
WH01,MAT00040,259,2024-12-31
WH01,MAT00045,0,2024-12-31
WH01,MAT00047,412,2024-12-31
WH01,MAT00054,211,2024-12-31
WH01,MAT00055,0,2024-12-31
WH01,MAT00056,215,2024-12-31
WH01,MAT00057,309,2024-12-31
WH01,MAT00058,556,2024-12-31
WH01,MAT00062,105,2024-12-31
WH01,MAT00064,313,2024-12-31
WH01,MAT00065,73,2024-12-31
WH01,MAT00067,197,2024-12-31
WH01,MAT00073,0,2024-12-31
WH01,MAT00074,308,2024-12-31
WH01,MAT00077,316,2024-12-31
WH01,MAT00081,176,2024-12-31
WH01,MAT00084,11,2024-12-31
WH01,MAT00085,367,2024-12-31
WH01,MAT00091,0,2024-12-31
WH01,MAT00100,0,2024-12-31
WH01,MAT00101,0,2024-12-31
WH01,MAT00102,0,2024-12-31
WH01,MAT00103,0,2024-12-31
WH01,MAT00104,0,2024-12-31
WH01,MAT00106,60,2024-12-31
WH01,MAT00110,354,2024-12-31
WH01,MAT00112,861,2024-12-31
WH01,MAT00113,220,2024-12-31
WH01,MAT00114,0,2024-12-31
WH01,MAT00116,0,2024-12-31
WH01,MAT00117,75,2024-12-31
WH01,MAT00119,381,2024-12-31
WH01,MAT00120,0,2024-12-31
WH01,MAT00121,211,2024-12-31
WH01,MAT00122,109,2024-12-31
WH01,MAT00124,0,2024-12-31
WH01,MAT00126,139,2024-12-31
WH01,MAT00131,450,2024-12-31
WH01,MAT00133,0,2024-12-31
WH01,MAT00135,0,2024-12-31
WH01,MAT00138,54,2024-12-31
WH01,MAT00141,456,2024-12-31
WH01,MAT00144,301,2024-12-31
WH01,MAT00146,0,2024-12-31
WH01,MAT00147,0,2024-12-31
WH01,MAT00148,333,2024-12-31
WH01,MAT00149,176,2024-12-31
WH01,MAT00151,35,2024-12-31
WH01,MAT00152,350,2024-12-31
WH01,MAT00162,78,2024-12-31
WH01,MAT00163,191,2024-12-31
WH01,MAT00166,333,2024-12-31
WH01,MAT00168,0,2024-12-31
WH01,MAT00169,0,2024-12-31
WH01,MAT00171,461,2024-12-31
WH01,MAT00173,0,2024-12-31
WH01,MAT00174,0,2024-12-31
WH01,MAT00177,0,2024-12-31
WH01,MAT00179,233,2024-12-31
WH01,MAT00180,180,2024-12-31
WH01,MAT00181,20,2024-12-31
WH01,MAT00184,288,2024-12-31
WH01,MAT00194,253,2024-12-31
WH01,MAT00196,0,2024-12-31
WH01,MAT00197,0,2024-12-31
WH01,MAT00205,285,2024-12-31
WH01,MAT00206,354,2024-12-31
WH01,MAT00209,0,2024-12-31
WH01,MAT00210,306,2024-12-31
WH01,MAT00212,122,2024-12-31
WH01,MAT00213,18,2024-12-31
WH01,MAT00214,484,2024-12-31
WH01,MAT00215,418,2024-12-31
WH01,MAT00217,0,2024-12-31
WH01,MAT00227,314,2024-12-31
WH01,MAT00229,177,2024-12-31
WH01,MAT00233,339,2024-12-31
WH01,MAT00236,169,2024-12-31
WH01,MAT00237,0,2024-12-31
WH01,MAT00238,0,2024-12-31
WH01,MAT00239,104,2024-12-31
WH01,MAT00240,0,2024-12-31
WH01,MAT00241,0,2024-12-31
WH01,MAT00246,0,2024-12-31
WH01,MAT00249,64,2024-12-31
WH01,MAT00256,0,2024-12-31
WH01,MAT00262,224,2024-12-31
WH01,MAT00263,0,2024-12-31
WH01,MAT00265,462,2024-12-31
WH01,MAT00266,57,2024-12-31
WH01,MAT00267,56,2024-12-31
WH01,MAT00272,484,2024-12-31
WH01,MAT00274,374,2024-12-31
WH01,MAT00277,0,2024-12-31
WH01,MAT00280,0,2024-12-31
WH01,MAT00281,399,2024-12-31
WH01,MAT00283,433,2024-12-31
WH01,MAT00284,602,2024-12-31
WH01,MAT00286,232,2024-12-31
WH01,MAT00287,484,2024-12-31
WH01,MAT00288,0,2024-12-31
WH01,MAT00289,309,2024-12-31
WH01,MAT00290,0,2024-12-31
WH01,MAT00292,0,2024-12-31
WH01,MAT00294,0,2024-12-31
WH01,MAT00297,288,2024-12-31
WH01,MAT00298,20,2024-12-31
WH01,MAT00299,0,2024-12-31
WH01,MAT00300,195,2024-12-31
WH01,MAT00304,241,2024-12-31
WH01,MAT00305,1009,2024-12-31
WH01,MAT00306,352,2024-12-31
WH01,MAT00307,54,2024-12-31
WH01,MAT00308,201,2024-12-31
WH01,MAT00312,0,2024-12-31
WH01,MAT00315,189,2024-12-31
WH01,MAT00318,0,2024-12-31
WH01,MAT00320,387,2024-12-31
WH01,MAT00323,0,2024-12-31
WH01,MAT00324,0,2024-12-31
WH01,MAT00327,436,2024-12-31
WH01,MAT00328,331,2024-12-31
WH01,MAT00329,0,2024-12-31
WH01,MAT00331,0,2024-12-31
WH01,MAT00332,451,2024-12-31
WH01,MAT00334,157,2024-12-31
WH01,MAT00336,0,2024-12-31
WH01,MAT00338,100,2024-12-31
WH01,MAT00339,0,2024-12-31
WH01,MAT00340,116,2024-12-31
WH01,MAT00341,31,2024-12-31
WH01,MAT00343,720,2024-12-31
WH01,MAT00344,0,2024-12-31
WH01,MAT00347,0,2024-12-31
WH01,MAT00349,274,2024-12-31
WH01,MAT00350,98,2024-12-31
WH01,MAT00352,120,2024-12-31
WH01,MAT00355,0,2024-12-31
WH01,MAT00357,0,2024-12-31
WH01,MAT00365,666,2024-12-31
WH01,MAT00366,340,2024-12-31
WH01,MAT00369,0,2024-12-31
WH01,MAT00370,410,2024-12-31
WH01,MAT00380,0,2024-12-31
WH01,MAT00383,298,2024-12-31
WH01,MAT00387,0,2024-12-31
WH01,MAT00388,562,2024-12-31
WH01,MAT00391,0,2024-12-31
WH01,MAT00393,60,2024-12-31
WH01,MAT00394,0,2024-12-31
WH01,MAT00395,310,2024-12-31
WH01,MAT00396,53,2024-12-31
WH01,MAT00398,0,2024-12-31
WH01,MAT00399,192,2024-12-31
WH01,MAT00400,0,2024-12-31
WH02,MAT00003,323,2024-12-31
WH02,MAT00004,0,2024-12-31
WH02,MAT00006,243,2024-12-31
WH02,MAT00007,0,2024-12-31
WH02,MAT00010,93,2024-12-31
WH02,MAT00012,168,2024-12-31
WH02,MAT00022,0,2024-12-31
WH02,MAT00025,207,2024-12-31
WH02,MAT00026,347,2024-12-31
WH02,MAT00027,0,2024-12-31
WH02,MAT00036,461,2024-12-31
WH02,MAT00044,87,2024-12-31
WH02,MAT00049,0,2024-12-31
WH02,MAT00052,375,2024-12-31
WH02,MAT00053,0,2024-12-31
WH02,MAT00056,0,2024-12-31
WH02,MAT00059,0,2024-12-31
WH02,MAT00060,0,2024-12-31
WH02,MAT00061,72,2024-12-31
WH02,MAT00063,189,2024-12-31
WH02,MAT00064,0,2024-12-31
WH02,MAT00067,282,2024-12-31
WH02,MAT00068,0,2024-12-31
WH02,MAT00069,568,2024-12-31
WH02,MAT00070,0,2024-12-31
WH02,MAT00071,0,2024-12-31
WH02,MAT00073,255,2024-12-31
WH02,MAT00075,30,2024-12-31
WH02,MAT00082,0,2024-12-31
WH02,MAT00083,279,2024-12-31
WH02,MAT00084,0,2024-12-31
WH02,MAT00087,0,2024-12-31
WH02,MAT00088,224,2024-12-31
WH02,MAT00090,267,2024-12-31
WH02,MAT00091,158,2024-12-31
WH02,MAT00094,0,2024-12-31
WH02,MAT00095,185,2024-12-31
WH02,MAT00101,0,2024-12-31
WH02,MAT00103,130,2024-12-31
WH02,MAT00104,0,2024-12-31
WH02,MAT00108,366,2024-12-31
WH02,MAT00109,175,2024-12-31
WH02,MAT00110,0,2024-12-31
WH02,MAT00111,319,2024-12-31
WH02,MAT00112,137,2024-12-31
WH02,MAT00117,134,2024-12-31
WH02,MAT00118,496,2024-12-31
WH02,MAT00123,470,2024-12-31
WH02,MAT00125,0,2024-12-31
WH02,MAT00126,0,2024-12-31
WH02,MAT00127,0,2024-12-31
WH02,MAT00131,292,2024-12-31
WH02,MAT00132,450,2024-12-31
WH02,MAT00135,99,2024-12-31
WH02,MAT00139,0,2024-12-31
WH02,MAT00140,0,2024-12-31
WH02,MAT00142,184,2024-12-31
WH02,MAT00143,0,2024-12-31
WH02,MAT00144,479,2024-12-31
WH02,MAT00145,0,2024-12-31
WH02,MAT00147,0,2024-12-31
WH02,MAT00149,195,2024-12-31
WH02,MAT00150,0,2024-12-31
WH02,MAT00151,0,2024-12-31
WH02,MAT00152,731,2024-12-31
WH02,MAT00156,302,2024-12-31
WH02,MAT00157,166,2024-12-31
WH02,MAT00159,0,2024-12-31
WH02,MAT00160,0,2024-12-31
WH02,MAT00165,40,2024-12-31
WH02,MAT00167,89,2024-12-31
WH02,MAT00172,0,2024-12-31
WH02,MAT00173,0,2024-12-31
WH02,MAT00175,0,2024-12-31
WH02,MAT00176,347,2024-12-31
WH02,MAT00180,0,2024-12-31
WH02,MAT00184,47,2024-12-31
WH02,MAT00185,68,2024-12-31
WH02,MAT00186,127,2024-12-31
WH02,MAT00188,203,2024-12-31
WH02,MAT00189,0,2024-12-31
WH02,MAT00191,0,2024-12-31
WH02,MAT00193,213,2024-12-31
WH02,MAT00194,60,2024-12-31
WH02,MAT00198,231,2024-12-31
WH02,MAT00199,0,2024-12-31
WH02,MAT00201,452,2024-12-31
WH02,MAT00202,0,2024-12-31
WH02,MAT00203,0,2024-12-31
WH02,MAT00210,423,2024-12-31
WH02,MAT00211,0,2024-12-31
WH02,MAT00213,0,2024-12-31
WH02,MAT00216,403,2024-12-31
WH02,MAT00217,0,2024-12-31
WH02,MAT00218,74,2024-12-31
WH02,MAT00219,0,2024-12-31
WH02,MAT00220,159,2024-12-31
WH02,MAT00221,254,2024-12-31
WH02,MAT00223,0,2024-12-31
WH02,MAT00224,342,2024-12-31
WH02,MAT00226,0,2024-12-31
WH02,MAT00227,272,2024-12-31
WH02,MAT00228,226,2024-12-31
WH02,MAT00230,0,2024-12-31
WH02,MAT00233,261,2024-12-31
WH02,MAT00234,0,2024-12-31
WH02,MAT00235,53,2024-12-31
WH02,MAT00239,0,2024-12-31
WH02,MAT00244,0,2024-12-31
WH02,MAT00247,39,2024-12-31
WH02,MAT00250,408,2024-12-31
WH02,MAT00253,0,2024-12-31
WH02,MAT00254,54,2024-12-31
WH02,MAT00255,163,2024-12-31
WH02,MAT00256,0,2024-12-31
WH02,MAT00259,25,2024-12-31
WH02,MAT00261,0,2024-12-31
WH02,MAT00263,76,2024-12-31
WH02,MAT00268,0,2024-12-31
WH02,MAT00269,102,2024-12-31
WH02,MAT00270,226,2024-12-31
WH02,MAT00271,0,2024-12-31
WH02,MAT00281,379,2024-12-31
WH02,MAT00282,73,2024-12-31
WH02,MAT00284,24,2024-12-31
WH02,MAT00288,0,2024-12-31
WH02,MAT00292,150,2024-12-31
WH02,MAT00293,0,2024-12-31
WH02,MAT00294,67,2024-12-31
WH02,MAT00295,0,2024-12-31
WH02,MAT00296,41,2024-12-31
WH02,MAT00299,241,2024-12-31
WH02,MAT00302,372,2024-12-31
WH02,MAT00307,198,2024-12-31
WH02,MAT00309,0,2024-12-31
WH02,MAT00310,0,2024-12-31
WH02,MAT00317,242,2024-12-31
WH02,MAT00319,0,2024-12-31
WH02,MAT00321,311,2024-12-31
WH02,MAT00322,344,2024-12-31
WH02,MAT00323,429,2024-12-31
WH02,MAT00324,105,2024-12-31
WH02,MAT00326,0,2024-12-31
WH02,MAT00331,0,2024-12-31
WH02,MAT00337,32,2024-12-31
WH02,MAT00338,0,2024-12-31
WH02,MAT00339,119,2024-12-31
WH02,MAT00342,481,2024-12-31
WH02,MAT00343,0,2024-12-31
WH02,MAT00347,0,2024-12-31
WH02,MAT00349,197,2024-12-31
WH02,MAT00350,691,2024-12-31
WH02,MAT00351,323,2024-12-31
WH02,MAT00352,0,2024-12-31
WH02,MAT00354,414,2024-12-31
WH02,MAT00355,0,2024-12-31
WH02,MAT00357,257,2024-12-31
WH02,MAT00358,49,2024-12-31
WH02,MAT00362,446,2024-12-31
WH02,MAT00364,0,2024-12-31
WH02,MAT00368,0,2024-12-31
WH02,MAT00369,113,2024-12-31
WH02,MAT00372,297,2024-12-31
WH02,MAT00373,270,2024-12-31
WH02,MAT00377,0,2024-12-31
WH02,MAT00378,27,2024-12-31
WH02,MAT00384,469,2024-12-31
WH02,MAT00387,209,2024-12-31
WH02,MAT00390,141,2024-12-31
WH02,MAT00397,167,2024-12-31
WH02,MAT00399,22,2024-12-31
WH03,MAT00004,97,2024-12-31
WH03,MAT00005,341,2024-12-31
WH03,MAT00008,0,2024-12-31
WH03,MAT00009,0,2024-12-31
WH03,MAT00010,0,2024-12-31
WH03,MAT00011,219,2024-12-31
WH03,MAT00013,0,2024-12-31
WH03,MAT00014,0,2024-12-31
WH03,MAT00018,284,2024-12-31
WH03,MAT00020,32,2024-12-31
WH03,MAT00022,310,2024-12-31
WH03,MAT00027,199,2024-12-31
WH03,MAT00028,341,2024-12-31
WH03,MAT00030,552,2024-12-31
WH03,MAT00032,0,2024-12-31
WH03,MAT00034,120,2024-12-31
WH03,MAT00035,0,2024-12-31
WH03,MAT00036,128,2024-12-31
WH03,MAT00038,0,2024-12-31
WH03,MAT00040,217,2024-12-31
WH03,MAT00043,430,2024-12-31
WH03,MAT00049,0,2024-12-31
WH03,MAT00050,488,2024-12-31
WH03,MAT00051,26,2024-12-31
WH03,MAT00052,436,2024-12-31
WH03,MAT00053,0,2024-12-31
WH03,MAT00054,102,2024-12-31
WH03,MAT00057,0,2024-12-31
WH03,MAT00059,84,2024-12-31
WH03,MAT00060,50,2024-12-31
WH03,MAT00063,38,2024-12-31
WH03,MAT00064,266,2024-12-31
WH03,MAT00066,344,2024-12-31
WH03,MAT00067,165,2024-12-31
WH03,MAT00069,30,2024-12-31
WH03,MAT00076,0,2024-12-31
WH03,MAT00077,399,2024-12-31
WH03,MAT00080,433,2024-12-31
WH03,MAT00087,0,2024-12-31
WH03,MAT00088,330,2024-12-31
WH03,MAT00089,0,2024-12-31
WH03,MAT00094,120,2024-12-31
WH03,MAT00095,0,2024-12-31
WH03,MAT00096,458,2024-12-31
WH03,MAT00097,196,2024-12-31
WH03,MAT00100,274,2024-12-31
WH03,MAT00102,425,2024-12-31
WH03,MAT00103,483,2024-12-31
WH03,MAT00104,56,2024-12-31
WH03,MAT00108,390,2024-12-31
WH03,MAT00109,0,2024-12-31
WH03,MAT00113,320,2024-12-31
WH03,MAT00121,256,2024-12-31
WH03,MAT00123,345,2024-12-31
WH03,MAT00124,457,2024-12-31
WH03,MAT00129,30,2024-12-31
WH03,MAT00130,0,2024-12-31
WH03,MAT00131,46,2024-12-31
WH03,MAT00132,0,2024-12-31
WH03,MAT00133,0,2024-12-31
WH03,MAT00136,0,2024-12-31
WH03,MAT00139,447,2024-12-31
WH03,MAT00140,0,2024-12-31
WH03,MAT00141,428,2024-12-31
WH03,MAT00142,0,2024-12-31
WH03,MAT00143,286,2024-12-31
WH03,MAT00145,443,2024-12-31
WH03,MAT00147,0,2024-12-31
WH03,MAT00148,272,2024-12-31
WH03,MAT00150,202,2024-12-31
WH03,MAT00152,326,2024-12-31
WH03,MAT00153,0,2024-12-31
WH03,MAT00159,0,2024-12-31
WH03,MAT00161,466,2024-12-31
WH03,MAT00163,0,2024-12-31
WH03,MAT00164,0,2024-12-31
WH03,MAT00165,0,2024-12-31
WH03,MAT00166,0,2024-12-31
WH03,MAT00169,62,2024-12-31
WH03,MAT00170,0,2024-12-31
WH03,MAT00171,472,2024-12-31
WH03,MAT00179,24,2024-12-31
WH03,MAT00180,0,2024-12-31
WH03,MAT00182,594,2024-12-31
WH03,MAT00184,310,2024-12-31
WH03,MAT00186,75,2024-12-31
WH03,MAT00191,410,2024-12-31
WH03,MAT00192,0,2024-12-31
WH03,MAT00199,0,2024-12-31
WH03,MAT00200,265,2024-12-31
WH03,MAT00206,0,2024-12-31
WH03,MAT00208,0,2024-12-31
WH03,MAT00210,550,2024-12-31
WH03,MAT00212,419,2024-12-31
WH03,MAT00213,0,2024-12-31
WH03,MAT00215,0,2024-12-31
WH03,MAT00216,30,2024-12-31
WH03,MAT00217,0,2024-12-31
WH03,MAT00219,0,2024-12-31
WH03,MAT00220,470,2024-12-31
WH03,MAT00222,178,2024-12-31
WH03,MAT00227,357,2024-12-31
WH03,MAT00228,0,2024-12-31
WH03,MAT00230,321,2024-12-31
WH03,MAT00231,0,2024-12-31
WH03,MAT00232,647,2024-12-31
WH03,MAT00234,540,2024-12-31
WH03,MAT00236,0,2024-12-31
WH03,MAT00239,117,2024-12-31
WH03,MAT00240,429,2024-12-31
WH03,MAT00241,0,2024-12-31
WH03,MAT00242,264,2024-12-31
WH03,MAT00243,492,2024-12-31
WH03,MAT00244,236,2024-12-31
WH03,MAT00245,0,2024-12-31
WH03,MAT00246,352,2024-12-31
WH03,MAT00249,34,2024-12-31
WH03,MAT00251,51,2024-12-31
WH03,MAT00254,47,2024-12-31
WH03,MAT00255,25,2024-12-31
WH03,MAT00256,0,2024-12-31
WH03,MAT00259,0,2024-12-31
WH03,MAT00260,261,2024-12-31
WH03,MAT00265,0,2024-12-31
WH03,MAT00275,0,2024-12-31
WH03,MAT00276,0,2024-12-31
WH03,MAT00284,0,2024-12-31
WH03,MAT00288,0,2024-12-31
WH03,MAT00290,380,2024-12-31
WH03,MAT00292,0,2024-12-31
WH03,MAT00297,32,2024-12-31
WH03,MAT00298,265,2024-12-31
WH03,MAT00299,173,2024-12-31
WH03,MAT00300,85,2024-12-31
WH03,MAT00302,142,2024-12-31
WH03,MAT00303,0,2024-12-31
WH03,MAT00304,0,2024-12-31
WH03,MAT00305,224,2024-12-31
WH03,MAT00307,425,2024-12-31
WH03,MAT00308,251,2024-12-31
WH03,MAT00309,466,2024-12-31
WH03,MAT00310,151,2024-12-31
WH03,MAT00311,0,2024-12-31
WH03,MAT00314,46,2024-12-31
WH03,MAT00315,59,2024-12-31
WH03,MAT00317,0,2024-12-31
WH03,MAT00319,400,2024-12-31
WH03,MAT00320,402,2024-12-31
WH03,MAT00321,0,2024-12-31
WH03,MAT00322,0,2024-12-31
WH03,MAT00325,254,2024-12-31
WH03,MAT00327,0,2024-12-31
WH03,MAT00329,421,2024-12-31
WH03,MAT00331,35,2024-12-31
WH03,MAT00332,195,2024-12-31
WH03,MAT00333,0,2024-12-31
WH03,MAT00342,130,2024-12-31
WH03,MAT00344,0,2024-12-31
WH03,MAT00345,0,2024-12-31
WH03,MAT00350,326,2024-12-31
WH03,MAT00354,0,2024-12-31
WH03,MAT00355,142,2024-12-31
WH03,MAT00359,0,2024-12-31
WH03,MAT00360,311,2024-12-31
WH03,MAT00361,0,2024-12-31
WH03,MAT00363,314,2024-12-31
WH03,MAT00365,0,2024-12-31
WH03,MAT00367,419,2024-12-31
WH03,MAT00369,268,2024-12-31
WH03,MAT00372,521,2024-12-31
WH03,MAT00373,354,2024-12-31
WH03,MAT00375,0,2024-12-31
WH03,MAT00376,0,2024-12-31
WH03,MAT00377,419,2024-12-31
WH03,MAT00380,0,2024-12-31
WH03,MAT00384,67,2024-12-31
WH03,MAT00386,281,2024-12-31
WH03,MAT00389,786,2024-12-31
WH03,MAT00390,563,2024-12-31
WH03,MAT00391,383,2024-12-31
WH03,MAT00392,48,2024-12-31
WH03,MAT00393,0,2024-12-31
WH03,MAT00394,0,2024-12-31
WH03,MAT00395,0,2024-12-31
WH03,MAT00397,249,2024-12-31
WH03,MAT00398,172,2024-12-31
WH03,MAT00399,334,2024-12-31
WH04,MAT00001,0,2024-12-31
WH04,MAT00002,0,2024-12-31
WH04,MAT00004,252,2024-12-31
WH04,MAT00007,305,2024-12-31
WH04,MAT00012,489,2024-12-31
WH04,MAT00018,102,2024-12-31
WH04,MAT00019,0,2024-12-31
WH04,MAT00021,0,2024-12-31
WH04,MAT00023,645,2024-12-31
WH04,MAT00024,0,2024-12-31
WH04,MAT00026,183,2024-12-31
WH04,MAT00027,452,2024-12-31
WH04,MAT00028,0,2024-12-31
WH04,MAT00031,0,2024-12-31
WH04,MAT00033,0,2024-12-31
WH04,MAT00037,107,2024-12-31
WH04,MAT00041,0,2024-12-31
WH04,MAT00042,725,2024-12-31
WH04,MAT00043,0,2024-12-31
WH04,MAT00044,284,2024-12-31
WH04,MAT00045,0,2024-12-31
WH04,MAT00047,0,2024-12-31
WH04,MAT00048,0,2024-12-31
WH04,MAT00049,0,2024-12-31
WH04,MAT00055,133,2024-12-31
WH04,MAT00056,470,2024-12-31
WH04,MAT00057,0,2024-12-31
WH04,MAT00058,0,2024-12-31
WH04,MAT00060,0,2024-12-31
WH04,MAT00063,0,2024-12-31
WH04,MAT00067,0,2024-12-31
WH04,MAT00068,366,2024-12-31
WH04,MAT00070,0,2024-12-31
WH04,MAT00075,0,2024-12-31
WH04,MAT00076,69,2024-12-31
WH04,MAT00077,0,2024-12-31
WH04,MAT00081,90,2024-12-31
WH04,MAT00082,453,2024-12-31
WH04,MAT00085,0,2024-12-31
WH04,MAT00087,0,2024-12-31
WH04,MAT00091,430,2024-12-31
WH04,MAT00092,492,2024-12-31
WH04,MAT00094,0,2024-12-31
WH04,MAT00097,0,2024-12-31
WH04,MAT00099,369,2024-12-31
WH04,MAT00101,0,2024-12-31
WH04,MAT00104,493,2024-12-31
WH04,MAT00107,252,2024-12-31
WH04,MAT00108,466,2024-12-31
WH04,MAT00109,676,2024-12-31
WH04,MAT00111,0,2024-12-31
WH04,MAT00112,0,2024-12-31
WH04,MAT00117,0,2024-12-31
WH04,MAT00118,81,2024-12-31
WH04,MAT00119,394,2024-12-31
WH04,MAT00120,0,2024-12-31
WH04,MAT00123,0,2024-12-31
WH04,MAT00127,0,2024-12-31
WH04,MAT00130,0,2024-12-31
WH04,MAT00132,182,2024-12-31
WH04,MAT00135,83,2024-12-31
WH04,MAT00136,263,2024-12-31
WH04,MAT00137,187,2024-12-31
WH04,MAT00139,0,2024-12-31
WH04,MAT00141,221,2024-12-31
WH04,MAT00146,305,2024-12-31
WH04,MAT00147,221,2024-12-31
WH04,MAT00149,129,2024-12-31
WH04,MAT00150,371,2024-12-31
WH04,MAT00151,0,2024-12-31
WH04,MAT00159,147,2024-12-31
WH04,MAT00164,0,2024-12-31
WH04,MAT00165,280,2024-12-31
WH04,MAT00168,0,2024-12-31
WH04,MAT00170,446,2024-12-31
WH04,MAT00179,0,2024-12-31
WH04,MAT00180,137,2024-12-31
WH04,MAT00181,0,2024-12-31
WH04,MAT00186,0,2024-12-31
WH04,MAT00188,176,2024-12-31
WH04,MAT00189,0,2024-12-31
WH04,MAT00191,231,2024-12-31
WH04,MAT00193,0,2024-12-31
WH04,MAT00194,0,2024-12-31
WH04,MAT00195,393,2024-12-31
