movement_id,material_id,warehouse_id,movement_type,quantity,movement_date,reference_document
MOV000001,MAT00200,WH05,GR_101_Goods_Receipt,297,2023-07-29,GR000001
MOV000002,MAT00090,WH06,GR_101_Goods_Receipt,180,2023-08-20,GR000002
MOV000003,MAT00299,WH05,GR_101_Goods_Receipt,164,2024-12-22,GR000003
MOV000004,MAT00227,WH04,GR_101_Goods_Receipt,459,2024-12-08,GR000004
MOV000005,MAT00282,WH02,GR_101_Goods_Receipt,87,2024-12-19,GR000005
MOV000006,MAT00301,WH04,GR_101_Goods_Receipt,323,2024-02-25,GR000006
MOV000007,MAT00001,WH08,GR_101_Goods_Receipt,303,2024-02-12,GR000007
MOV000008,MAT00363,WH03,GR_101_Goods_Receipt,287,2024-02-22,GR000008
MOV000009,MAT00267,WH06,GR_101_Goods_Receipt,475,2023-12-13,GR000009
MOV000010,MAT00074,WH06,GR_101_Goods_Receipt,44,2023-12-12,GR000010
MOV000011,MAT00378,WH07,GR_101_Goods_Receipt,439,2023-12-13,GR000011
MOV000012,MAT00050,WH03,GR_101_Goods_Receipt,488,2024-03-24,GR000012
MOV000013,MAT00200,WH05,GR_101_Goods_Receipt,408,2024-03-06,GR000013
MOV000014,MAT00055,WH04,GR_101_Goods_Receipt,320,2024-03-10,GR000014
MOV000015,MAT00390,WH03,GR_101_Goods_Receipt,201,2024-10-01,GR000015
MOV000016,MAT00288,WH05,GR_101_Goods_Receipt,93,2024-09-17,GR000016
MOV000017,MAT00042,WH04,GR_101_Goods_Receipt,496,2024-10-10,GR000017
MOV000018,MAT00082,WH04,GR_101_Goods_Receipt,453,2023-04-08,GR000018
MOV000019,MAT00277,WH06,GR_101_Goods_Receipt,228,2023-03-18,GR000019
MOV000020,MAT00156,WH02,GR_101_Goods_Receipt,302,2024-02-29,GR000020
MOV000021,MAT00304,WH01,GR_101_Goods_Receipt,241,2024-02-17,GR000021
MOV000022,MAT00241,WH04,GR_101_Goods_Receipt,295,2024-03-08,GR000022
MOV000023,MAT00396,WH05,GR_101_Goods_Receipt,406,2023-11-17,GR000023
MOV000024,MAT00014,WH08,GR_101_Goods_Receipt,323,2023-11-23,GR000024
MOV000025,MAT00107,WH07,GR_101_Goods_Receipt,266,2024-11-22,GR000025
MOV000026,MAT00141,WH04,GR_101_Goods_Receipt,221,2024-10-31,GR000026
MOV000027,MAT00036,WH02,GR_101_Goods_Receipt,461,2024-11-06,GR000027
MOV000028,MAT00020,WH03,GR_101_Goods_Receipt,32,2023-06-29,GR000028
MOV000029,MAT00078,WH07,GR_101_Goods_Receipt,454,2023-07-12,GR000029
MOV000030,MAT00334,WH01,GR_101_Goods_Receipt,157,2023-11-21,GR000030
MOV000031,MAT00210,WH08,GR_101_Goods_Receipt,328,2023-11-20,GR000031
MOV000032,MAT00322,WH07,GR_101_Goods_Receipt,321,2024-07-24,GR000032
MOV000033,MAT00236,WH04,GR_101_Goods_Receipt,105,2024-08-05,GR000033
MOV000034,MAT00213,WH01,GR_101_Goods_Receipt,18,2024-07-17,GR000034
MOV000035,MAT00390,WH07,GR_101_Goods_Receipt,162,2024-11-21,GR000035
MOV000036,MAT00052,WH08,GR_101_Goods_Receipt,101,2024-11-29,GR000036
MOV000037,MAT00112,WH06,GR_101_Goods_Receipt,393,2024-11-22,GR000037
MOV000038,MAT00063,WH02,GR_101_Goods_Receipt,189,2024-02-05,GR000038
MOV000039,MAT00339,WH02,GR_101_Goods_Receipt,119,2024-12-23,GR000039
MOV000040,MAT00177,WH05,GR_101_Goods_Receipt,269,2025-01-09,GR000040
MOV000041,MAT00249,WH08,GR_101_Goods_Receipt,142,2024-04-07,GR000041
MOV000042,MAT00281,WH04,GR_101_Goods_Receipt,276,2024-04-03,GR000042
MOV000043,MAT00117,WH04,GR_101_Goods_Receipt,10,2025-01-14,GR000043
MOV000044,MAT00397,WH02,GR_101_Goods_Receipt,167,2023-11-07,GR000044
MOV000045,MAT00028,WH06,GR_101_Goods_Receipt,380,2024-12-09,GR000045
MOV000046,MAT00327,WH01,GR_101_Goods_Receipt,436,2025-01-01,GR000046
MOV000047,MAT00395,WH01,GR_101_Goods_Receipt,310,2024-05-11,GR000047
MOV000048,MAT00083,WH05,GR_101_Goods_Receipt,39,2024-05-04,GR000048
MOV000049,MAT00088,WH03,GR_101_Goods_Receipt,330,2023-02-14,GR000049
MOV000050,MAT00227,WH01,GR_101_Goods_Receipt,314,2023-03-05,GR000050
MOV000051,MAT00281,WH05,GR_101_Goods_Receipt,459,2023-10-26,GR000051
MOV000052,MAT00135,WH02,GR_101_Goods_Receipt,99,2023-11-06,GR000052
MOV000053,MAT00252,WH05,GR_101_Goods_Receipt,473,2024-04-13,GR000053
MOV000054,MAT00347,WH04,GR_101_Goods_Receipt,407,2024-04-29,GR000054
MOV000055,MAT00201,WH02,GR_101_Goods_Receipt,452,2023-02-12,GR000055
MOV000056,MAT00180,WH01,GR_101_Goods_Receipt,180,2023-02-15,GR000056
MOV000057,MAT00007,WH04,GR_101_Goods_Receipt,305,2023-03-06,GR000057
MOV000058,MAT00299,WH03,GR_101_Goods_Receipt,173,2023-08-14,GR000058
MOV000059,MAT00081,WH04,GR_101_Goods_Receipt,90,2023-07-22,GR000059
MOV000060,MAT00245,WH05,GR_101_Goods_Receipt,287,2023-08-02,GR000060
MOV000061,MAT00236,WH01,GR_101_Goods_Receipt,169,2024-08-28,GR000061
MOV000062,MAT00042,WH08,GR_101_Goods_Receipt,180,2024-04-28,GR000062
MOV000063,MAT00152,WH02,GR_101_Goods_Receipt,300,2024-05-04,GR000063
MOV000064,MAT00389,WH03,GR_101_Goods_Receipt,373,2024-05-02,GR000064
MOV000065,MAT00377,WH03,GR_101_Goods_Receipt,450,2024-04-27,GR000065
MOV000066,MAT00262,WH08,GR_101_Goods_Receipt,368,2024-04-29,GR000066
MOV000067,MAT00373,WH02,GR_101_Goods_Receipt,270,2024-01-21,GR000067
MOV000068,MAT00321,WH08,GR_101_Goods_Receipt,312,2023-12-01,GR000068
MOV000069,MAT00138,WH07,GR_101_Goods_Receipt,206,2023-11-20,GR000069
MOV000070,MAT00186,WH02,GR_101_Goods_Receipt,127,2024-09-01,GR000070
MOV000071,MAT00397,WH03,GR_101_Goods_Receipt,112,2024-08-21,GR000071
MOV000072,MAT00075,WH06,GR_101_Goods_Receipt,61,2024-08-13,GR000072
MOV000073,MAT00104,WH03,GR_101_Goods_Receipt,56,2024-05-30,GR000073
MOV000074,MAT00069,WH03,GR_101_Goods_Receipt,55,2024-04-17,GR000074
MOV000075,MAT00194,WH01,GR_101_Goods_Receipt,446,2024-04-06,GR000075
MOV000076,MAT00258,WH07,GR_101_Goods_Receipt,66,2024-12-29,GR000076
MOV000077,MAT00061,WH07,GR_101_Goods_Receipt,330,2025-01-10,GR000077
MOV000078,MAT00364,WH07,GR_101_Goods_Receipt,253,2024-08-05,GR000078
MOV000079,MAT00064,WH03,GR_101_Goods_Receipt,74,2023-06-14,GR000079
MOV000080,MAT00281,WH02,GR_101_Goods_Receipt,379,2023-07-04,GR000080
MOV000081,MAT00290,WH03,GR_101_Goods_Receipt,80,2023-06-28,GR000081
MOV000082,MAT00092,WH07,GR_101_Goods_Receipt,429,2024-04-27,GR000082
MOV000083,MAT00075,WH05,GR_101_Goods_Receipt,319,2024-05-01,GR000083
MOV000084,MAT00113,WH01,GR_101_Goods_Receipt,220,2024-05-03,GR000084
MOV000085,MAT00376,WH05,GR_101_Goods_Receipt,67,2024-09-01,GR000085
MOV000086,MAT00281,WH04,GR_101_Goods_Receipt,248,2024-08-25,GR000086
MOV000087,MAT00306,WH01,GR_101_Goods_Receipt,352,2024-05-25,GR000087
MOV000088,MAT00064,WH08,GR_101_Goods_Receipt,472,2024-05-30,GR000088
MOV000089,MAT00162,WH07,GR_101_Goods_Receipt,272,2024-05-23,GR000089
MOV000090,MAT00369,WH03,GR_101_Goods_Receipt,268,2023-11-22,GR000090
MOV000091,MAT00153,WH08,GR_101_Goods_Receipt,17,2024-10-17,GR000091
