bin_id,warehouse_id,storage_type,capacity
BIN00001,WH03,Cold Storage,2728
BIN00002,WH01,Bin,3514
BIN00003,WH01,Bulk,1639
BIN00004,WH01,Cold Storage,1831
BIN00005,WH01,Cold Storage,4068
BIN00006,WH04,Bin,560
BIN00007,WH05,Rack,637
BIN00008,WH02,Bin,4251
BIN00009,WH08,Cold Storage,1211
BIN00010,WH02,Bulk,1523
BIN00011,WH03,Rack,1744
BIN00012,WH01,Bulk,2143
BIN00013,WH03,Bulk,3839
BIN00014,WH02,Bulk,3052
BIN00015,WH08,Rack,2344
BIN00016,WH06,Bin,3902
BIN00017,WH03,Cold Storage,1114
BIN00018,WH02,Bulk,2081
BIN00019,WH03,Bin,4104
BIN00020,WH06,Cold Storage,1554
BIN00021,WH04,Cold Storage,4907
BIN00022,WH01,Bin,2920
BIN00023,WH03,Rack,2218
BIN00024,WH08,Bulk,2435
BIN00025,WH07,Bulk,3266
BIN00026,WH02,Bulk,1434
BIN00027,WH05,Rack,1913
BIN00028,WH01,Rack,1793
BIN00029,WH03,Bin,3454
BIN00030,WH06,Bulk,172
BIN00031,WH02,Cold Storage,1183
BIN00032,WH04,Rack,169
BIN00033,WH02,Rack,2167
BIN00034,WH08,Bin,2355
BIN00035,WH06,Cold Storage,3184
BIN00036,WH04,Bin,3860
BIN00037,WH04,Bin,1887
BIN00038,WH08,Cold Storage,2575
BIN00039,WH07,Cold Storage,4888
BIN00040,WH02,Bulk,160
BIN00041,WH07,Bin,4699
BIN00042,WH06,Bin,2545
BIN00043,WH01,Bulk,4046
BIN00044,WH03,Bulk,2854
BIN00045,WH04,Bin,2763
BIN00046,WH08,Bin,2239
BIN00047,WH07,Bin,1643
BIN00048,WH06,Rack,4337
BIN00049,WH03,Rack,565
BIN00050,WH04,Cold Storage,2718
BIN00051,WH03,Rack,308
BIN00052,WH07,Cold Storage,2521
BIN00053,WH04,Bin,3528
BIN00054,WH08,Cold Storage,3280
BIN00055,WH05,Bulk,4876
BIN00056,WH07,Rack,2911
BIN00057,WH03,Rack,4479
BIN00058,WH06,Cold Storage,3036
BIN00059,WH08,Bin,1492
BIN00060,WH01,Rack,2506
BIN00061,WH03,Bulk,3956
BIN00062,WH06,Rack,2218
BIN00063,WH06,Rack,2849
BIN00064,WH04,Bulk,1920
BIN00065,WH08,Bin,1929
BIN00066,WH01,Bin,3544
BIN00067,WH03,Bin,3144
BIN00068,WH03,Bin,4896
BIN00069,WH06,Bin,3899
BIN00070,WH02,Bulk,3954
BIN00071,WH04,Bulk,4880
BIN00072,WH02,Bulk,3968
BIN00073,WH01,Rack,4199
BIN00074,WH07,Bulk,3226
BIN00075,WH05,Bin,3484
BIN00076,WH06,Bulk,1335
BIN00077,WH04,Rack,1740
BIN00078,WH02,Bin,3452
BIN00079,WH06,Cold Storage,1273
BIN00080,WH07,Bin,1577
BIN00081,WH08,Bulk,4094
BIN00082,WH07,Bin,1548
BIN00083,WH01,Bin,575
BIN00084,WH05,Bulk,3803
BIN00085,WH06,Bin,1815
BIN00086,WH05,Rack,4820
BIN00087,WH02,Rack,4110
BIN00088,WH08,Bulk,1160
BIN00089,WH06,Cold Storage,3617
BIN00090,WH02,Cold Storage,3614
BIN00091,WH03,Cold Storage,3240
BIN00092,WH03,Bulk,409
BIN00093,WH02,Rack,3156
BIN00094,WH08,Bulk,2739
BIN00095,WH06,Rack,246
BIN00096,WH05,Bulk,2138
BIN00097,WH05,Rack,2920
BIN00098,WH02,Bin,1156
BIN00099,WH04,Bulk,3242
BIN00100,WH07,Bin,1468
BIN00101,WH08,Bulk,474
BIN00102,WH03,Bin,2482
BIN00103,WH05,Cold Storage,4362
BIN00104,WH04,Bin,3652
BIN00105,WH04,Rack,2907
BIN00106,WH07,Cold Storage,3042
BIN00107,WH04,Rack,1450
BIN00108,WH06,Cold Storage,256
BIN00109,WH04,Rack,1937
BIN00110,WH07,Rack,1830
BIN00111,WH01,Bulk,4930
BIN00112,WH04,Rack,1108
BIN00113,WH01,Bin,406
BIN00114,WH03,Cold Storage,2195
BIN00115,WH03,Bulk,4965
BIN00116,WH01,Bulk,985
BIN00117,WH01,Bulk,495
BIN00118,WH04,Bulk,3514
BIN00119,WH06,Cold Storage,3215
BIN00120,WH08,Bulk,4583
BIN00121,WH02,Bin,3986
BIN00122,WH01,Rack,1783
BIN00123,WH08,Bulk,2566
BIN00124,WH02,Cold Storage,927
BIN00125,WH08,Bin,1223
BIN00126,WH04,Cold Storage,959
BIN00127,WH05,Bulk,2415
BIN00128,WH06,Bulk,970
BIN00129,WH05,Cold Storage,1727
BIN00130,WH05,Rack,2254
BIN00131,WH05,Rack,3032
BIN00132,WH01,Cold Storage,2519
BIN00133,WH02,Rack,422
BIN00134,WH06,Cold Storage,1801
BIN00135,WH08,Cold Storage,2808
BIN00136,WH02,Rack,122
BIN00137,WH06,Bulk,829
BIN00138,WH03,Bulk,4803
BIN00139,WH02,Cold Storage,1321
BIN00140,WH06,Bulk,4291
BIN00141,WH08,Bulk,929
BIN00142,WH07,Bin,1993
BIN00143,WH05,Cold Storage,2525
BIN00144,WH01,Bin,3903
BIN00145,WH07,Bulk,917
BIN00146,WH06,Rack,423
BIN00147,WH05,Bin,3050
BIN00148,WH08,Bin,3589
BIN00149,WH03,Bulk,878
BIN00150,WH07,Bulk,179
BIN00151,WH08,Rack,1496
BIN00152,WH03,Bin,3028
BIN00153,WH06,Cold Storage,2297
BIN00154,WH06,Bulk,3152
BIN00155,WH05,Bin,1598
BIN00156,WH08,Bulk,3383
BIN00157,WH05,Cold Storage,3839
BIN00158,WH05,Bin,3259
BIN00159,WH04,Cold Storage,3554
BIN00160,WH04,Rack,1026
