customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
CUST000001,CUNQ000001,13278,aracaju,SE
CUST000002,CUNQ000002,42098,rio branco,AC
CUST000003,CUNQ000003,23434,brasilia,DF
CUST000004,CUNQ000004,87397,porto velho,RO
CUST000005,CUNQ000005,13905,cuiaba,MT
CUST000006,CUNQ000006,40495,uberlandia,MG
CUST000007,CUNQ000007,83563,joao pessoa,PB
CUST000008,CUNQ000008,95181,vitoria da conquista,BA
CUST000009,CUNQ000009,38893,araguaina,TO
CUST000010,CUNQ000010,10851,dourados,MS
CUST000011,CUNQ000011,65392,manaus,AM
CUST000012,CUNQ000012,30379,caucaia,CE
CUST000013,CUNQ000013,23396,feira de santana,BA
CUST000014,CUNQ000014,22676,contagem,MG
CUST000015,CUNQ000015,89131,ananindeua,PA
CUST000016,CUNQ000016,70217,goiania,GO
CUST000017,CUNQ000017,59615,natal,RN
CUST000018,CUNQ000018,92397,juiz de fora,MG
CUST000019,CUNQ000019,85674,parnaiba,PI
CUST000020,CUNQ000020,19116,vitoria da conquista,BA
CUST000021,CUNQ000021,47930,niteroi,RJ
CUST000022,CUNQ000022,23238,uberlandia,MG
CUST000023,CUNQ000023,69429,vila velha,ES
CUST000024,CUNQ000024,31319,nossa senhora do socorro,SE
CUST000025,CUNQ000025,37460,ananindeua,PA
CUST000026,CUNQ000026,99593,ji-parana,RO
CUST000027,CUNQ000027,89840,aracaju,SE
CUST000028,CUNQ000028,80010,aracaju,SE
CUST000029,CUNQ000029,31417,rio branco,AC
CUST000030,CUNQ000030,45382,dourados,MS
CUST000031,CUNQ000031,99733,aracaju,SE
CUST000032,CUNQ000032,40021,fortaleza,CE
CUST000033,CUNQ000033,51347,boa vista,RR
CUST000034,CUNQ000034,18675,vila velha,ES
CUST000035,CUNQ000035,51245,vitoria da conquista,BA
CUST000036,CUNQ000036,75435,vitoria da conquista,BA
CUST000037,CUNQ000037,70142,serra,ES
CUST000038,CUNQ000038,28301,londrina,PR
CUST000039,CUNQ000039,86622,brasilia,DF
CUST000040,CUNQ000040,57447,varzea grande,MT
CUST000041,CUNQ000041,76784,brasilia,DF
CUST000042,CUNQ000042,16175,sao luis,MA
CUST000043,CUNQ000043,92240,porto alegre,RS
CUST000044,CUNQ000044,65333,blumenau,SC
CUST000045,CUNQ000045,60432,teresina,PI
CUST000046,CUNQ000046,71348,serra,ES
CUST000047,CUNQ000047,82512,campina grande,PB
CUST000048,CUNQ000048,99353,sao paulo,SP
CUST000049,CUNQ000049,94012,mossoro,RN
CUST000050,CUNQ000050,48469,fortaleza,CE
CUST000051,CUNQ000051,69470,cuiaba,MT
CUST000052,CUNQ000052,75612,santos,SP
CUST000053,CUNQ000053,76542,manaus,AM
CUST000054,CUNQ000054,49117,pelotas,RS
CUST000055,CUNQ000055,30032,boa vista,RR
CUST000056,CUNQ000056,80697,belem,PA
CUST000057,CUNQ000057,88504,manaus,AM
CUST000058,CUNQ000058,12552,caucaia,CE
CUST000059,CUNQ000059,50306,caxias do sul,RS
CUST000060,CUNQ000060,41571,brasilia,DF
CUST000061,CUNQ000061,21226,maceio,AL
CUST000062,CUNQ000062,19071,rio branco,AC
CUST000063,CUNQ000063,26828,manaus,AM
CUST000064,CUNQ000064,82063,ji-parana,RO
CUST000065,CUNQ000065,79163,joinville,SC
CUST000066,CUNQ000066,37760,parnaiba,PI
CUST000067,CUNQ000067,50857,natal,RN
CUST000068,CUNQ000068,95180,serra,ES
CUST000069,CUNQ000069,77839,ananindeua,PA
CUST000070,CUNQ000070,42493,campo grande,MS
CUST000071,CUNQ000071,54313,brasilia,DF
CUST000072,CUNQ000072,82603,osasco,SP
CUST000073,CUNQ000073,10942,brasilia,DF
CUST000074,CUNQ000074,40007,belo horizonte,MG
CUST000075,CUNQ000075,53309,belo horizonte,MG
CUST000076,CUNQ000076,46500,uberlandia,MG
CUST000077,CUNQ000077,38080,ji-parana,RO
CUST000078,CUNQ000078,84847,natal,RN
CUST000079,CUNQ000079,41850,arapiraca,AL
CUST000080,CUNQ000080,63354,macapa,AP
CUST000081,CUNQ000081,22704,salvador,BA
CUST000082,CUNQ000082,56438,ji-parana,RO
CUST000083,CUNQ000083,71213,varzea grande,MT
CUST000084,CUNQ000084,98259,rio branco,AC
CUST000085,CUNQ000085,17944,aracaju,SE
CUST000086,CUNQ000086,54473,serra,ES
CUST000087,CUNQ000087,42591,macapa,AP
CUST000088,CUNQ000088,80292,salvador,BA
CUST000089,CUNQ000089,65296,campo grande,MS
CUST000090,CUNQ000090,70637,joinville,SC
CUST000091,CUNQ000091,68082,brasilia,DF
CUST000092,CUNQ000092,16630,macapa,AP
CUST000093,CUNQ000093,22224,aracaju,SE
CUST000094,CUNQ000094,31798,manaus,AM
CUST000095,CUNQ000095,73092,varzea grande,MT
CUST000096,CUNQ000096,17685,feira de santana,BA
CUST000097,CUNQ000097,10282,joinville,SC
CUST000098,CUNQ000098,69638,vila velha,ES
CUST000099,CUNQ000099,82845,jaboatao dos guararapes,PE
CUST000100,CUNQ000100,30289,ji-parana,RO
CUST000101,CUNQ000101,38534,feira de santana,BA
CUST000102,CUNQ000102,51104,rio de janeiro,RJ
CUST000103,CUNQ000103,86569,rio de janeiro,RJ
CUST000104,CUNQ000104,17455,sao luis,MA
CUST000105,CUNQ000105,34356,joao pessoa,PB
CUST000106,CUNQ000106,98501,belo horizonte,MG
CUST000107,CUNQ000107,25713,brasilia,DF
CUST000108,CUNQ000108,85880,maceio,AL
CUST000109,CUNQ000109,91183,teresina,PI
CUST000110,CUNQ000110,96163,contagem,MG
CUST000111,CUNQ000111,44179,arapiraca,AL
CUST000112,CUNQ000112,51180,vitoria da conquista,BA
CUST000113,CUNQ000113,61876,brasilia,DF
CUST000114,CUNQ000114,94607,maringa,PR
CUST000115,CUNQ000115,51441,jaboatao dos guararapes,PE
CUST000116,CUNQ000116,11220,manaus,AM
CUST000117,CUNQ000117,19602,campo grande,MS
CUST000118,CUNQ000118,76307,natal,RN
CUST000119,CUNQ000119,55745,goiania,GO
CUST000120,CUNQ000120,58434,uberlandia,MG
CUST000121,CUNQ000121,67433,recife,PE
CUST000122,CUNQ000122,90173,boa vista,RR
CUST000123,CUNQ000123,97538,macapa,AP
CUST000124,CUNQ000124,96951,boa vista,RR
CUST000125,CUNQ000125,44664,porto alegre,RS
CUST000126,CUNQ000126,82512,porto alegre,RS
CUST000127,CUNQ000127,46930,londrina,PR
CUST000128,CUNQ000128,54942,teresina,PI
CUST000129,CUNQ000129,93130,vitoria da conquista,BA
CUST000130,CUNQ000130,42914,aparecida de goiania,GO
CUST000131,CUNQ000131,93136,rio de janeiro,RJ
CUST000132,CUNQ000132,15778,varzea grande,MT
CUST000133,CUNQ000133,27146,santos,SP
CUST000134,CUNQ000134,31178,nossa senhora do socorro,SE
CUST000135,CUNQ000135,82309,rio branco,AC
CUST000136,CUNQ000136,83519,araguaina,TO
CUST000137,CUNQ000137,19862,sao paulo,SP
CUST000138,CUNQ000138,81511,palmas,TO
CUST000139,CUNQ000139,86350,duque de caxias,RJ
CUST000140,CUNQ000140,66333,natal,RN
CUST000141,CUNQ000141,50404,curitiba,PR
CUST000142,CUNQ000142,56898,belem,PA
CUST000143,CUNQ000143,42706,vitoria da conquista,BA
CUST000144,CUNQ000144,56357,porto velho,RO
CUST000145,CUNQ000145,91351,manaus,AM
CUST000146,CUNQ000146,41029,rio branco,AC
CUST000147,CUNQ000147,64040,florianopolis,SC
CUST000148,CUNQ000148,53540,campinas,SP
CUST000149,CUNQ000149,97806,macapa,AP
CUST000150,CUNQ000150,44970,rio branco,AC
CUST000151,CUNQ000151,24168,blumenau,SC
CUST000152,CUNQ000152,71694,vitoria,ES
CUST000153,CUNQ000153,70332,brasilia,DF
CUST000154,CUNQ000154,39831,ananindeua,PA
CUST000155,CUNQ000155,96511,brasilia,DF
CUST000156,CUNQ000156,53025,feira de santana,BA
CUST000157,CUNQ000157,46585,goiania,GO
CUST000158,CUNQ000158,99065,ananindeua,PA
CUST000159,CUNQ000159,13617,boa vista,RR
CUST000160,CUNQ000160,33405,caxias do sul,RS
CUST000161,CUNQ000161,15014,arapiraca,AL
CUST000162,CUNQ000162,66959,pelotas,RS
CUST000163,CUNQ000163,67199,ananindeua,PA
CUST000164,CUNQ000164,60488,teresina,PI
CUST000165,CUNQ000165,43386,maceio,AL
CUST000166,CUNQ000166,10221,nova iguacu,RJ
CUST000167,CUNQ000167,57739,joao pessoa,PB
CUST000168,CUNQ000168,97062,cuiaba,MT
CUST000169,CUNQ000169,96951,caucaia,CE
CUST000170,CUNQ000170,49363,pelotas,RS
CUST000171,CUNQ000171,97410,campina grande,PB
CUST000172,CUNQ000172,62743,varzea grande,MT
CUST000173,CUNQ000173,82667,araguaina,TO
CUST000174,CUNQ000174,65108,curitiba,PR
CUST000175,CUNQ000175,98777,ji-parana,RO
CUST000176,CUNQ000176,90676,rio branco,AC
CUST000177,CUNQ000177,63225,arapiraca,AL
CUST000178,CUNQ000178,49829,natal,RN
CUST000179,CUNQ000179,66346,recife,PE
CUST000180,CUNQ000180,70946,macapa,AP
CUST000181,CUNQ000181,98555,dourados,MS
CUST000182,CUNQ000182,72021,vitoria da conquista,BA
CUST000183,CUNQ000183,96356,macapa,AP
CUST000184,CUNQ000184,77561,juiz de fora,MG
CUST000185,CUNQ000185,22240,ji-parana,RO
CUST000186,CUNQ000186,98184,boa vista,RR
CUST000187,CUNQ000187,36100,recife,PE
CUST000188,CUNQ000188,16057,curitiba,PR
CUST000189,CUNQ000189,90120,brasilia,DF
CUST000190,CUNQ000190,69692,manaus,AM
CUST000191,CUNQ000191,60328,cuiaba,MT
CUST000192,CUNQ000192,41979,imperatriz,MA
CUST000193,CUNQ000193,10726,maringa,PR
CUST000194,CUNQ000194,65724,manaus,AM
CUST000195,CUNQ000195,77889,brasilia,DF
CUST000196,CUNQ000196,83060,campo grande,MS
CUST000197,CUNQ000197,69829,brasilia,DF
CUST000198,CUNQ000198,97500,londrina,PR
CUST000199,CUNQ000199,68008,campina grande,PB
CUST000200,CUNQ000200,81810,parnaiba,PI
CUST000201,CUNQ000201,72216,campo grande,MS
CUST000202,CUNQ000202,42406,dourados,MS
CUST000203,CUNQ000203,78327,boa vista,RR
CUST000204,CUNQ000204,45992,sao luis,MA
CUST000205,CUNQ000205,47450,campo grande,MS
CUST000206,CUNQ000206,54020,brasilia,DF
CUST000207,CUNQ000207,28136,fortaleza,CE
CUST000208,CUNQ000208,60205,curitiba,PR
CUST000209,CUNQ000209,38043,palmas,TO
CUST000210,CUNQ000210,63424,contagem,MG
CUST000211,CUNQ000211,64496,caucaia,CE
CUST000212,CUNQ000212,65069,niteroi,RJ
CUST000213,CUNQ000213,12560,serra,ES
CUST000214,CUNQ000214,72518,manaus,AM
CUST000215,CUNQ000215,49139,santos,SP
CUST000216,CUNQ000216,64921,manaus,AM
CUST000217,CUNQ000217,73993,natal,RN
CUST000218,CUNQ000218,67125,brasilia,DF
CUST000219,CUNQ000219,60968,sao luis,MA
CUST000220,CUNQ000220,31632,caucaia,CE
CUST000221,CUNQ000221,26728,boa vista,RR
CUST000222,CUNQ000222,61645,teresina,PI
CUST000223,CUNQ000223,21003,maceio,AL
CUST000224,CUNQ000224,27786,nossa senhora do socorro,SE
CUST000225,CUNQ000225,16590,campo grande,MS
CUST000226,CUNQ000226,52906,aparecida de goiania,GO
CUST000227,CUNQ000227,52840,feira de santana,BA
CUST000228,CUNQ000228,46471,caucaia,CE
CUST000229,CUNQ000229,43065,manaus,AM
CUST000230,CUNQ000230,71644,boa vista,RR
CUST000231,CUNQ000231,16826,osasco,SP
CUST000232,CUNQ000232,95215,belem,PA
CUST000233,CUNQ000233,14067,belo horizonte,MG
CUST000234,CUNQ000234,12671,brasilia,DF
CUST000235,CUNQ000235,41266,teresina,PI
CUST000236,CUNQ000236,97747,londrina,PR
CUST000237,CUNQ000237,38569,pelotas,RS
CUST000238,CUNQ000238,58351,dourados,MS
CUST000239,CUNQ000239,89593,blumenau,SC
CUST000240,CUNQ000240,31465,rio branco,AC
CUST000241,CUNQ000241,85849,recife,PE
CUST000242,CUNQ000242,85470,santos,SP
CUST000243,CUNQ000243,61990,ji-parana,RO
CUST000244,CUNQ000244,19961,palmas,TO
CUST000245,CUNQ000245,23356,maceio,AL
CUST000246,CUNQ000246,99687,araguaina,TO
CUST000247,CUNQ000247,84177,teresina,PI
CUST000248,CUNQ000248,55508,macapa,AP
CUST000249,CUNQ000249,96706,mossoro,RN
CUST000250,CUNQ000250,76317,belem,PA
CUST000251,CUNQ000251,11658,nossa senhora do socorro,SE
CUST000252,CUNQ000252,23833,varzea grande,MT
CUST000253,CUNQ000253,93307,varzea grande,MT
CUST000254,CUNQ000254,30052,boa vista,RR
CUST000255,CUNQ000255,78386,cuiaba,MT
CUST000256,CUNQ000256,90728,nossa senhora do socorro,SE
CUST000257,CUNQ000257,70931,macapa,AP
CUST000258,CUNQ000258,52245,varzea grande,MT
CUST000259,CUNQ000259,46559,brasilia,DF
CUST000260,CUNQ000260,70910,campo grande,MS
CUST000261,CUNQ000261,54092,arapiraca,AL
CUST000262,CUNQ000262,52600,sorocaba,SP
CUST000263,CUNQ000263,37802,joinville,SC
CUST000264,CUNQ000264,54608,ananindeua,PA
CUST000265,CUNQ000265,82848,aparecida de goiania,GO
CUST000266,CUNQ000266,35042,osasco,SP
CUST000267,CUNQ000267,63271,uberlandia,MG
CUST000268,CUNQ000268,72402,sao luis,MA
CUST000269,CUNQ000269,68743,nossa senhora do socorro,SE
CUST000270,CUNQ000270,22196,macapa,AP
CUST000271,CUNQ000271,63005,recife,PE
CUST000272,CUNQ000272,50135,palmas,TO
CUST000273,CUNQ000273,72031,ji-parana,RO
CUST000274,CUNQ000274,65771,mossoro,RN
CUST000275,CUNQ000275,56112,rio branco,AC
CUST000276,CUNQ000276,45509,araguaina,TO
CUST000277,CUNQ000277,40217,jaboatao dos guararapes,PE
CUST000278,CUNQ000278,35242,pelotas,RS
CUST000279,CUNQ000279,80236,fortaleza,CE
CUST000280,CUNQ000280,35105,manaus,AM
CUST000281,CUNQ000281,73464,vitoria da conquista,BA
CUST000282,CUNQ000282,23176,aparecida de goiania,GO
