order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
ORD000001,1,PROD00077,SELL00050,2024-04-22 11:38:02,253.12,36.13
ORD000001,2,PROD00236,SELL00065,2023-04-11 12:56:37,590.46,6.34
ORD000001,3,PROD00197,SELL00107,2024-08-07 16:17:10,166.44,56.07
ORD000002,1,PROD00027,SELL00046,2024-02-12 02:01:01,166.17,8.81
ORD000003,1,PROD00227,SELL00134,2024-07-09 06:52:05,819.06,30.62
ORD000004,1,PROD00261,SELL00041,2024-05-20 05:09:40,521.99,32.93
ORD000005,1,PROD00043,SELL00114,2024-07-01 23:27:24,624.58,21.21
ORD000005,2,PROD00058,SELL00079,2023-04-01 09:27:08,24.26,8.67
ORD000005,3,PROD00319,SELL00129,2023-06-07 08:20:31,311.98,78.34
ORD000006,1,PROD00025,SELL00128,2024-11-10 19:21:08,444.6,25.09
ORD000007,1,PROD00106,SELL00082,2024-04-16 00:15:13,637.77,51.57
ORD000008,1,PROD00001,SELL00071,2024-03-18 18:04:17,54.19,13.01
ORD000009,1,PROD00266,SELL00118,2023-05-16 01:00:31,764.62,41.25
ORD000009,2,PROD00036,SELL00086,2024-08-08 04:45:30,561.42,31.28
ORD000010,1,PROD00047,SELL00061,2023-12-28 04:35:58,765.82,16.61
ORD000011,1,PROD00378,SELL00019,2024-04-05 00:08:11,638.95,77.71
ORD000012,1,PROD00137,SELL00063,2024-05-03 21:19:01,524.18,68.82
ORD000012,2,PROD00349,SELL00042,2023-04-16 12:30:45,316.31,17.11
ORD000013,1,PROD00059,SELL00024,2023-11-27 04:32:49,845.05,73.14
ORD000014,1,PROD00195,SELL00074,2024-10-23 16:09:07,760.45,65.16
ORD000015,1,PROD00110,SELL00060,2024-04-22 12:10:10,547.36,78.02
ORD000016,1,PROD00205,SELL00083,2023-04-24 11:16:42,421.65,57.2
ORD000016,2,PROD00048,SELL00015,2024-04-23 08:40:24,824.55,27.43
ORD000017,1,PROD00276,SELL00020,2024-09-07 02:54:10,155.23,14.77
ORD000018,1,PROD00292,SELL00107,2023-07-02 10:56:11,497.69,56.98
ORD000019,1,PROD00300,SELL00054,2024-04-26 16:22:01,857.94,77.59
ORD000019,2,PROD00057,SELL00054,2024-03-20 16:47:15,223.54,74.3
ORD000020,1,PROD00271,SELL00128,2023-07-15 23:07:57,795.45,24.34
ORD000021,1,PROD00305,SELL00112,2023-11-08 22:40:10,572.25,30.7
ORD000022,1,PROD00383,SELL00004,2024-01-21 13:10:35,474.22,17.36
