seller_id,seller_zip_code_prefix,seller_city,seller_state
SELL00001,16433,imperatriz,MA
SELL00002,89423,belem,PA
SELL00003,11715,palmas,TO
SELL00004,74409,vitoria da conquista,BA
SELL00005,71349,boa vista,RR
SELL00006,57307,macapa,AP
SELL00007,58374,mossoro,RN
SELL00008,90862,macapa,AP
SELL00009,19225,goiania,GO
SELL00010,20215,boa vista,RR
SELL00011,22729,vitoria da conquista,BA
SELL00012,40279,pelotas,RS
SELL00013,34832,mossoro,RN
SELL00014,96098,vitoria da conquista,BA
SELL00015,83193,brasilia,DF
SELL00016,23829,rio branco,AC
SELL00017,98407,manaus,AM
SELL00018,23644,dourados,MS
SELL00019,82085,florianopolis,SC
SELL00020,54238,serra,ES
SELL00021,79979,porto velho,RO
SELL00022,56179,parnaiba,PI
SELL00023,58722,caucaia,CE
SELL00024,52395,varzea grande,MT
SELL00025,83812,teresina,PI
SELL00026,59160,natal,RN
SELL00027,57187,manaus,AM
SELL00028,62047,dourados,MS
SELL00029,47287,sao paulo,SP
SELL00030,77844,teresina,PI
SELL00031,10860,londrina,PR
SELL00032,38157,recife,PE
SELL00033,46170,fortaleza,CE
SELL00034,22358,natal,RN
SELL00035,56616,nova iguacu,RJ
SELL00036,44732,curitiba,PR
SELL00037,40539,belem,PA
SELL00038,22046,aparecida de goiania,GO
SELL00039,84588,arapiraca,AL
SELL00040,20118,vitoria da conquista,BA
SELL00041,73246,rio branco,AC
SELL00042,85527,joinville,SC
SELL00043,88018,boa vista,RR
SELL00044,14898,nossa senhora do socorro,SE
SELL00045,20286,rio branco,AC
SELL00046,53829,manaus,AM
SELL00047,64594,ananindeua,PA
SELL00048,95561,porto alegre,RS
SELL00049,93084,teresina,PI
SELL00050,17094,manaus,AM
SELL00051,51853,recife,PE
SELL00052,52838,natal,RN
SELL00053,30079,joao pessoa,PB
SELL00054,68407,nova iguacu,RJ
SELL00055,39109,manaus,AM
SELL00056,61684,varzea grande,MT
SELL00057,54062,curitiba,PR
SELL00058,84899,contagem,MG
SELL00059,81847,rio branco,AC
SELL00060,21151,vila velha,ES
SELL00061,66949,serra,ES
SELL00062,27677,manaus,AM
SELL00063,73944,sao luis,MA
SELL00064,84885,serra,ES
SELL00065,90739,vitoria da conquista,BA
SELL00066,41760,rio branco,AC
SELL00067,66369,juiz de fora,MG
SELL00068,24749,fortaleza,CE
SELL00069,65514,ji-parana,RO
SELL00070,34967,ananindeua,PA
SELL00071,87840,caucaia,CE
SELL00072,49953,aracaju,SE
SELL00073,90769,joinville,SC
SELL00074,91681,boa vista,RR
SELL00075,15882,londrina,PR
SELL00076,36173,boa vista,RR
SELL00077,30446,ji-parana,RO
SELL00078,24728,manaus,AM
SELL00079,41856,rio branco,AC
SELL00080,47707,teresina,PI
SELL00081,24585,santos,SP
SELL00082,71759,jaboatao dos guararapes,PE
SELL00083,37395,santos,SP
SELL00084,36712,rio branco,AC
SELL00085,81932,mossoro,RN
SELL00086,97590,sao luis,MA
SELL00087,86415,sorocaba,SP
SELL00088,43483,porto velho,RO
SELL00089,47226,florianopolis,SC
SELL00090,90997,vitoria da conquista,BA
SELL00091,70943,goiania,GO
SELL00092,18729,aracaju,SE
SELL00093,45561,serra,ES
SELL00094,24141,ji-parana,RO
SELL00095,95119,santos,SP
SELL00096,59899,vitoria,ES
SELL00097,51347,joao pessoa,PB
SELL00098,34434,sao luis,MA
SELL00099,70029,vitoria da conquista,BA
SELL00100,15210,natal,RN
SELL00101,53721,brasilia,DF
SELL00102,30578,imperatriz,MA
SELL00103,99694,santos,SP
SELL00104,91950,ananindeua,PA
SELL00105,75700,recife,PE
SELL00106,92023,goiania,GO
SELL00107,13862,aparecida de goiania,GO
SELL00108,39567,mossoro,RN
SELL00109,61491,londrina,PR
SELL00110,21507,porto velho,RO
SELL00111,78251,rio branco,AC
SELL00112,64700,porto velho,RO
SELL00113,65897,brasilia,DF
SELL00114,68873,jaboatao dos guararapes,PE
SELL00115,37100,natal,RN
SELL00116,86156,aracaju,SE
SELL00117,28102,natal,RN
SELL00118,66369,recife,PE
SELL00119,96013,manaus,AM
SELL00120,51614,maceio,AL
SELL00121,34134,belo horizonte,MG
SELL00122,13864,fortaleza,CE
SELL00123,64269,manaus,AM
SELL00124,68065,varzea grande,MT
SELL00125,29917,rio branco,AC
SELL00126,23994,manaus,AM
SELL00127,13433,curitiba,PR
SELL00128,89377,manaus,AM
SELL00129,88166,maceio,AL
SELL00130,13418,brasilia,DF
SELL00131,72469,belem,PA
SELL00132,89260,maringa,PR
SELL00133,34114,imperatriz,MA
SELL00134,72108,vila velha,ES
SELL00135,35330,curitiba,PR
SELL00136,63554,brasilia,DF
SELL00137,45370,manaus,AM
SELL00138,97993,cuiaba,MT
SELL00139,18668,salvador,BA
SELL00140,90879,joinville,SC
SELL00141,69971,imperatriz,MA
SELL00142,63066,brasilia,DF
SELL00143,89682,manaus,AM
SELL00144,51012,rio branco,AC
SELL00145,84964,serra,ES
SELL00146,78242,teresina,PI
SELL00147,69886,caxias do sul,RS
SELL00148,42207,boa vista,RR
SELL00149,15144,campina grande,PB
SELL00150,77649,mossoro,RN
