product_category_name,product_category_name_english
bed_bath_table,bed_bath_table
health_beauty,health_beauty
sports_leisure,sports_leisure
computers_accessories,computers_accessories
furniture_decor,furniture_decor
housewares,housewares
watches_gifts,watches_gifts
telephony,telephony
auto,auto
toys,toys
cool_stuff,cool_stuff
garden_tools,garden_tools
perfumery,perfumery
baby,baby
electronics,electronics
stationery,stationery
fashion_bags_accessories,fashion_bags_accessories
pet_shop,pet_shop
office_furniture,office_furniture
consoles_games,consoles_games
construction_tools_construction,construction_tools_construction
musical_instruments,musical_instruments
home_appliances,home_appliances
food_drink,food_drink
luggage_accessories,luggage_accessories
air_conditioning,air_conditioning
fashion_shoes,fashion_shoes
computers,computers
furniture_bedroom,furniture_bedroom
books_general_interest,books_general_interest
market_place,market_place
industry_commerce_and_business,industry_commerce_and_business
small_appliances,small_appliances
fashion_underwear_beach,fashion_underwear_beach
home_confort,home_confort
costruction_tools_garden,costruction_tools_garden
signaling_and_security,signaling_and_security
cine_photo,cine_photo
fashion_male_clothing,fashion_male_clothing
furniture_living_room,furniture_living_room
