posting_id,cost_center,gl_account,fiscal_year,period,amount,posting_date
COP000001,CC0009,400000,2024,10,1738.03,2024-10-16
COP000002,CC0014,410000,2023,10,11548.93,2023-10-09
COP000003,CC0016,440000,2023,4,4803.47,2023-04-15
COP000004,CC0025,400000,2024,3,1974.96,2024-03-08
COP000005,CC0019,410000,2023,8,25515.09,2023-08-12
COP000006,CC0011,440000,2023,1,10342.46,2023-01-28
COP000007,CC0008,440000,2024,10,21266.23,2024-10-27
COP000008,CC0017,440000,2024,4,14270.44,2024-04-04
COP000009,CC0019,410000,2023,1,35057.9,2023-01-07
COP000010,CC0010,420000,2023,12,8196.24,2023-12-15
COP000011,CC0012,400000,2023,12,5090.92,2023-12-11
COP000012,CC0019,420000,2023,4,42450.97,2023-04-10
COP000013,CC0015,420000,2024,9,40452.85,2024-09-10
COP000014,CC0023,440000,2024,4,6678.9,2024-04-15
COP000015,CC0002,400000,2024,1,27826.01,2024-01-23
COP000016,CC0004,440000,2024,10,44329.86,2024-10-05
COP000017,CC0005,440000,2024,1,10018.29,2024-01-06
COP000018,CC0019,400000,2023,3,33232.53,2023-03-13
COP000019,CC0022,400000,2023,10,42838.23,2023-10-24
COP000020,CC0009,430000,2023,4,14259.69,2023-04-14
COP000021,CC0016,420000,2024,10,8551.38,2024-10-12
COP000022,CC0018,410000,2023,12,33673.67,2023-12-30
COP000023,CC0017,400000,2024,12,30651.98,2024-12-19
COP000024,CC0002,440000,2023,6,36591.78,2023-06-25
COP000025,CC0008,430000,2023,6,19283.04,2023-06-17
COP000026,CC0023,440000,2024,10,11370.95,2024-10-17
COP000027,CC0015,400000,2023,11,11837.88,2023-11-29
COP000028,CC0018,420000,2023,2,20357.66,2023-02-02
COP000029,CC0024,410000,2023,3,45700.24,2023-03-09
COP000030,CC0008,420000,2024,8,11025.01,2024-08-03
COP000031,CC0004,430000,2024,5,44291.82,2024-05-26
COP000032,CC0008,430000,2024,10,7572.14,2024-10-20
COP000033,CC0021,410000,2023,5,37376.95,2023-05-23
COP000034,CC0003,420000,2024,7,37477.18,2024-07-05
COP000035,CC0018,440000,2024,3,20270.33,2024-03-14
COP000036,CC0013,410000,2023,8,25721.55,2023-08-13
COP000037,CC0025,400000,2023,4,43124.59,2023-04-04
COP000038,CC0016,410000,2023,6,39707.93,2023-06-06
COP000039,CC0014,440000,2024,3,3644.62,2024-03-08
COP000040,CC0001,440000,2024,1,49808.01,2024-01-26
COP000041,CC0020,420000,2024,6,48568.38,2024-06-25
COP000042,CC0019,400000,2023,1,34244.66,2023-01-12
COP000043,CC0013,420000,2024,7,38545.64,2024-07-03
COP000044,CC0017,400000,2023,12,15028.26,2023-12-15
COP000045,CC0009,430000,2023,6,660.64,2023-06-11
COP000046,CC0009,440000,2023,9,38217.13,2023-09-27
COP000047,CC0017,400000,2024,6,43590.67,2024-06-03
COP000048,CC0020,440000,2023,11,30644.03,2023-11-02
COP000049,CC0013,420000,2023,6,38244.28,2023-06-06
COP000050,CC0014,440000,2024,7,45965.43,2024-07-06
COP000051,CC0023,420000,2024,9,24685.98,2024-09-05
COP000052,CC0011,420000,2023,4,43996.73,2023-04-25
COP000053,CC0004,410000,2023,11,3367.3,2023-11-11
COP000054,CC0019,400000,2024,8,4739.85,2024-08-03
COP000055,CC0013,400000,2024,5,48910.23,2024-05-12
COP000056,CC0011,410000,2024,6,6855.38,2024-06-29
COP000057,CC0021,440000,2024,5,8673.78,2024-05-01
COP000058,CC0024,440000,2024,6,21445.33,2024-06-24
COP000059,CC0018,440000,2023,8,37885.63,2023-08-05
COP000060,CC0016,410000,2024,12,35790.97,2024-12-07
COP000061,CC0011,420000,2024,2,22185.95,2024-02-13
COP000062,CC0001,430000,2024,6,6489.71,2024-06-13
COP000063,CC0015,400000,2023,8,17235.24,2023-08-19
COP000064,CC0022,440000,2024,8,11890.68,2024-08-25
COP000065,CC0021,400000,2023,8,4014.16,2023-08-14
COP000066,CC0019,400000,2024,10,11832.62,2024-10-08
COP000067,CC0021,420000,2023,2,4007.44,2023-02-02
COP000068,CC0012,420000,2023,9,33614.4,2023-09-01
COP000069,CC0022,440000,2023,8,7049.44,2023-08-08
COP000070,CC0024,440000,2024,8,23897.22,2024-08-07
COP000071,CC0016,430000,2024,4,9925.29,2024-04-29
COP000072,CC0019,430000,2023,4,18037.73,2023-04-10
COP000073,CC0011,430000,2024,2,43259.92,2024-02-25
COP000074,CC0017,400000,2023,2,3500.33,2023-02-25
COP000075,CC0007,400000,2023,12,12808.49,2023-12-14
COP000076,CC0020,440000,2023,7,22706.37,2023-07-14
COP000077,CC0021,410000,2024,3,14287.98,2024-03-08
COP000078,CC0020,400000,2023,9,22434.97,2023-09-13
COP000079,CC0017,400000,2024,7,3004.12,2024-07-17
COP000080,CC0014,400000,2024,7,48465.31,2024-07-07
COP000081,CC0024,410000,2023,8,20617.5,2023-08-31
COP000082,CC0008,410000,2024,5,43300.19,2024-05-07
COP000083,CC0001,410000,2023,3,19259.17,2023-03-02
COP000084,CC0023,420000,2024,2,46362.64,2024-02-04
COP000085,CC0013,420000,2024,4,21438.87,2024-04-10
COP000086,CC0002,430000,2024,7,8162.44,2024-07-23
COP000087,CC0016,410000,2023,10,48451.11,2023-10-31
COP000088,CC0017,440000,2024,8,3517.4,2024-08-16
COP000089,CC0016,400000,2023,11,2982.05,2023-11-18
COP000090,CC0024,440000,2024,5,46009.66,2024-05-03
COP000091,CC0012,410000,2024,6,3315.54,2024-06-27
COP000092,CC0019,400000,2024,6,42641.46,2024-06-04
COP000093,CC0013,440000,2023,3,3864.06,2023-03-12
COP000094,CC0012,430000,2023,8,6434.39,2023-08-29
COP000095,CC0014,410000,2024,8,29156.49,2024-08-06
COP000096,CC0014,440000,2023,2,4558.18,2023-02-10
COP000097,CC0008,440000,2024,11,28478.73,2024-11-04
COP000098,CC0025,420000,2023,11,10610.83,2023-11-20
COP000099,CC0017,410000,2023,11,13647.92,2023-11-18
COP000100,CC0005,420000,2023,5,23132.62,2023-05-15
COP000101,CC0011,400000,2023,3,23185.13,2023-03-16
COP000102,CC0017,400000,2024,7,4126.41,2024-07-30
COP000103,CC0025,440000,2023,8,13627.42,2023-08-07
COP000104,CC0013,400000,2023,12,44023.88,2023-12-24
COP000105,CC0010,420000,2024,1,8308.47,2024-01-14
COP000106,CC0004,420000,2024,7,30778.05,2024-07-10
COP000107,CC0022,440000,2024,10,887.24,2024-10-31
COP000108,CC0004,420000,2024,7,46621.92,2024-07-21
COP000109,CC0012,410000,2023,4,13591.06,2023-04-17
COP000110,CC0023,440000,2023,4,8194.67,2023-04-20
COP000111,CC0006,440000,2023,10,10926.17,2023-10-16
COP000112,CC0024,410000,2023,12,34531.11,2023-12-18
