lead_id,customer_id,lead_source,lead_status,created_date,owner_employee_id
LEAD00001,CUNQ001861,Website,New,2024-10-16,EMP00163
LEAD00002,CUNQ001294,Referral,Contacted,2023-10-09,EMP00157
LEAD00003,CUNQ000612,Social Media,Converted,2023-04-15,EMP00064
LEAD00004,CUNQ001096,Website,Qualified,2024-07-12,EMP00175
LEAD00005,CUNQ001049,Website,New,2023-02-02,EMP00248
LEAD00006,CUNQ000002,Marketing Campaign,Converted,2023-08-27,EMP00120
LEAD00007,CUNQ001569,Referral,Converted,2024-07-28,EMP00230
LEAD00008,CUNQ001162,Marketing Campaign,Qualified,2024-12-19,EMP00064
LEAD00009,CUNQ000101,Marketing Campaign,Contacted,2024-04-04,EMP00175
LEAD00010,CUNQ001889,Referral,Converted,2023-01-07,EMP00199
LEAD00011,CUNQ001418,Trade Show,Contacted,2023-12-15,EMP00120
LEAD00012,CUNQ000135,Website,New,2023-12-11,EMP00163
LEAD00013,CUNQ000541,Trade Show,Converted,2023-04-10,EMP00163
LEAD00014,CUNQ001232,Trade Show,Converted,2024-09-10,EMP00199
LEAD00015,CUNQ001241,Marketing Campaign,New,2024-04-15,EMP00163
LEAD00016,CUNQ000124,Website,Qualified,2024-01-23,EMP00084
LEAD00017,CUNQ000210,Marketing Campaign,Lost,2024-10-05,EMP00016
LEAD00018,CUNQ000275,Marketing Campaign,Contacted,2024-01-06,EMP00064
LEAD00019,CUNQ000610,Website,Converted,2023-03-13,EMP00201
LEAD00020,CUNQ001551,Website,Lost,2023-10-24,EMP00230
LEAD00021,CUNQ000341,Cold Call,Contacted,2023-04-14,EMP00201
LEAD00022,CUNQ001160,Trade Show,Contacted,2024-10-12,EMP00211
LEAD00023,CUNQ000076,Referral,Converted,2023-12-30,EMP00170
LEAD00024,CUNQ000257,Social Media,Converted,2024-12-19,EMP00077
LEAD00025,CUNQ000598,Social Media,Contacted,2024-09-15,EMP00221
LEAD00026,CUNQ001799,Referral,Qualified,2023-09-08,EMP00199
LEAD00027,CUNQ000764,Social Media,Converted,2023-10-04,EMP00230
LEAD00028,CUNQ000453,Social Media,Contacted,2023-08-13,EMP00076
LEAD00029,CUNQ001470,Referral,Converted,2023-02-27,EMP00209
LEAD00030,CUNQ001050,Cold Call,Contacted,2023-11-20,EMP00077
LEAD00031,CUNQ001837,Marketing Campaign,Lost,2023-08-05,EMP00230
LEAD00032,CUNQ001264,Referral,Converted,2023-11-19,EMP00064
LEAD00033,CUNQ000763,Social Media,Qualified,2024-02-10,EMP00199
LEAD00034,CUNQ001552,Referral,Contacted,2023-09-29,EMP00209
LEAD00035,CUNQ001689,Marketing Campaign,Contacted,2024-07-28,EMP00211
LEAD00036,CUNQ000902,Cold Call,Lost,2024-08-21,EMP00221
LEAD00037,CUNQ001909,Trade Show,Contacted,2024-02-13,EMP00064
LEAD00038,CUNQ001676,Marketing Campaign,Qualified,2023-05-22,EMP00016
LEAD00039,CUNQ001662,Website,Contacted,2023-02-18,EMP00199
LEAD00040,CUNQ001043,Social Media,Qualified,2023-06-13,EMP00071
LEAD00041,CUNQ000157,Cold Call,Qualified,2023-03-07,EMP00016
LEAD00042,CUNQ001394,Marketing Campaign,Contacted,2024-04-24,EMP00064
LEAD00043,CUNQ001082,Website,Converted,2024-07-20,EMP00248
LEAD00044,CUNQ000613,Social Media,Lost,2023-04-28,EMP00175
LEAD00045,CUNQ000082,Social Media,Contacted,2023-10-01,EMP00175
LEAD00046,CUNQ001259,Cold Call,Contacted,2023-10-28,EMP00170
LEAD00047,CUNQ000229,Social Media,Lost,2023-01-04,EMP00071
LEAD00048,CUNQ001526,Marketing Campaign,Converted,2023-09-27,EMP00076
LEAD00049,CUNQ001935,Website,Lost,2024-06-03,EMP00157
LEAD00050,CUNQ001156,Social Media,Qualified,2023-11-02,EMP00084
LEAD00051,CUNQ001657,Referral,Qualified,2023-07-23,EMP00163
LEAD00052,CUNQ000927,Marketing Campaign,Lost,2023-06-15,EMP00157
LEAD00053,CUNQ000743,Website,Qualified,2024-06-27,EMP00157
LEAD00054,CUNQ001690,Website,New,2024-05-15,EMP00120
LEAD00055,CUNQ000390,Trade Show,Contacted,2024-01-07,EMP00199
LEAD00056,CUNQ001075,Marketing Campaign,Lost,2023-09-04,EMP00201
LEAD00057,CUNQ001490,Social Media,Qualified,2023-03-29,EMP00211
LEAD00058,CUNQ000334,Marketing Campaign,Converted,2023-03-12,EMP00076
LEAD00059,CUNQ000984,Social Media,Qualified,2023-05-12,EMP00170
LEAD00060,CUNQ001097,Referral,Contacted,2024-07-16,EMP00076
LEAD00061,CUNQ000476,Cold Call,Lost,2024-09-13,EMP00163
LEAD00062,CUNQ000088,Social Media,Converted,2024-07-06,EMP00209
LEAD00063,CUNQ001897,Trade Show,Qualified,2024-12-31,EMP00163
LEAD00064,CUNQ000370,Social Media,Qualified,2024-11-18,EMP00248
LEAD00065,CUNQ001577,Cold Call,New,2024-06-13,EMP00221
LEAD00066,CUNQ001345,Website,Contacted,2023-08-19,EMP00157
LEAD00067,CUNQ001814,Marketing Campaign,Contacted,2024-08-25,EMP00201
LEAD00068,CUNQ001420,Website,New,2023-08-14,EMP00120
LEAD00069,CUNQ001974,Website,Contacted,2024-10-08,EMP00077
LEAD00070,CUNQ001107,Trade Show,New,2023-02-02,EMP00221
LEAD00071,CUNQ001411,Trade Show,Converted,2023-09-01,EMP00199
LEAD00072,CUNQ001946,Marketing Campaign,New,2023-08-08,EMP00077
LEAD00073,CUNQ000245,Marketing Campaign,Qualified,2024-08-07,EMP00249
LEAD00074,CUNQ000760,Cold Call,Contacted,2024-04-29,EMP00163
LEAD00075,CUNQ000284,Social Media,Qualified,2023-04-10,EMP00249
LEAD00076,CUNQ001797,Cold Call,Qualified,2024-03-09,EMP00249
LEAD00077,CUNQ000880,Social Media,Converted,2023-02-25,EMP00230
LEAD00078,CUNQ000532,Website,New,2024-10-23,EMP00084
LEAD00079,CUNQ001211,Website,Contacted,2023-12-14,EMP00163
LEAD00080,CUNQ000778,Marketing Campaign,Qualified,2023-07-14,EMP00071
LEAD00081,CUNQ000190,Referral,Contacted,2024-03-08,EMP00071
LEAD00082,CUNQ001194,Website,Qualified,2023-09-13,EMP00084
LEAD00083,CUNQ001958,Website,New,2024-07-17,EMP00209
LEAD00084,CUNQ000090,Website,Lost,2024-07-07,EMP00211
LEAD00085,CUNQ001296,Referral,Qualified,2023-08-31,EMP00016
LEAD00086,CUNQ001886,Referral,Lost,2024-05-07,EMP00248
LEAD00087,CUNQ001408,Referral,Qualified,2023-03-02,EMP00248
LEAD00088,CUNQ000140,Trade Show,Lost,2024-02-04,EMP00157
LEAD00089,CUNQ000974,Trade Show,Qualified,2024-04-10,EMP00120
LEAD00090,CUNQ001083,Social Media,Converted,2024-07-23,EMP00249
