opportunity_id,lead_id,customer_id,opportunity_stage,expected_value,close_date
OPP00001,LEAD00003,CUNQ000612,Negotiation,5303.08,2023-05-12
OPP00002,LEAD00006,CUNQ000002,Negotiation,11618.22,2023-10-17
OPP00003,LEAD00007,CUNQ001569,Closed Won,2174.46,2024-09-18
OPP00004,LEAD00010,CUNQ001889,Closed Won,12239.93,2023-02-03
OPP00005,LEAD00013,CUNQ000541,Closed Lost,14716.12,2023-04-26
OPP00006,LEAD00014,CUNQ001232,Proposal Sent,12210.17,2024-10-15
OPP00007,LEAD00019,CUNQ000610,Closed Lost,747.36,2023-03-22
OPP00008,LEAD00023,CUNQ000076,Negotiation,11908.42,2024-01-16
OPP00009,LEAD00024,CUNQ000257,Closed Won,14013.89,2024-12-26
OPP00010,LEAD00027,CUNQ000764,Closed Lost,14839.02,2023-11-10
OPP00011,LEAD00029,CUNQ001470,Closed Lost,3949.04,2023-04-07
OPP00012,LEAD00032,CUNQ001264,Proposal Sent,4434.44,2024-01-11
OPP00013,LEAD00043,CUNQ001082,Negotiation,13013.81,2024-09-18
OPP00014,LEAD00048,CUNQ001526,Closed Won,2042.23,2023-10-23
OPP00015,LEAD00058,CUNQ000334,Closed Lost,13364.4,2023-04-09
OPP00016,LEAD00062,CUNQ000088,Closed Lost,13440.63,2024-08-27
OPP00017,LEAD00071,CUNQ001411,Closed Won,14611.11,2023-09-30
OPP00018,LEAD00077,CUNQ000880,Closed Lost,5636.73,2023-04-02
OPP00019,LEAD00090,CUNQ001083,Closed Won,12056.99,2024-09-17
OPP00020,LEAD00092,CUNQ000941,Closed Lost,1368.12,2023-04-21
OPP00021,LEAD00104,CUNQ000337,Proposal Sent,8273.02,2023-06-27
OPP00022,LEAD00116,CUNQ000725,Negotiation,1385.02,2023-10-31
OPP00023,LEAD00117,CUNQ001874,Closed Won,4736.14,2024-02-03
OPP00024,LEAD00119,CUNQ000439,Closed Lost,2666.34,2023-04-06
OPP00025,LEAD00130,CUNQ001482,Closed Won,6817.52,2023-05-19
OPP00026,LEAD00131,CUNQ000300,Closed Won,9299.8,2024-04-12
OPP00027,LEAD00134,CUNQ001591,Closed Won,9664.15,2024-01-08
OPP00028,LEAD00142,CUNQ000510,Negotiation,1310.61,2024-07-30
OPP00029,LEAD00146,CUNQ000486,Closed Lost,5577.0,2024-05-04
OPP00030,LEAD00147,CUNQ000340,Proposal Sent,14301.28,2024-01-13
OPP00031,LEAD00151,CUNQ001542,Closed Lost,715.02,2024-07-19
OPP00032,LEAD00154,CUNQ001418,Proposal Sent,11722.03,2024-10-09
