invoice_id,po_id,vendor_id,invoice_date,due_date,amount,currency,payment_status
APINV000001,PO000002,VEND00052,2023-07-30,2023-09-13,34720.62,BRL,Paid
APINV000002,PO000003,VEND00114,2024-12-07,2025-01-21,11581.32,BRL,Open
APINV000003,PO000004,VEND00097,2024-02-02,2024-03-18,57290.69,BRL,Paid
APINV000004,PO000005,VEND00096,2023-12-02,2024-01-16,52095.9,BRL,Open
APINV000005,PO000006,VEND00076,2024-03-11,2024-04-25,20310.75,BRL,Paid
APINV000006,PO000008,VEND00144,2024-09-16,2024-10-31,22766.24,BRL,Paid
APINV000007,PO000009,VEND00144,2023-03-23,2023-05-07,44634.98,BRL,Paid
APINV000008,PO000010,VEND00046,2024-02-24,2024-04-09,35909.77,BRL,Paid
APINV000009,PO000011,VEND00111,2023-11-06,2023-12-21,44215.34,BRL,Paid
APINV000010,PO000012,VEND00048,2024-11-04,2024-12-19,9883.42,BRL,Overdue
APINV000011,PO000014,VEND00019,2023-06-18,2023-08-02,14746.87,BRL,Paid
APINV000012,PO000015,VEND00134,2023-11-17,2024-01-01,57108.43,BRL,Paid
APINV000013,PO000016,VEND00125,2024-07-27,2024-09-10,51091.35,BRL,Paid
APINV000014,PO000017,VEND00027,2024-11-22,2025-01-06,13106.47,BRL,Overdue
APINV000015,PO000018,VEND00127,2024-01-31,2024-03-16,30029.7,BRL,Paid
APINV000016,PO000019,VEND00108,2024-12-21,2025-02-04,42987.5,BRL,Paid
APINV000017,PO000020,VEND00056,2024-03-25,2024-05-09,53939.96,BRL,Paid
APINV000018,PO000021,VEND00031,2025-01-11,2025-02-25,28049.02,BRL,Paid
APINV000019,PO000023,VEND00022,2023-10-24,2023-12-08,30820.24,BRL,Paid
APINV000020,PO000024,VEND00050,2024-12-20,2025-02-03,5415.0,BRL,Paid
APINV000021,PO000026,VEND00084,2024-05-06,2024-06-20,40084.19,BRL,Paid
APINV000022,PO000027,VEND00018,2023-02-15,2023-04-01,16398.47,BRL,Paid
APINV000023,PO000028,VEND00039,2023-10-23,2023-12-07,42342.81,BRL,Paid
APINV000024,PO000029,VEND00113,2024-04-14,2024-05-29,27712.71,BRL,Paid
APINV000025,PO000030,VEND00016,2023-02-18,2023-04-04,9030.6,BRL,Open
APINV000026,PO000031,VEND00050,2023-07-25,2023-09-08,10169.22,BRL,Paid
APINV000027,PO000032,VEND00027,2024-08-29,2024-10-13,19527.96,BRL,Paid
APINV000028,PO000034,VEND00032,2024-04-17,2024-06-01,57913.45,BRL,Paid
APINV000029,PO000035,VEND00124,2024-04-25,2024-06-09,28337.45,BRL,Open
APINV000030,PO000037,VEND00095,2023-12-30,2024-02-13,10299.31,BRL,Paid
APINV000031,PO000038,VEND00062,2023-11-12,2023-12-27,13686.23,BRL,Open
APINV000032,PO000039,VEND00146,2024-08-12,2024-09-26,6381.56,BRL,Paid
APINV000033,PO000040,VEND00094,2024-06-06,2024-07-21,24378.42,BRL,Paid
APINV000034,PO000042,VEND00031,2024-04-04,2024-05-19,16349.84,BRL,Overdue
APINV000035,PO000043,VEND00130,2024-12-26,2025-02-09,57173.7,BRL,Open
APINV000036,PO000044,VEND00103,2024-07-24,2024-09-07,6588.79,BRL,Paid
APINV000037,PO000045,VEND00007,2023-06-16,2023-07-31,8165.74,BRL,Paid
APINV000038,PO000046,VEND00016,2024-04-22,2024-06-06,8712.2,BRL,Open
APINV000039,PO000047,VEND00110,2024-08-20,2024-10-04,41490.83,BRL,Overdue
APINV000040,PO000048,VEND00078,2024-05-05,2024-06-19,35357.1,BRL,Paid
APINV000041,PO000051,VEND00120,2023-10-28,2023-12-12,2286.21,BRL,Paid
APINV000042,PO000052,VEND00012,2024-10-11,2024-11-25,48748.62,BRL,Paid
APINV000043,PO000053,VEND00082,2023-07-20,2023-09-03,8229.13,BRL,Overdue
APINV000044,PO000054,VEND00118,2024-03-04,2024-04-18,10911.36,BRL,Paid
APINV000045,PO000055,VEND00089,2024-11-05,2024-12-20,30271.46,BRL,Paid
APINV000046,PO000056,VEND00095,2024-07-17,2024-08-31,11195.63,BRL,Paid
APINV000047,PO000057,VEND00006,2023-12-20,2024-02-03,17223.92,BRL,Paid
APINV000048,PO000058,VEND00087,2024-06-25,2024-08-09,3044.32,BRL,Paid
APINV000049,PO000060,VEND00002,2024-11-06,2024-12-21,39189.43,BRL,Paid
APINV000050,PO000062,VEND00082,2023-03-25,2023-05-09,4597.77,BRL,Paid
APINV000051,PO000063,VEND00054,2024-10-31,2024-12-15,25734.85,BRL,Paid
APINV000052,PO000065,VEND00025,2023-02-01,2023-03-18,38214.51,BRL,Open
APINV000053,PO000066,VEND00129,2024-02-10,2024-03-26,59374.81,BRL,Open
APINV000054,PO000067,VEND00028,2023-12-24,2024-02-07,29301.38,BRL,Open
APINV000055,PO000070,VEND00073,2024-11-05,2024-12-20,54847.94,BRL,Paid
APINV000056,PO000072,VEND00104,2023-03-05,2023-04-19,16955.71,BRL,Paid
APINV000057,PO000073,VEND00148,2024-03-24,2024-05-08,2728.9,BRL,Open
APINV000058,PO000074,VEND00028,2024-08-02,2024-09-16,4456.88,BRL,Overdue
APINV000059,PO000075,VEND00080,2023-02-02,2023-03-19,46243.69,BRL,Overdue
APINV000060,PO000076,VEND00005,2024-12-21,2025-02-04,6907.93,BRL,Paid
APINV000061,PO000078,VEND00104,2024-07-19,2024-09-02,32487.68,BRL,Open
APINV000062,PO000079,VEND00033,2023-06-19,2023-08-03,46078.93,BRL,Overdue
APINV000063,PO000080,VEND00136,2023-12-26,2024-02-09,21933.47,BRL,Open
APINV000064,PO000081,VEND00129,2024-04-10,2024-05-25,11389.92,BRL,Paid
APINV000065,PO000082,VEND00146,2024-02-05,2024-03-21,54924.82,BRL,Paid
APINV000066,PO000083,VEND00044,2024-02-17,2024-04-02,56905.97,BRL,Paid
APINV000067,PO000084,VEND00091,2023-05-05,2023-06-19,50365.11,BRL,Open
APINV000068,PO000085,VEND00063,2024-09-17,2024-11-01,32985.35,BRL,Paid
APINV000069,PO000087,VEND00086,2024-03-17,2024-05-01,6325.19,BRL,Paid
APINV000070,PO000088,VEND00121,2023-05-28,2023-07-12,2175.75,BRL,Paid
APINV000071,PO000089,VEND00076,2025-01-05,2025-02-19,55155.87,BRL,Paid
APINV000072,PO000090,VEND00144,2023-11-09,2023-12-24,21104.78,BRL,Paid
APINV000073,PO000091,VEND00093,2023-05-09,2023-06-23,4513.8,BRL,Paid
APINV000074,PO000092,VEND00076,2024-08-26,2024-10-10,46687.62,BRL,Open
APINV000075,PO000093,VEND00125,2023-07-28,2023-09-11,57672.97,BRL,Paid
APINV000076,PO000094,VEND00068,2023-11-14,2023-12-29,35574.98,BRL,Paid
APINV000077,PO000095,VEND00146,2024-08-30,2024-10-14,9050.65,BRL,Paid
APINV000078,PO000096,VEND00090,2023-11-06,2023-12-21,47718.71,BRL,Overdue
APINV000079,PO000097,VEND00055,2023-07-14,2023-08-28,11277.96,BRL,Overdue
APINV000080,PO000098,VEND00143,2023-02-11,2023-03-28,14171.0,BRL,Paid
APINV000081,PO000100,VEND00132,2024-12-05,2025-01-19,23324.66,BRL,Paid
APINV000082,PO000102,VEND00097,2024-01-19,2024-03-04,8513.55,BRL,Paid
APINV000083,PO000103,VEND00002,2023-07-04,2023-08-18,51194.66,BRL,Open
APINV000084,PO000104,VEND00097,2023-01-13,2023-02-27,11742.82,BRL,Paid
APINV000085,PO000105,VEND00100,2023-11-18,2024-01-02,38739.16,BRL,Paid
APINV000086,PO000106,VEND00023,2023-07-23,2023-09-06,9297.96,BRL,Paid
APINV000087,PO000107,VEND00128,2023-10-05,2023-11-19,21461.8,BRL,Paid
APINV000088,PO000108,VEND00119,2023-03-03,2023-04-17,49478.05,BRL,Paid
APINV000089,PO000109,VEND00111,2023-04-22,2023-06-06,27351.17,BRL,Paid
APINV000090,PO000110,VEND00023,2024-12-14,2025-01-28,41897.39,BRL,Paid
APINV000091,PO000112,VEND00053,2024-09-28,2024-11-12,43504.4,BRL,Paid
APINV000092,PO000113,VEND00113,2023-07-15,2023-08-29,44222.49,BRL,Overdue
APINV000093,PO000116,VEND00025,2023-03-20,2023-05-04,30091.84,BRL,Paid
APINV000094,PO000118,VEND00127,2023-04-29,2023-06-13,6984.29,BRL,Paid
APINV000095,PO000120,VEND00118,2023-08-20,2023-10-04,10596.73,BRL,Paid
APINV000096,PO000121,VEND00071,2023-04-01,2023-05-16,18399.61,BRL,Paid
APINV000097,PO000122,VEND00140,2023-08-28,2023-10-12,5377.82,BRL,Paid
APINV000098,PO000123,VEND00031,2024-04-10,2024-05-25,10493.37,BRL,Paid
APINV000099,PO000124,VEND00068,2025-01-07,2025-02-21,20939.08,BRL,Overdue
APINV000100,PO000125,VEND00104,2023-05-02,2023-06-16,42565.77,BRL,Paid
APINV000101,PO000126,VEND00013,2023-11-17,2024-01-01,36831.74,BRL,Paid
APINV000102,PO000127,VEND00060,2023-08-01,2023-09-15,6974.21,BRL,Paid
APINV000103,PO000128,VEND00102,2024-02-01,2024-03-17,25147.51,BRL,Paid
APINV000104,PO000130,VEND00018,2023-06-23,2023-08-07,39975.28,BRL,Paid
APINV000105,PO000131,VEND00074,2024-01-01,2024-02-15,3928.49,BRL,Paid
APINV000106,PO000133,VEND00029,2025-01-02,2025-02-16,10061.81,BRL,Paid
APINV000107,PO000134,VEND00150,2023-05-01,2023-06-15,6170.07,BRL,Open
APINV000108,PO000135,VEND00041,2024-10-11,2024-11-25,12780.81,BRL,Paid
APINV000109,PO000137,VEND00122,2024-11-08,2024-12-23,38653.25,BRL,Overdue
APINV000110,PO000138,VEND00143,2024-11-04,2024-12-19,50782.38,BRL,Paid
APINV000111,PO000139,VEND00143,2023-10-18,2023-12-02,28785.72,BRL,Open
APINV000112,PO000140,VEND00019,2023-10-25,2023-12-09,6377.08,BRL,Paid
APINV000113,PO000141,VEND00076,2023-04-06,2023-05-21,22890.21,BRL,Paid
APINV000114,PO000142,VEND00106,2024-06-28,2024-08-12,27300.74,BRL,Paid
APINV000115,PO000143,VEND00078,2023-05-09,2023-06-23,16540.65,BRL,Open
APINV000116,PO000144,VEND00025,2024-12-06,2025-01-20,9916.71,BRL,Paid
APINV000117,PO000147,VEND00017,2023-11-09,2023-12-24,6056.73,BRL,Paid
APINV000118,PO000148,VEND00072,2023-10-26,2023-12-10,58271.63,BRL,Paid
APINV000119,PO000152,VEND00104,2023-07-03,2023-08-17,50607.03,BRL,Open
APINV000120,PO000153,VEND00005,2024-08-12,2024-09-26,57972.03,BRL,Paid
APINV000121,PO000154,VEND00051,2024-07-12,2024-08-26,34790.14,BRL,Paid
APINV000122,PO000156,VEND00035,2024-12-08,2025-01-22,5658.35,BRL,Overdue
APINV000123,PO000157,VEND00044,2024-09-30,2024-11-14,30623.99,BRL,Overdue
APINV000124,PO000160,VEND00092,2023-01-15,2023-03-01,8096.63,BRL,Open
APINV000125,PO000161,VEND00026,2023-12-01,2024-01-15,56994.63,BRL,Paid
APINV000126,PO000163,VEND00109,2024-05-29,2024-07-13,48699.18,BRL,Paid
APINV000127,PO000165,VEND00068,2024-05-11,2024-06-25,5623.74,BRL,Paid
APINV000128,PO000166,VEND00093,2023-04-17,2023-06-01,59838.88,BRL,Paid
APINV000129,PO000167,VEND00004,2023-04-02,2023-05-17,19865.22,BRL,Paid
APINV000130,PO000168,VEND00124,2023-04-01,2023-05-16,6134.62,BRL,Paid
APINV000131,PO000169,VEND00057,2023-03-29,2023-05-13,51540.83,BRL,Paid
APINV000132,PO000170,VEND00083,2024-05-22,2024-07-06,47406.49,BRL,Paid
APINV000133,PO000171,VEND00063,2023-03-01,2023-04-15,7638.61,BRL,Paid
APINV000134,PO000173,VEND00074,2024-03-21,2024-05-05,55570.76,BRL,Paid
APINV000135,PO000175,VEND00032,2023-07-11,2023-08-25,47358.99,BRL,Open
APINV000136,PO000177,VEND00149,2024-05-29,2024-07-13,52795.72,BRL,Paid
APINV000137,PO000178,VEND00143,2024-11-16,2024-12-31,34749.37,BRL,Paid
APINV000138,PO000179,VEND00068,2024-09-01,2024-10-16,17249.43,BRL,Paid
APINV000139,PO000180,VEND00070,2024-09-01,2024-10-16,3288.17,BRL,Open
APINV000140,PO000182,VEND00085,2024-04-08,2024-05-23,41740.31,BRL,Paid
APINV000141,PO000183,VEND00119,2023-11-17,2024-01-01,55329.26,BRL,Open
APINV000142,PO000184,VEND00087,2024-12-13,2025-01-27,20934.1,BRL,Open
APINV000143,PO000185,VEND00036,2024-12-08,2025-01-22,17540.45,BRL,Paid
APINV000144,PO000188,VEND00018,2023-06-18,2023-08-02,58377.3,BRL,Paid
APINV000145,PO000189,VEND00134,2023-11-04,2023-12-19,58478.95,BRL,Paid
APINV000146,PO000190,VEND00115,2023-06-20,2023-08-04,16895.78,BRL,Paid
APINV000147,PO000191,VEND00115,2023-11-26,2024-01-10,12088.21,BRL,Paid
APINV000148,PO000194,VEND00051,2024-10-19,2024-12-03,44715.74,BRL,Open
APINV000149,PO000195,VEND00129,2023-02-14,2023-03-31,49440.03,BRL,Paid
APINV000150,PO000196,VEND00009,2024-01-04,2024-02-18,4871.4,BRL,Paid
APINV000151,PO000198,VEND00140,2024-12-11,2025-01-25,9003.34,BRL,Open
APINV000152,PO000199,VEND00146,2024-12-27,2025-02-10,11250.5,BRL,Open
APINV000153,PO000200,VEND00038,2024-01-27,2024-03-12,50381.62,BRL,Paid
APINV000154,PO000203,VEND00079,2024-12-03,2025-01-17,3983.0,BRL,Paid
APINV000155,PO000204,VEND00105,2024-08-08,2024-09-22,17164.67,BRL,Open
APINV000156,PO000205,VEND00042,2024-07-17,2024-08-31,38489.18,BRL,Paid
APINV000157,PO000207,VEND00021,2023-09-24,2023-11-08,15274.35,BRL,Paid
APINV000158,PO000208,VEND00117,2023-02-16,2023-04-02,11477.44,BRL,Open
APINV000159,PO000209,VEND00020,2024-09-19,2024-11-03,21310.69,BRL,Open
APINV000160,PO000210,VEND00128,2024-03-06,2024-04-20,45188.71,BRL,Paid
APINV000161,PO000211,VEND00010,2024-08-05,2024-09-19,2619.58,BRL,Paid
APINV000162,PO000212,VEND00022,2024-01-29,2024-03-14,51569.56,BRL,Paid
APINV000163,PO000213,VEND00143,2023-01-13,2023-02-27,16875.93,BRL,Paid
APINV000164,PO000215,VEND00041,2023-08-09,2023-09-23,52013.17,BRL,Overdue
APINV000165,PO000216,VEND00053,2024-09-10,2024-10-25,28971.74,BRL,Paid
