gl_account,account_name,account_type,account_group
100000,Cash and Bank,Asset,Balance Sheet
110000,Accounts Receivable,Asset,Balance Sheet
120000,Inventory,Asset,Balance Sheet
150000,Fixed Assets,Asset,Balance Sheet
200000,Accounts Payable,Liability,Balance Sheet
210000,Accrued Liabilities,Liability,Balance Sheet
300000,Share Capital,Equity,Balance Sheet
400000,Production Costs,Expense,P&L
410000,Warehouse & Logistics Costs,Expense,P&L
420000,Sales & Marketing Costs,Expense,P&L
430000,Administrative Costs,Expense,P&L
440000,Payroll Expense,Expense,P&L
500000,Sales Revenue,Revenue,P&L
510000,Freight Revenue,Revenue,P&L
520000,Sales Returns & Allowances,Revenue,P&L
600000,Cost of Goods Sold,Expense,P&L
610000,Freight Expense,Expense,P&L
