document_number,company_code,fiscal_year,posting_date,document_date,document_type,currency,reference,created_by
JE0000001,1000,2024,2024-10-16 01:02:56,2024-10-16 01:02:56,RV,BRL,ARINV001958,johnsonjoshua
JE0000002,1000,2023,2023-11-18 07:22:25,2023-11-18 07:22:25,RV,BRL,ARINV002088,donaldgarcia
JE0000003,1000,2023,2023-12-27 22:29:37,2023-12-27 22:29:37,RV,BRL,ARINV001395,garzaanthony
JE0000004,1000,2023,2023-08-09 05:48:33,2023-08-09 05:48:33,RV,BRL,ARINV001521,robinsonwilliam
JE0000005,1000,2023,2023-11-04 22:49:23,2023-11-04 22:49:23,RV,BRL,ARINV001099,hoffmanjennifer
JE0000006,1000,2023,2023-07-29 01:27:14,2023-07-29 01:27:14,RV,BRL,ARINV000394,lrobinson
JE0000007,1000,2024,2024-10-24 11:46:11,2024-10-24 11:46:11,RV,BRL,ARINV000029,lisa02
JE0000008,1000,2023,2023-07-23 03:23:57,2023-07-23 03:23:57,RV,BRL,ARINV000100,jpeterson
JE0000009,1000,2024,2024-05-23 13:21:00,2024-05-23 13:21:00,RV,BRL,ARINV000352,susanrogers
JE0000010,1000,2023,2023-01-15 10:16:14,2023-01-15 10:16:14,RV,BRL,ARINV002021,jamesmichael
JE0000011,1000,2023,2023-02-13 14:08:10,2023-02-13 14:08:10,RV,BRL,ARINV001353,cassandra07
JE0000012,1000,2023,2023-07-21 00:06:18,2023-07-21 00:06:18,RV,BRL,ARINV001145,dudleynicholas
JE0000013,1000,2024,2024-08-19 01:20:10,2024-08-19 01:20:10,RV,BRL,ARINV002856,maria95
JE0000014,1000,2023,2023-02-26 09:53:13,2023-02-26 09:53:13,RV,BRL,ARINV001226,janetwilliams
JE0000015,1000,2023,2023-07-05 12:09:29,2023-07-05 12:09:29,RV,BRL,ARINV000298,kendragalloway
JE0000016,1000,2024,2024-05-12 23:59:46,2024-05-12 23:59:46,RV,BRL,ARINV001786,michellejames
JE0000017,1000,2023,2023-07-08 09:29:04,2023-07-08 09:29:04,RV,BRL,ARINV000127,xreid
JE0000018,1000,2023,2023-12-20 22:36:13,2023-12-20 22:36:13,RV,BRL,ARINV002758,mitchellclark
JE0000019,1000,2024,2024-10-08 11:55:08,2024-10-08 11:55:08,RV,BRL,ARINV001597,jacqueline19
JE0000020,1000,2024,2024-05-24 10:55:44,2024-05-24 10:55:44,RV,BRL,ARINV002028,amandasanchez
JE0000021,1000,2024,2024-06-23 17:45:19,2024-06-23 17:45:19,RV,BRL,ARINV002997,ogray
JE0000022,1000,2024,2024-09-12 01:43:44,2024-09-12 01:43:44,RV,BRL,ARINV000682,gabriellecameron
JE0000023,1000,2024,2024-11-15 21:30:35,2024-11-15 21:30:35,RV,BRL,ARINV000046,perezantonio
JE0000024,1000,2024,2024-04-10 11:11:12,2024-04-10 11:11:12,RV,BRL,ARINV001437,richard13
JE0000025,1000,2024,2024-11-19 06:03:41,2024-11-19 06:03:41,RV,BRL,ARINV002748,jason76
JE0000026,1000,2023,2023-01-12 09:59:04,2023-01-12 09:59:04,RV,BRL,ARINV000302,ithomas
JE0000027,1000,2024,2024-10-26 11:17:12,2024-10-26 11:17:12,RV,BRL,ARINV002649,julieryan
JE0000028,1000,2024,2024-05-18 05:25:16,2024-05-18 05:25:16,RV,BRL,ARINV001608,zhurst
JE0000029,1000,2023,2023-02-11 14:12:22,2023-02-11 14:12:22,RV,BRL,ARINV000637,jeffrey28
JE0000030,1000,2023,2023-10-22 09:48:25,2023-10-22 09:48:25,RV,BRL,ARINV000548,ddavis
