document_number,line_item,gl_account,debit_credit_indicator,amount,cost_center,profit_center,order_id
JE0000001,1,110000,D,1228.62,,PC010,ORD001958
JE0000001,2,500000,C,1228.62,,PC010,ORD001958
JE0000002,1,110000,D,787.55,,PC011,ORD002088
JE0000002,2,500000,C,787.55,,PC011,ORD002088
JE0000003,1,110000,D,1912.04,,PC002,ORD001395
JE0000003,2,500000,C,1912.04,,PC002,ORD001395
JE0000004,1,110000,D,608.07,,PC003,ORD001521
JE0000004,2,500000,C,608.07,,PC003,ORD001521
JE0000005,1,110000,D,829.72,,PC011,ORD001099
JE0000005,2,500000,C,829.72,,PC011,ORD001099
JE0000006,1,110000,D,1202.54,,PC005,ORD000394
JE0000006,2,500000,C,1202.54,,PC005,ORD000394
JE0000007,1,110000,D,263.13,,PC014,ORD000029
JE0000007,2,500000,C,263.13,,PC014,ORD000029
JE0000008,1,110000,D,168.29,,PC002,ORD000100
JE0000008,2,500000,C,168.29,,PC002,ORD000100
JE0000009,1,110000,D,2522.54,,PC003,ORD000352
JE0000009,2,500000,C,2522.54,,PC003,ORD000352
JE0000010,1,110000,D,575.01,,PC004,ORD002021
JE0000010,2,500000,C,575.01,,PC004,ORD002021
JE0000011,1,110000,D,477.97,,PC013,ORD001353
JE0000011,2,500000,C,477.97,,PC013,ORD001353
JE0000012,1,110000,D,184.93,,PC006,ORD001145
JE0000012,2,500000,C,184.93,,PC006,ORD001145
JE0000013,1,110000,D,585.79,,PC001,ORD002856
JE0000013,2,500000,C,585.79,,PC001,ORD002856
JE0000014,1,110000,D,566.01,,PC002,ORD001226
JE0000014,2,500000,C,566.01,,PC002,ORD001226
JE0000015,1,110000,D,2520.75,,PC013,ORD000298
JE0000015,2,500000,C,2520.75,,PC013,ORD000298
JE0000016,1,110000,D,768.16,,PC007,ORD001786
JE0000016,2,500000,C,768.16,,PC007,ORD001786
JE0000017,1,110000,D,399.75,,PC015,ORD000127
JE0000017,2,500000,C,399.75,,PC015,ORD000127
JE0000018,1,110000,D,611.73,,PC014,ORD002758
JE0000018,2,500000,C,611.73,,PC014,ORD002758
JE0000019,1,110000,D,198.1,,PC005,ORD001597
JE0000019,2,500000,C,198.1,,PC005,ORD001597
JE0000020,1,110000,D,191.62,,PC006,ORD002028
JE0000020,2,500000,C,191.62,,PC006,ORD002028
JE0000021,1,110000,D,602.49,,PC011,ORD002997
JE0000021,2,500000,C,602.49,,PC011,ORD002997
JE0000022,1,110000,D,794.73,,PC002,ORD000682
JE0000022,2,500000,C,794.73,,PC002,ORD000682
JE0000023,1,110000,D,814.05,,PC007,ORD000046
JE0000023,2,500000,C,814.05,,PC007,ORD000046
JE0000024,1,110000,D,446.77,,PC015,ORD001437
JE0000024,2,500000,C,446.77,,PC015,ORD001437
JE0000025,1,110000,D,776.58,,PC014,ORD002748
JE0000025,2,500000,C,776.58,,PC014,ORD002748
JE0000026,1,110000,D,1083.28,,PC007,ORD000302
JE0000026,2,500000,C,1083.28,,PC007,ORD000302
JE0000027,1,110000,D,1871.66,,PC011,ORD002649
JE0000027,2,500000,C,1871.66,,PC011,ORD002649
JE0000028,1,110000,D,1067.18,,PC006,ORD001608
JE0000028,2,500000,C,1067.18,,PC006,ORD001608
JE0000029,1,110000,D,1150.71,,PC013,ORD000637
JE0000029,2,500000,C,1150.71,,PC013,ORD000637
JE0000030,1,110000,D,1534.87,,PC014,ORD000548
JE0000030,2,500000,C,1534.87,,PC014,ORD000548
JE0000031,1,110000,D,389.6,,PC002,ORD001266
JE0000031,2,500000,C,389.6,,PC002,ORD001266
JE0000032,1,110000,D,1243.43,,PC001,ORD001271
JE0000032,2,500000,C,1243.43,,PC001,ORD001271
JE0000033,1,110000,D,139.18,,PC002,ORD000679
JE0000033,2,500000,C,139.18,,PC002,ORD000679
JE0000034,1,110000,D,2278.7,,PC011,ORD002613
JE0000034,2,500000,C,2278.7,,PC011,ORD002613
JE0000035,1,110000,D,581.19,,PC014,ORD002157
JE0000035,2,500000,C,581.19,,PC014,ORD002157
JE0000036,1,110000,D,166.88,,PC012,ORD000706
JE0000036,2,500000,C,166.88,,PC012,ORD000706
JE0000037,1,110000,D,113.59,,PC002,ORD001509
JE0000037,2,500000,C,113.59,,PC002,ORD001509
JE0000038,1,110000,D,182.45,,PC006,ORD000111
JE0000038,2,500000,C,182.45,,PC006,ORD000111
JE0000039,1,110000,D,515.3,,PC007,ORD002354
JE0000039,2,500000,C,515.3,,PC007,ORD002354
JE0000040,1,110000,D,108.12,,PC010,ORD002178
JE0000040,2,500000,C,108.12,,PC010,ORD002178
JE0000041,1,110000,D,1253.82,,PC004,ORD002049
JE0000041,2,500000,C,1253.82,,PC004,ORD002049
JE0000042,1,110000,D,616.94,,PC009,ORD000283
JE0000042,2,500000,C,616.94,,PC009,ORD000283
JE0000043,1,110000,D,345.98,,PC007,ORD001101
JE0000043,2,500000,C,345.98,,PC007,ORD001101
JE0000044,1,110000,D,416.51,,PC013,ORD000561
JE0000044,2,500000,C,416.51,,PC013,ORD000561
JE0000045,1,110000,D,805.67,,PC002,ORD000564
JE0000045,2,500000,C,805.67,,PC002,ORD000564
JE0000046,1,110000,D,322.76,,PC002,ORD000578
JE0000046,2,500000,C,322.76,,PC002,ORD000578
JE0000047,1,110000,D,693.05,,PC008,ORD001820
JE0000047,2,500000,C,693.05,,PC008,ORD001820
JE0000048,1,110000,D,143.07,,PC003,ORD001951
JE0000048,2,500000,C,143.07,,PC003,ORD001951
JE0000049,1,110000,D,1632.7,,PC012,ORD001560
JE0000049,2,500000,C,1632.7,,PC012,ORD001560
JE0000050,1,110000,D,465.95,,PC001,ORD000300
JE0000050,2,500000,C,465.95,,PC001,ORD000300
JE0000051,1,110000,D,82.06,,PC011,ORD001923
JE0000051,2,500000,C,82.06,,PC011,ORD001923
JE0000052,1,110000,D,104.43,,PC003,ORD001066
JE0000052,2,500000,C,104.43,,PC003,ORD001066
JE0000053,1,110000,D,512.13,,PC012,ORD002039
JE0000053,2,500000,C,512.13,,PC012,ORD002039
JE0000054,1,110000,D,1980.84,,PC010,ORD000535
JE0000054,2,500000,C,1980.84,,PC010,ORD000535
JE0000055,1,110000,D,88.16,,PC011,ORD002924
JE0000055,2,500000,C,88.16,,PC011,ORD002924
JE0000056,1,110000,D,1093.86,,PC003,ORD002766
JE0000056,2,500000,C,1093.86,,PC003,ORD002766
JE0000057,1,110000,D,855.18,,PC007,ORD002227
JE0000057,2,500000,C,855.18,,PC007,ORD002227
JE0000058,1,110000,D,601.63,,PC015,ORD000274
JE0000058,2,500000,C,601.63,,PC015,ORD000274
JE0000059,1,110000,D,282.0,,PC013,ORD000395
JE0000059,2,500000,C,282.0,,PC013,ORD000395
JE0000060,1,110000,D,809.07,,PC004,ORD000193
JE0000060,2,500000,C,809.07,,PC004,ORD000193
JE0000061,1,110000,D,485.03,,PC011,ORD000099
JE0000061,2,500000,C,485.03,,PC011,ORD000099
JE0000062,1,110000,D,835.69,,PC013,ORD001202
JE0000062,2,500000,C,835.69,,PC013,ORD001202
JE0000063,1,110000,D,177.24,,PC001,ORD002631
JE0000063,2,500000,C,177.24,,PC001,ORD002631
JE0000064,1,110000,D,703.25,,PC005,ORD002246
JE0000064,2,500000,C,703.25,,PC005,ORD002246
JE0000065,1,110000,D,99.26,,PC003,ORD001229
JE0000065,2,500000,C,99.26,,PC003,ORD001229
JE0000066,1,110000,D,378.61,,PC002,ORD000541
JE0000066,2,500000,C,378.61,,PC002,ORD000541
JE0000067,1,110000,D,403.47,,PC009,ORD002389
JE0000067,2,500000,C,403.47,,PC009,ORD002389
JE0000068,1,110000,D,606.85,,PC004,ORD000042
JE0000068,2,500000,C,606.85,,PC004,ORD000042
JE0000069,1,110000,D,776.03,,PC002,ORD000956
JE0000069,2,500000,C,776.03,,PC002,ORD000956
JE0000070,1,110000,D,776.12,,PC011,ORD002329
JE0000070,2,500000,C,776.12,,PC011,ORD002329
JE0000071,1,110000,D,195.57,,PC014,ORD002621
JE0000071,2,500000,C,195.57,,PC014,ORD002621
JE0000072,1,110000,D,995.38,,PC008,ORD001136
