payroll_id,employee_id,pay_period,gross_pay,deductions,net_pay,pay_date
PAY000001,EMP00002,2024-01,16416.08,2603.39,13812.69,2024-01-28
PAY000002,EMP00002,2024-02,16416.08,2179.27,14236.81,2024-02-28
PAY000003,EMP00002,2024-03,16416.08,2598.29,13817.79,2024-03-28
PAY000004,EMP00003,2024-01,8527.29,1537.17,6990.12,2024-01-28
PAY000005,EMP00003,2024-02,8527.29,1669.45,6857.84,2024-02-28
PAY000006,EMP00003,2024-03,8527.29,1593.77,6933.52,2024-03-28
PAY000007,EMP00004,2024-01,15527.84,3266.2,12261.64,2024-01-28
PAY000008,EMP00004,2024-02,15527.84,3380.2,12147.64,2024-02-28
PAY000009,EMP00004,2024-03,15527.84,2548.04,12979.8,2024-03-28
PAY000010,EMP00005,2024-01,16557.4,2831.76,13725.64,2024-01-28
PAY000011,EMP00005,2024-02,16557.4,2973.05,13584.35,2024-02-28
PAY000012,EMP00005,2024-03,16557.4,1822.53,14734.87,2024-03-28
PAY000013,EMP00006,2024-01,9143.5,1865.48,7278.02,2024-01-28
PAY000014,EMP00006,2024-02,9143.5,1113.75,8029.75,2024-02-28
PAY000015,EMP00006,2024-03,9143.5,1199.8,7943.7,2024-03-28
PAY000016,EMP00007,2024-01,7573.97,1170.66,6403.31,2024-01-28
PAY000017,EMP00007,2024-02,7573.97,1064.14,6509.83,2024-02-28
PAY000018,EMP00007,2024-03,7573.97,1556.88,6017.09,2024-03-28
PAY000019,EMP00008,2024-01,6812.98,1458.96,5354.02,2024-01-28
PAY000020,EMP00008,2024-02,6812.98,1025.95,5787.03,2024-02-28
PAY000021,EMP00008,2024-03,6812.98,1363.89,5449.09,2024-03-28
PAY000022,EMP00009,2024-01,9789.76,1858.91,7930.85,2024-01-28
PAY000023,EMP00009,2024-02,9789.76,1040.16,8749.6,2024-02-28
PAY000024,EMP00009,2024-03,9789.76,2097.26,7692.5,2024-03-28
PAY000025,EMP00010,2024-01,5975.44,646.75,5328.69,2024-01-28
PAY000026,EMP00010,2024-02,5975.44,1283.97,4691.47,2024-02-28
PAY000027,EMP00010,2024-03,5975.44,626.41,5349.03,2024-03-28
PAY000028,EMP00011,2024-01,2980.96,386.55,2594.41,2024-01-28
PAY000029,EMP00011,2024-02,2980.96,598.3,2382.66,2024-02-28
PAY000030,EMP00011,2024-03,2980.96,520.36,2460.6,2024-03-28
PAY000031,EMP00012,2024-01,6197.45,971.93,5225.52,2024-01-28
PAY000032,EMP00012,2024-02,6197.45,704.82,5492.63,2024-02-28
PAY000033,EMP00012,2024-03,6197.45,1324.59,4872.86,2024-03-28
