gr_id,po_id,po_item,material_id,quantity_received,gr_date,plant,warehouse
GR000001,PO000002,1,MAT00200,297,2023-07-29,PL01,WH05
GR000002,PO000002,2,MAT00090,180,2023-08-20,PL01,WH06
GR000003,PO000003,1,MAT00299,164,2024-12-22,PL02,WH05
GR000004,PO000003,2,MAT00227,459,2024-12-08,PL03,WH04
GR000005,PO000003,3,MAT00282,87,2024-12-19,PL03,WH02
GR000006,PO000004,1,MAT00301,323,2024-02-25,PL01,WH04
GR000007,PO000004,2,MAT00001,303,2024-02-12,PL03,WH08
GR000008,PO000004,3,MAT00363,287,2024-02-22,PL01,WH03
GR000009,PO000005,1,MAT00267,475,2023-12-13,PL01,WH06
GR000010,PO000005,2,MAT00074,44,2023-12-12,PL01,WH06
GR000011,PO000005,3,MAT00378,439,2023-12-13,PL01,WH07
GR000012,PO000006,1,MAT00050,488,2024-03-24,PL03,WH03
GR000013,PO000006,2,MAT00200,408,2024-03-06,PL01,WH05
GR000014,PO000006,3,MAT00055,320,2024-03-10,PL03,WH04
GR000015,PO000008,1,MAT00390,201,2024-10-01,PL02,WH03
GR000016,PO000008,2,MAT00288,93,2024-09-17,PL02,WH05
GR000017,PO000008,3,MAT00042,496,2024-10-10,PL03,WH04
GR000018,PO000009,1,MAT00082,453,2023-04-08,PL02,WH04
GR000019,PO000009,2,MAT00277,228,2023-03-18,PL03,WH06
GR000020,PO000010,1,MAT00156,302,2024-02-29,PL03,WH02
GR000021,PO000010,2,MAT00304,241,2024-02-17,PL01,WH01
GR000022,PO000010,3,MAT00241,295,2024-03-08,PL03,WH04
GR000023,PO000011,1,MAT00396,406,2023-11-17,PL01,WH05
GR000024,PO000011,2,MAT00014,323,2023-11-23,PL03,WH08
GR000025,PO000012,1,MAT00107,266,2024-11-22,PL03,WH07
GR000026,PO000012,2,MAT00141,221,2024-10-31,PL01,WH04
GR000027,PO000012,3,MAT00036,461,2024-11-06,PL02,WH02
GR000028,PO000014,1,MAT00020,32,2023-06-29,PL03,WH03
GR000029,PO000014,2,MAT00078,454,2023-07-12,PL03,WH07
GR000030,PO000015,1,MAT00334,157,2023-11-21,PL01,WH01
GR000031,PO000015,2,MAT00210,328,2023-11-20,PL02,WH08
GR000032,PO000016,1,MAT00322,321,2024-07-24,PL03,WH07
GR000033,PO000016,2,MAT00236,105,2024-08-05,PL01,WH04
GR000034,PO000016,3,MAT00213,18,2024-07-17,PL03,WH01
GR000035,PO000017,1,MAT00390,162,2024-11-21,PL01,WH07
GR000036,PO000017,2,MAT00052,101,2024-11-29,PL03,WH08
GR000037,PO000017,3,MAT00112,393,2024-11-22,PL01,WH06
GR000038,PO000018,1,MAT00063,189,2024-02-05,PL01,WH02
GR000039,PO000019,1,MAT00339,119,2024-12-23,PL03,WH02
GR000040,PO000019,2,MAT00177,269,2025-01-09,PL03,WH05
GR000041,PO000020,1,MAT00249,142,2024-04-07,PL02,WH08
GR000042,PO000020,2,MAT00281,276,2024-04-03,PL02,WH04
GR000043,PO000021,1,MAT00117,10,2025-01-14,PL03,WH04
GR000044,PO000023,1,MAT00397,167,2023-11-07,PL02,WH02
GR000045,PO000024,1,MAT00028,380,2024-12-09,PL01,WH06
GR000046,PO000024,2,MAT00327,436,2025-01-01,PL02,WH01
GR000047,PO000026,1,MAT00395,310,2024-05-11,PL02,WH01
GR000048,PO000026,2,MAT00083,39,2024-05-04,PL02,WH05
GR000049,PO000027,1,MAT00088,330,2023-02-14,PL03,WH03
GR000050,PO000027,2,MAT00227,314,2023-03-05,PL02,WH01
GR000051,PO000028,1,MAT00281,459,2023-10-26,PL02,WH05
GR000052,PO000028,2,MAT00135,99,2023-11-06,PL01,WH02
GR000053,PO000029,1,MAT00252,473,2024-04-13,PL02,WH05
GR000054,PO000029,2,MAT00347,407,2024-04-29,PL01,WH04
GR000055,PO000030,1,MAT00201,452,2023-02-12,PL02,WH02
GR000056,PO000030,2,MAT00180,180,2023-02-15,PL01,WH01
GR000057,PO000030,3,MAT00007,305,2023-03-06,PL01,WH04
GR000058,PO000031,1,MAT00299,173,2023-08-14,PL01,WH03
GR000059,PO000031,2,MAT00081,90,2023-07-22,PL03,WH04
GR000060,PO000031,3,MAT00245,287,2023-08-02,PL02,WH05
GR000061,PO000032,1,MAT00236,169,2024-08-28,PL03,WH01
GR000062,PO000034,1,MAT00042,180,2024-04-28,PL03,WH08
GR000063,PO000034,2,MAT00152,300,2024-05-04,PL03,WH02
GR000064,PO000035,1,MAT00389,373,2024-05-02,PL01,WH03
GR000065,PO000035,2,MAT00377,450,2024-04-27,PL02,WH03
GR000066,PO000035,3,MAT00262,368,2024-04-29,PL02,WH08
GR000067,PO000037,1,MAT00373,270,2024-01-21,PL01,WH02
GR000068,PO000038,1,MAT00321,312,2023-12-01,PL01,WH08
GR000069,PO000038,2,MAT00138,206,2023-11-20,PL03,WH07
GR000070,PO000039,1,MAT00186,127,2024-09-01,PL03,WH02
GR000071,PO000039,2,MAT00397,112,2024-08-21,PL03,WH03
GR000072,PO000039,3,MAT00075,61,2024-08-13,PL03,WH06
GR000073,PO000040,1,MAT00104,56,2024-05-30,PL03,WH03
GR000074,PO000042,1,MAT00069,55,2024-04-17,PL03,WH03
GR000075,PO000042,2,MAT00194,446,2024-04-06,PL03,WH01
GR000076,PO000043,1,MAT00258,66,2024-12-29,PL01,WH07
GR000077,PO000043,2,MAT00061,330,2025-01-10,PL02,WH07
GR000078,PO000044,1,MAT00364,253,2024-08-05,PL02,WH07
GR000079,PO000045,1,MAT00064,74,2023-06-14,PL03,WH03
GR000080,PO000045,2,MAT00281,379,2023-07-04,PL02,WH02
GR000081,PO000045,3,MAT00290,80,2023-06-28,PL02,WH03
GR000082,PO000046,1,MAT00092,429,2024-04-27,PL01,WH07
GR000083,PO000046,2,MAT00075,319,2024-05-01,PL03,WH05
GR000084,PO000046,3,MAT00113,220,2024-05-03,PL02,WH01
GR000085,PO000047,1,MAT00376,67,2024-09-01,PL01,WH05
GR000086,PO000047,2,MAT00281,248,2024-08-25,PL03,WH04
GR000087,PO000048,1,MAT00306,352,2024-05-25,PL03,WH01
GR000088,PO000048,2,MAT00064,472,2024-05-30,PL01,WH08
GR000089,PO000048,3,MAT00162,272,2024-05-23,PL03,WH07
GR000090,PO000051,1,MAT00369,268,2023-11-22,PL02,WH03
GR000091,PO000052,1,MAT00153,17,2024-10-17,PL01,WH08
GR000092,PO000052,2,MAT00317,199,2024-10-06,PL03,WH08
GR000093,PO000053,1,MAT00269,159,2023-07-15,PL03,WH08
GR000094,PO000054,1,MAT00338,148,2024-03-25,PL01,WH01
GR000095,PO000055,1,MAT00146,36,2024-11-07,PL02,WH08
GR000096,PO000056,1,MAT00081,371,2024-07-15,PL01,WH01
GR000097,PO000056,2,MAT00388,157,2024-07-20,PL02,WH01
GR000098,PO000056,3,MAT00249,59,2024-07-27,PL02,WH05
GR000099,PO000057,1,MAT00278,140,2023-12-28,PL02,WH04
GR000100,PO000058,1,MAT00269,102,2024-06-21,PL03,WH02
GR000101,PO000058,2,MAT00353,16,2024-07-10,PL01,WH06
GR000102,PO000058,3,MAT00212,122,2024-06-29,PL01,WH01
GR000103,PO000060,1,MAT00178,468,2024-11-06,PL02,WH08
GR000104,PO000062,1,MAT00165,40,2023-03-21,PL01,WH02
GR000105,PO000062,2,MAT00260,261,2023-03-19,PL03,WH03
GR000106,PO000063,1,MAT00033,286,2024-11-02,PL03,WH08
GR000107,PO000065,1,MAT00285,184,2023-01-27,PL03,WH06
GR000108,PO000066,1,MAT00229,372,2024-02-28,PL02,WH07
GR000109,PO000066,2,MAT00388,442,2024-03-07,PL01,WH01
GR000110,PO000066,3,MAT00035,206,2024-03-05,PL02,WH06
GR000111,PO000067,1,MAT00213,38,2024-01-04,PL01,WH06
GR000112,PO000067,2,MAT00251,51,2024-01-07,PL02,WH03
GR000113,PO000070,1,MAT00283,437,2024-10-27,PL01,WH01
GR000114,PO000070,2,MAT00132,182,2024-10-26,PL02,WH04
GR000115,PO000070,3,MAT00340,423,2024-11-11,PL02,WH04
GR000116,PO000072,1,MAT00263,76,2023-03-15,PL01,WH02
GR000117,PO000072,2,MAT00006,243,2023-03-11,PL01,WH02
GR000118,PO000072,3,MAT00323,264,2023-03-12,PL01,WH04
GR000119,PO000073,1,MAT00278,357,2024-03-21,PL03,WH06
GR000120,PO000073,2,MAT00255,438,2024-03-24,PL01,WH06
GR000121,PO000073,3,MAT00113,42,2024-03-22,PL02,WH06
GR000122,PO000074,1,MAT00103,483,2024-08-01,PL01,WH03
GR000123,PO000075,1,MAT00186,9,2023-01-26,PL03,WH07
GR000124,PO000076,1,MAT00076,168,2024-12-23,PL03,WH07
GR000125,PO000076,2,MAT00035,43,2025-01-05,PL03,WH08
GR000126,PO000078,1,MAT00226,404,2024-07-17,PL02,WH04
GR000127,PO000078,2,MAT00397,67,2024-08-04,PL02,WH03
GR000128,PO000079,1,MAT00114,37,2023-06-30,PL01,WH05
GR000129,PO000080,1,MAT00297,32,2023-12-16,PL03,WH03
GR000130,PO000080,2,MAT00229,412,2023-12-30,PL01,WH04
GR000131,PO000081,1,MAT00088,224,2024-04-27,PL02,WH02
GR000132,PO000081,2,MAT00188,176,2024-04-15,PL03,WH04
GR000133,PO000082,1,MAT00089,97,2024-01-29,PL02,WH03
GR000134,PO000083,1,MAT00111,378,2024-02-18,PL02,WH06
GR000135,PO000083,2,MAT00129,75,2024-02-26,PL01,WH03
GR000136,PO000084,1,MAT00310,186,2023-05-10,PL01,WH03
GR000137,PO000084,2,MAT00218,167,2023-05-09,PL01,WH04
GR000138,PO000085,1,MAT00358,152,2024-09-16,PL03,WH04
GR000139,PO000085,2,MAT00229,177,2024-09-10,PL03,WH01
GR000140,PO000087,1,MAT00266,424,2024-03-22,PL02,WH04
GR000141,PO000087,2,MAT00359,52,2024-03-19,PL03,WH04
GR000142,PO000088,1,MAT00028,341,2023-05-23,PL02,WH03
GR000143,PO000089,1,MAT00011,392,2025-01-10,PL02,WH07
GR000144,PO000089,2,MAT00239,104,2025-01-09,PL03,WH01
GR000145,PO000089,3,MAT00131,450,2025-01-09,PL03,WH01
GR000146,PO000090,1,MAT00003,367,2023-11-23,PL03,WH02
GR000147,PO000090,2,MAT00184,327,2023-11-30,PL01,WH01
GR000148,PO000091,1,MAT00231,326,2023-05-10,PL01,WH04
