material_id,product_id,material_type,base_unit,material_group,standard_price
MAT00001,PROD00001,FERT,EA,computers,105.89
MAT00002,PROD00002,FERT,EA,air_conditioning,63.19
MAT00003,PROD00003,FERT,EA,fashion_bags_accessories,155.95
MAT00004,PROD00004,FERT,EA,perfumery,259.93
MAT00005,PROD00005,HALB,EA,home_appliances,91.65
MAT00006,PROD00006,FERT,EA,furniture_decor,569.71
MAT00007,PROD00007,HALB,EA,toys,342.25
MAT00008,PROD00008,FERT,EA,fashion_underwear_beach,155.39
MAT00009,PROD00009,FERT,EA,sports_leisure,585.02
MAT00010,PROD00010,FERT,EA,baby,39.77
MAT00011,PROD00011,FERT,EA,health_beauty,121.18
MAT00012,PROD00012,FERT,EA,fashion_shoes,37.04
MAT00013,PROD00013,FERT,EA,books_general_interest,48.58
MAT00014,PROD00014,FERT,EA,computers,134.23
MAT00015,PROD00015,HALB,EA,watches_gifts,423.56
MAT00016,PROD00016,FERT,EA,home_confort,22.85
MAT00017,PROD00017,HALB,EA,office_furniture,466.6
MAT00018,PROD00018,FERT,EA,perfumery,69.17
MAT00019,PROD00019,FERT,EA,food_drink,695.02
MAT00020,PROD00020,HALB,EA,fashion_shoes,127.69
MAT00021,PROD00021,HALB,EA,toys,424.58
MAT00022,PROD00022,HALB,EA,stationery,576.11
MAT00023,PROD00023,FERT,EA,auto,465.16
MAT00024,PROD00024,FERT,EA,computers,509.69
MAT00025,PROD00025,FERT,EA,fashion_bags_accessories,322.89
MAT00026,PROD00026,FERT,EA,computers,168.57
MAT00027,PROD00027,FERT,EA,signaling_and_security,84.91
MAT00028,PROD00028,FERT,EA,stationery,603.12
MAT00029,PROD00029,FERT,EA,fashion_bags_accessories,299.66
MAT00030,PROD00030,FERT,EA,cine_photo,76.45
MAT00031,PROD00031,FERT,EA,office_furniture,434.18
MAT00032,PROD00032,FERT,EA,air_conditioning,550.87
MAT00033,PROD00033,FERT,EA,furniture_decor,91.09
MAT00034,PROD00034,FERT,EA,garden_tools,99.93
MAT00035,PROD00035,FERT,EA,telephony,580.99
MAT00036,PROD00036,HALB,EA,fashion_underwear_beach,544.66
MAT00037,PROD00037,FERT,EA,fashion_underwear_beach,370.21
MAT00038,PROD00038,FERT,EA,construction_tools_construction,39.97
MAT00039,PROD00039,FERT,EA,perfumery,168.35
MAT00040,PROD00040,HALB,EA,small_appliances,554.79
MAT00041,PROD00041,FERT,EA,watches_gifts,416.44
MAT00042,PROD00042,HALB,EA,furniture_bedroom,535.46
MAT00043,PROD00043,FERT,EA,luggage_accessories,77.42
MAT00044,PROD00044,FERT,EA,cool_stuff,339.23
MAT00045,PROD00045,FERT,EA,fashion_underwear_beach,602.75
MAT00046,PROD00046,FERT,EA,garden_tools,614.97
MAT00047,PROD00047,FERT,EA,toys,140.42
MAT00048,PROD00048,HALB,EA,baby,554.7
MAT00049,PROD00049,FERT,EA,office_furniture,91.3
MAT00050,PROD00050,FERT,EA,furniture_decor,461.64
MAT00051,PROD00051,FERT,EA,perfumery,227.97
MAT00052,PROD00052,FERT,EA,telephony,116.8
MAT00053,PROD00053,FERT,EA,health_beauty,185.01
MAT00054,PROD00054,HALB,EA,sports_leisure,302.26
MAT00055,PROD00055,FERT,EA,market_place,200.14
MAT00056,PROD00056,FERT,EA,housewares,530.93
MAT00057,PROD00057,FERT,EA,industry_commerce_and_business,550.81
MAT00058,PROD00058,FERT,EA,bed_bath_table,265.45
MAT00059,PROD00059,FERT,EA,perfumery,185.11
MAT00060,PROD00060,FERT,EA,computers_accessories,247.61
MAT00061,PROD00061,HALB,EA,pet_shop,517.69
MAT00062,PROD00062,HALB,EA,construction_tools_construction,464.91
MAT00063,PROD00063,HALB,EA,fashion_underwear_beach,318.15
MAT00064,PROD00064,FERT,EA,electronics,121.64
MAT00065,PROD00065,FERT,EA,baby,286.39
MAT00066,PROD00066,FERT,EA,baby,389.9
MAT00067,PROD00067,FERT,EA,cine_photo,497.69
MAT00068,PROD00068,FERT,EA,toys,675.55
MAT00069,PROD00069,FERT,EA,furniture_living_room,72.85
MAT00070,PROD00070,FERT,EA,cool_stuff,648.84
MAT00071,PROD00071,FERT,EA,stationery,54.22
MAT00072,PROD00072,FERT,EA,fashion_underwear_beach,65.23
MAT00073,PROD00073,FERT,EA,computers,275.18
MAT00074,PROD00074,HALB,EA,computers_accessories,433.64
MAT00075,PROD00075,FERT,EA,perfumery,501.01
MAT00076,PROD00076,FERT,EA,fashion_male_clothing,662.54
MAT00077,PROD00077,HALB,EA,stationery,451.8
MAT00078,PROD00078,FERT,EA,stationery,149.18
MAT00079,PROD00079,FERT,EA,air_conditioning,564.7
MAT00080,PROD00080,FERT,EA,home_appliances,33.19
MAT00081,PROD00081,FERT,EA,furniture_living_room,365.91
MAT00082,PROD00082,FERT,EA,garden_tools,126.94
MAT00083,PROD00083,FERT,EA,musical_instruments,175.09
MAT00084,PROD00084,FERT,EA,home_appliances,118.64
MAT00085,PROD00085,HALB,EA,sports_leisure,547.97
MAT00086,PROD00086,FERT,EA,toys,282.65
MAT00087,PROD00087,FERT,EA,home_confort,367.24
MAT00088,PROD00088,HALB,EA,home_appliances,57.35
MAT00089,PROD00089,FERT,EA,health_beauty,206.3
MAT00090,PROD00090,HALB,EA,stationery,641.36
MAT00091,PROD00091,FERT,EA,luggage_accessories,674.67
MAT00092,PROD00092,FERT,EA,fashion_bags_accessories,428.39
MAT00093,PROD00093,FERT,EA,consoles_games,651.5
MAT00094,PROD00094,FERT,EA,home_appliances,190.16
MAT00095,PROD00095,FERT,EA,toys,83.46
MAT00096,PROD00096,FERT,EA,office_furniture,213.03
