po_id,po_item,material_id,quantity,unit_price,delivery_date,plant
PO000001,1,MAT00235,207,156.41,2023-05-08,PL03
PO000001,2,MAT00392,373,71.95,2023-05-06,PL02
PO000001,3,MAT00239,453,391.34,2023-04-28,PL01
PO000002,1,MAT00200,297,602.72,2023-07-28,PL01
PO000002,2,MAT00090,180,322.54,2023-08-20,PL01
PO000003,1,MAT00299,164,159.64,2024-12-22,PL02
PO000003,2,MAT00227,459,256.56,2024-12-06,PL03
PO000003,3,MAT00282,87,227.43,2024-12-18,PL03
PO000004,1,MAT00301,323,568.27,2024-02-22,PL01
PO000004,2,MAT00001,303,106.06,2024-02-10,PL03
PO000004,3,MAT00363,287,92.6,2024-02-21,PL01
PO000005,1,MAT00267,475,94.83,2023-12-12,PL01
PO000005,2,MAT00074,44,365.81,2023-12-11,PL01
PO000005,3,MAT00378,439,572.73,2023-12-11,PL01
PO000006,1,MAT00050,488,535.53,2024-03-22,PL03
PO000006,2,MAT00200,408,128.65,2024-03-06,PL01
PO000006,3,MAT00055,320,372.04,2024-03-09,PL03
PO000007,1,MAT00131,362,508.65,2024-12-13,PL03
PO000008,1,MAT00390,201,126.11,2024-09-28,PL02
PO000008,2,MAT00288,93,132.07,2024-09-17,PL02
PO000008,3,MAT00042,496,273.17,2024-10-09,PL03
PO000009,1,MAT00082,453,404.15,2023-04-05,PL02
PO000009,2,MAT00277,228,267.92,2023-03-15,PL03
PO000010,1,MAT00156,302,389.22,2024-02-29,PL03
PO000010,2,MAT00304,241,301.33,2024-02-14,PL01
PO000010,3,MAT00241,295,256.71,2024-03-08,PL03
PO000011,1,MAT00396,406,539.33,2023-11-14,PL01
PO000011,2,MAT00014,323,598.02,2023-11-22,PL03
PO000012,1,MAT00107,266,80.66,2024-11-21,PL03
PO000012,2,MAT00141,221,215.66,2024-10-28,PL01
PO000012,3,MAT00036,461,299.91,2024-11-05,PL02
PO000013,1,MAT00264,334,241.01,2023-04-25,PL03
PO000013,2,MAT00334,206,474.65,2023-04-25,PL03
PO000014,1,MAT00020,32,501.22,2023-06-28,PL03
PO000014,2,MAT00078,454,100.84,2023-07-12,PL03
PO000015,1,MAT00334,157,410.18,2023-11-20,PL01
PO000015,2,MAT00210,328,499.38,2023-11-17,PL02
PO000016,1,MAT00322,461,324.81,2024-07-21,PL03
PO000016,2,MAT00236,236,58.98,2024-08-03,PL01
PO000016,3,MAT00213,35,126.67,2024-07-16,PL03
PO000017,1,MAT00390,162,220.57,2024-11-21,PL01
PO000017,2,MAT00052,101,111.58,2024-11-28,PL03
PO000017,3,MAT00112,393,379.7,2024-11-20,PL01
PO000018,1,MAT00063,398,282.34,2024-02-04,PL01
PO000019,1,MAT00339,279,273.63,2024-12-23,PL03
PO000019,2,MAT00177,302,476.49,2025-01-06,PL03
PO000020,1,MAT00249,142,345.3,2024-04-06,PL02
PO000020,2,MAT00281,276,476.14,2024-04-02,PL02
