po_id,vendor_id,po_date,company_code,currency,status
PO000001,VEND00119,2023-04-21,1000,BRL,Open
PO000002,VEND00052,2023-07-23,1000,BRL,Completed
PO000003,VEND00114,2024-12-01,1000,BRL,Completed
PO000004,VEND00097,2024-01-27,1000,BRL,Completed
PO000005,VEND00096,2023-11-13,1000,BRL,Completed
PO000006,VEND00076,2024-02-26,1000,BRL,Completed
PO000007,VEND00145,2024-12-04,1000,BRL,Open
PO000008,VEND00144,2024-09-11,1000,BRL,Completed
PO000009,VEND00144,2023-03-09,1000,BRL,Completed
PO000010,VEND00046,2024-02-08,1000,BRL,Completed
PO000011,VEND00111,2023-10-26,1000,BRL,Completed
PO000012,VEND00048,2024-10-23,1000,BRL,Completed
PO000013,VEND00114,2023-04-04,1000,BRL,Open
PO000014,VEND00019,2023-06-13,1000,BRL,Completed
PO000015,VEND00134,2023-11-12,1000,BRL,Completed
PO000016,VEND00125,2024-07-10,1000,BRL,Partially Received
PO000017,VEND00027,2024-11-14,1000,BRL,Completed
PO000018,VEND00127,2024-01-13,1000,BRL,Partially Received
PO000019,VEND00108,2024-12-12,1000,BRL,Partially Received
PO000020,VEND00056,2024-03-13,1000,BRL,Completed
PO000021,VEND00031,2024-12-26,1000,BRL,Completed
PO000022,VEND00091,2024-09-22,1000,BRL,Cancelled
PO000023,VEND00022,2023-10-16,1000,BRL,Completed
PO000024,VEND00050,2024-12-03,1000,BRL,Completed
PO000025,VEND00080,2024-10-23,1000,BRL,Open
PO000026,VEND00084,2024-04-18,1000,BRL,Partially Received
PO000027,VEND00018,2023-02-01,1000,BRL,Completed
PO000028,VEND00039,2023-10-06,1000,BRL,Completed
PO000029,VEND00113,2024-03-30,1000,BRL,Completed
PO000030,VEND00016,2023-02-07,1000,BRL,Completed
PO000031,VEND00050,2023-07-17,1000,BRL,Completed
PO000032,VEND00027,2024-08-10,1000,BRL,Completed
PO000033,VEND00019,2023-05-14,1000,BRL,Open
PO000034,VEND00032,2024-04-01,1000,BRL,Completed
PO000035,VEND00124,2024-04-11,1000,BRL,Completed
PO000036,VEND00030,2023-01-31,1000,BRL,Open
PO000037,VEND00095,2023-12-23,1000,BRL,Completed
PO000038,VEND00062,2023-11-06,1000,BRL,Completed
PO000039,VEND00146,2024-08-03,1000,BRL,Partially Received
PO000040,VEND00094,2024-05-21,1000,BRL,Completed
PO000041,VEND00137,2024-11-07,1000,BRL,Open
PO000042,VEND00031,2024-03-21,1000,BRL,Completed
PO000043,VEND00130,2024-12-21,1000,BRL,Completed
PO000044,VEND00103,2024-07-12,1000,BRL,Completed
PO000045,VEND00007,2023-06-07,1000,BRL,Completed
PO000046,VEND00016,2024-04-10,1000,BRL,Completed
PO000047,VEND00110,2024-08-04,1000,BRL,Completed
PO000048,VEND00078,2024-04-28,1000,BRL,Completed
PO000049,VEND00098,2023-12-28,1000,BRL,Cancelled
PO000050,VEND00070,2023-09-24,1000,BRL,Open
PO000051,VEND00120,2023-10-21,1000,BRL,Completed
PO000052,VEND00012,2024-09-22,1000,BRL,Completed
PO000053,VEND00082,2023-07-05,1000,BRL,Partially Received
PO000054,VEND00118,2024-02-27,1000,BRL,Partially Received
PO000055,VEND00089,2024-10-19,1000,BRL,Completed
PO000056,VEND00095,2024-06-29,1000,BRL,Completed
PO000057,VEND00006,2023-12-10,1000,BRL,Completed
PO000058,VEND00087,2024-06-16,1000,BRL,Completed
PO000059,VEND00096,2024-09-26,1000,BRL,Open
PO000060,VEND00002,2024-10-25,1000,BRL,Completed
PO000061,VEND00053,2024-11-07,1000,BRL,Cancelled
PO000062,VEND00082,2023-03-05,1000,BRL,Completed
PO000063,VEND00054,2024-10-22,1000,BRL,Completed
PO000064,VEND00103,2023-09-23,1000,BRL,Open
PO000065,VEND00025,2023-01-20,1000,BRL,Partially Received
PO000066,VEND00129,2024-02-05,1000,BRL,Completed
PO000067,VEND00028,2023-12-08,1000,BRL,Completed
PO000068,VEND00112,2024-07-21,1000,BRL,Open
