vendor_id,vendor_name,seller_id,country,payment_terms,currency
VEND00001,Ramirez Group,SELL00001,BR,NET30,BRL
VEND00002,Ryan Ltd,SELL00002,BR,NET60,BRL
VEND00003,"Johnston, Sanchez and Kennedy",SELL00003,BR,NET60,BRL
VEND00004,Lee-Davis,SELL00004,BR,NET30,BRL
VEND00005,Gomez-Jenkins,SELL00005,BR,NET60,BRL
VEND00006,"Brown, Valdez and Lucas",SELL00006,BR,NET15,BRL
VEND00007,Powell LLC,SELL00007,BR,NET15,BRL
VEND00008,Wright and Sons,SELL00008,BR,NET15,BRL
VEND00009,"West, Henderson and Ramirez",SELL00009,BR,NET30,BRL
VEND00010,Baxter Inc,SELL00010,BR,NET15,BRL
VEND00011,Morton-Chase,SELL00011,BR,NET45,BRL
VEND00012,Williams PLC,SELL00012,BR,NET45,BRL
VEND00013,Novak and Sons,SELL00013,BR,NET45,BRL
VEND00014,Russell Group,SELL00014,BR,NET15,BRL
VEND00015,Hancock Inc,SELL00015,BR,NET60,BRL
VEND00016,Gray Group,SELL00016,BR,NET45,BRL
VEND00017,House-Glover,SELL00017,BR,NET60,BRL
VEND00018,Henderson-Bernard,SELL00018,BR,NET60,BRL
VEND00019,"Stanley, Tucker and Lee",SELL00019,BR,NET30,BRL
VEND00020,Novak PLC,SELL00020,BR,NET45,BRL
VEND00021,"Daniels, Adkins and Brown",SELL00021,BR,NET30,BRL
VEND00022,"Woods, Calhoun and Schmidt",SELL00022,BR,NET30,BRL
VEND00023,Yu Inc,SELL00023,BR,NET30,BRL
VEND00024,Jones Inc,SELL00024,BR,NET15,BRL
VEND00025,"Hensley, Powell and David",SELL00025,BR,NET30,BRL
VEND00026,"Sanchez, Wheeler and Harvey",SELL00026,BR,NET60,BRL
VEND00027,Sandoval-Cunningham,SELL00027,BR,NET45,BRL
VEND00028,Donovan-Harris,SELL00028,BR,NET60,BRL
VEND00029,"Edwards, Baker and Anderson",SELL00029,BR,NET45,BRL
VEND00030,"Evans, Stewart and Walton",SELL00030,BR,NET15,BRL
VEND00031,Smith PLC,SELL00031,BR,NET45,BRL
VEND00032,"Ferrell, Jones and Lewis",SELL00032,BR,NET45,BRL
VEND00033,Anderson-Bailey,SELL00033,BR,NET45,BRL
VEND00034,Suarez LLC,SELL00034,BR,NET45,BRL
VEND00035,Moore-Bass,SELL00035,BR,NET60,BRL
VEND00036,"Turner, Riggs and Roman",SELL00036,BR,NET45,BRL
VEND00037,"Smith, Montoya and Evans",SELL00037,BR,NET30,BRL
VEND00038,"Garcia, Humphrey and Baker",SELL00038,BR,NET45,BRL
VEND00039,Newton and Sons,SELL00039,BR,NET30,BRL
VEND00040,Campbell-Clark,SELL00040,BR,NET15,BRL
VEND00041,Harris-Walters,SELL00041,BR,NET30,BRL
VEND00042,Wagner-King,SELL00042,BR,NET60,BRL
VEND00043,Davis Group,SELL00043,BR,NET30,BRL
VEND00044,Williams-Cook,SELL00044,BR,NET60,BRL
VEND00045,Walsh LLC,SELL00045,BR,NET30,BRL
VEND00046,Figueroa PLC,SELL00046,BR,NET45,BRL
VEND00047,"Patterson, Smith and Jones",SELL00047,BR,NET15,BRL
VEND00048,"Mckee, Gardner and Davenport",SELL00048,BR,NET60,BRL
VEND00049,"Tran, Jordan and Williams",SELL00049,BR,NET60,BRL
VEND00050,Nolan-Flynn,SELL00050,BR,NET45,BRL
VEND00051,Nolan and Sons,SELL00051,BR,NET45,BRL
VEND00052,"Wright, Garcia and Deleon",SELL00052,BR,NET30,BRL
VEND00053,Dickson-Brady,SELL00053,BR,NET60,BRL
VEND00054,Hancock and Sons,SELL00054,BR,NET30,BRL
VEND00055,Johnson-Doyle,SELL00055,BR,NET45,BRL
