bom_id,material_id,component_material_id,quantity,unit
BOM000001,MAT00001,MAT00300,4.8,EA
BOM000002,MAT00001,MAT00048,3.5,EA
BOM000003,MAT00001,MAT00020,2.94,EA
BOM000004,MAT00002,MAT00074,1.92,EA
BOM000005,MAT00002,MAT00042,4.42,EA
BOM000006,MAT00003,MAT00063,8.63,EA
BOM000007,MAT00003,MAT00170,6.43,EA
BOM000008,MAT00004,MAT00221,7.57,EA
BOM000009,MAT00006,MAT00309,2.12,EA
BOM000010,MAT00006,MAT00248,9.3,EA
BOM000011,MAT00006,MAT00021,1.71,EA
BOM000012,MAT00008,MAT00371,8.46,EA
BOM000013,MAT00008,MAT00063,6.57,EA
BOM000014,MAT00009,MAT00155,6.2,EA
BOM000015,MAT00009,MAT00017,7.34,EA
BOM000016,MAT00010,MAT00306,6.95,EA
BOM000017,MAT00011,MAT00218,9.87,EA
BOM000018,MAT00011,MAT00309,8.7,EA
BOM000019,MAT00012,MAT00118,4.42,EA
BOM000020,MAT00013,MAT00077,6.72,EA
BOM000021,MAT00013,MAT00124,4.28,EA
BOM000022,MAT00014,MAT00021,4.2,EA
BOM000023,MAT00014,MAT00159,7.03,EA
BOM000024,MAT00016,MAT00074,9.43,EA
BOM000025,MAT00016,MAT00270,6.83,EA
BOM000026,MAT00016,MAT00218,6.48,EA
BOM000027,MAT00018,MAT00355,5.81,EA
BOM000028,MAT00019,MAT00127,2.47,EA
BOM000029,MAT00023,MAT00040,3.43,EA
BOM000030,MAT00023,MAT00074,9.33,EA
BOM000031,MAT00024,MAT00248,6.01,EA
BOM000032,MAT00024,MAT00129,7.16,EA
BOM000033,MAT00024,MAT00277,8.59,EA
BOM000034,MAT00025,MAT00170,3.06,EA
BOM000035,MAT00026,MAT00110,8.25,EA
BOM000036,MAT00027,MAT00224,3.41,EA
BOM000037,MAT00027,MAT00155,2.9,EA
BOM000038,MAT00028,MAT00062,8.89,EA
BOM000039,MAT00028,MAT00320,3.83,EA
BOM000040,MAT00028,MAT00170,6.9,EA
BOM000041,MAT00029,MAT00151,8.96,EA
BOM000042,MAT00029,MAT00048,6.79,EA
BOM000043,MAT00030,MAT00113,3.38,EA
BOM000044,MAT00031,MAT00212,7.7,EA
BOM000045,MAT00032,MAT00225,3.36,EA
BOM000046,MAT00032,MAT00129,6.26,EA
BOM000047,MAT00032,MAT00238,9.08,EA
BOM000048,MAT00033,MAT00007,4.26,EA
BOM000049,MAT00033,MAT00129,9.98,EA
BOM000050,MAT00034,MAT00400,5.59,EA
BOM000051,MAT00035,MAT00061,7.8,EA
BOM000052,MAT00037,MAT00269,2.38,EA
BOM000053,MAT00038,MAT00248,8.13,EA
BOM000054,MAT00039,MAT00355,6.37,EA
BOM000055,MAT00039,MAT00206,4.46,EA
BOM000056,MAT00041,MAT00170,9.97,EA
BOM000057,MAT00041,MAT00232,5.76,EA
BOM000058,MAT00041,MAT00224,9.74,EA
BOM000059,MAT00043,MAT00007,7.12,EA
BOM000060,MAT00044,MAT00118,7.14,EA
BOM000061,MAT00045,MAT00348,7.76,EA
BOM000062,MAT00045,MAT00155,7.92,EA
BOM000063,MAT00045,MAT00286,4.06,EA
BOM000064,MAT00046,MAT00247,4.91,EA
BOM000065,MAT00046,MAT00383,5.08,EA
BOM000066,MAT00047,MAT00180,8.88,EA
BOM000067,MAT00047,MAT00383,3.37,EA
BOM000068,MAT00047,MAT00248,5.51,EA
BOM000069,MAT00049,MAT00232,5.57,EA
BOM000070,MAT00050,MAT00341,8.83,EA
BOM000071,MAT00051,MAT00097,8.58,EA
BOM000072,MAT00051,MAT00264,5.57,EA
BOM000073,MAT00052,MAT00020,2.38,EA
BOM000074,MAT00053,MAT00248,5.85,EA
BOM000075,MAT00055,MAT00237,9.27,EA
BOM000076,MAT00055,MAT00379,6.39,EA
BOM000077,MAT00055,MAT00175,5.4,EA
BOM000078,MAT00056,MAT00355,9.36,EA
BOM000079,MAT00057,MAT00260,3.16,EA
BOM000080,MAT00057,MAT00144,3.17,EA
BOM000081,MAT00058,MAT00175,9.52,EA
BOM000082,MAT00058,MAT00248,1.77,EA
BOM000083,MAT00058,MAT00285,5.37,EA
BOM000084,MAT00059,MAT00097,9.8,EA
BOM000085,MAT00060,MAT00048,7.89,EA
BOM000086,MAT00060,MAT00097,2.16,EA
BOM000087,MAT00060,MAT00200,5.28,EA
BOM000088,MAT00064,MAT00278,2.49,EA
BOM000089,MAT00064,MAT00264,5.75,EA
BOM000090,MAT00064,MAT00110,6.46,EA
BOM000091,MAT00065,MAT00343,9.36,EA
BOM000092,MAT00066,MAT00327,7.21,EA
BOM000093,MAT00066,MAT00254,7.42,EA
BOM000094,MAT00066,MAT00248,4.59,EA
BOM000095,MAT00067,MAT00278,6.85,EA
BOM000096,MAT00067,MAT00344,4.94,EA
BOM000097,MAT00067,MAT00378,5.66,EA
BOM000098,MAT00068,MAT00005,3.23,EA
BOM000099,MAT00069,MAT00122,4.04,EA
BOM000100,MAT00070,MAT00170,5.99,EA
BOM000101,MAT00070,MAT00144,6.3,EA
BOM000102,MAT00070,MAT00206,1.06,EA
BOM000103,MAT00071,MAT00151,6.68,EA
BOM000104,MAT00071,MAT00400,3.06,EA
BOM000105,MAT00071,MAT00198,9.15,EA
BOM000106,MAT00072,MAT00371,1.64,EA
BOM000107,MAT00072,MAT00225,3.14,EA
BOM000108,MAT00073,MAT00304,5.37,EA
BOM000109,MAT00073,MAT00344,5.85,EA
BOM000110,MAT00073,MAT00273,7.51,EA
BOM000111,MAT00075,MAT00155,6.19,EA
BOM000112,MAT00075,MAT00152,3.19,EA
BOM000113,MAT00075,MAT00063,5.26,EA
BOM000114,MAT00076,MAT00212,2.71,EA
BOM000115,MAT00076,MAT00310,1.87,EA
BOM000116,MAT00078,MAT00345,4.19,EA
BOM000117,MAT00078,MAT00180,4.7,EA
BOM000118,MAT00079,MAT00042,1.49,EA
BOM000119,MAT00079,MAT00367,6.88,EA
BOM000120,MAT00079,MAT00277,6.82,EA
BOM000121,MAT00080,MAT00175,4.62,EA
BOM000122,MAT00081,MAT00352,8.21,EA
BOM000123,MAT00081,MAT00355,1.98,EA
BOM000124,MAT00082,MAT00192,2.71,EA
BOM000125,MAT00083,MAT00144,2.26,EA
BOM000126,MAT00083,MAT00085,2.65,EA
