production_order_id,material_id,plant,work_center_id,order_quantity,planned_start_date,planned_end_date,actual_start_date,actual_end_date,status
PRO000001,MAT00295,PL01,WC004,1759,2024-05-25,2024-05-30,2024-05-26,2024-06-02,Completed
PRO000002,MAT00187,PL02,WC011,440,2024-04-28,2024-05-02,2024-04-28,2024-05-05,Completed
PRO000003,MAT00205,PL03,WC001,746,2024-06-04,2024-06-07,2024-06-05,2024-06-12,Confirmed
PRO000004,MAT00037,PL03,WC005,1765,2023-10-01,2023-10-02,2023-10-02,,In Process
PRO000005,MAT00265,PL03,WC006,1041,2024-08-16,2024-08-24,2024-08-17,2024-08-26,Confirmed
PRO000006,MAT00380,PL02,WC012,1960,2023-12-07,2023-12-16,2023-12-08,2023-12-16,Confirmed
PRO000007,MAT00186,PL02,WC002,139,2023-07-13,2023-07-17,2023-07-13,2023-07-20,Completed
PRO000008,MAT00094,PL02,WC002,361,2024-04-29,2024-05-06,2024-05-01,2024-05-12,Completed
PRO000009,MAT00199,PL02,WC008,1831,2023-02-07,2023-02-10,2023-02-09,2023-02-15,Completed
PRO000010,MAT00045,PL01,WC013,1529,2024-03-26,2024-03-28,2024-03-27,2024-03-28,Completed
PRO000011,MAT00250,PL01,WC013,1650,2024-02-24,2024-02-27,,,Planned
PRO000012,MAT00395,PL02,WC004,1794,2023-12-13,2023-12-23,2023-12-15,2023-12-17,Completed
PRO000013,MAT00205,PL02,WC012,1521,2024-11-21,2024-11-30,2024-11-22,2024-12-03,Completed
PRO000014,MAT00255,PL02,WC002,1451,2024-07-08,2024-07-09,2024-07-08,2024-07-19,Completed
PRO000015,MAT00227,PL02,WC010,1491,2023-08-21,2023-08-23,2023-08-21,2023-09-01,Completed
PRO000016,MAT00160,PL01,WC007,714,2024-03-30,2024-04-02,2024-03-30,2024-03-31,Completed
PRO000017,MAT00139,PL01,WC015,1137,2023-10-28,2023-11-03,2023-10-28,2023-11-01,Completed
PRO000018,MAT00018,PL02,WC007,1298,2024-08-02,2024-08-05,2024-08-02,,In Process
PRO000019,MAT00028,PL02,WC010,525,2024-09-26,2024-09-30,2024-09-28,2024-10-01,Completed
PRO000020,MAT00271,PL02,WC003,1890,2024-10-15,2024-10-20,2024-10-17,2024-10-18,Completed
PRO000021,MAT00246,PL02,WC003,1985,2023-10-22,2023-10-31,2023-10-23,,In Process
PRO000022,MAT00370,PL02,WC007,562,2024-08-24,2024-08-29,2024-08-25,2024-09-06,Completed
PRO000023,MAT00176,PL02,WC008,535,2023-11-06,2023-11-10,2023-11-07,2023-11-09,Confirmed
PRO000024,MAT00398,PL02,WC005,94,2024-08-08,2024-08-14,2024-08-10,2024-08-15,Completed
PRO000025,MAT00100,PL03,WC006,1821,2024-02-10,2024-02-15,,,Planned
PRO000026,MAT00076,PL03,WC014,1293,2023-02-20,2023-03-02,2023-02-21,2023-02-25,Confirmed
PRO000027,MAT00143,PL02,WC007,1621,2023-08-13,2023-08-17,2023-08-15,2023-08-27,Completed
PRO000028,MAT00089,PL03,WC014,130,2024-11-28,2024-12-01,2024-11-30,2024-12-11,Completed
PRO000029,MAT00029,PL02,WC006,234,2024-03-27,2024-03-28,2024-03-29,2024-04-01,Completed
PRO000030,MAT00398,PL02,WC009,1660,2023-12-01,2023-12-08,2023-12-01,,In Process
PRO000031,MAT00299,PL03,WC014,576,2024-01-10,2024-01-19,2024-01-11,2024-01-14,Completed
PRO000032,MAT00013,PL02,WC013,338,2023-10-30,2023-11-05,2023-10-31,2023-11-02,Confirmed
PRO000033,MAT00041,PL01,WC015,234,2024-11-23,2024-11-30,2024-11-25,2024-12-01,Confirmed
PRO000034,MAT00087,PL02,WC014,1427,2023-01-15,2023-01-20,2023-01-16,2023-01-22,Completed
PRO000035,MAT00256,PL03,WC006,271,2024-11-19,2024-11-24,2024-11-21,2024-11-27,Completed
PRO000036,MAT00116,PL03,WC011,1860,2023-08-28,2023-09-05,,,Planned
PRO000037,MAT00377,PL03,WC014,1351,2023-12-02,2023-12-12,2023-12-02,,In Process
PRO000038,MAT00057,PL02,WC013,142,2024-12-18,2024-12-23,2024-12-18,2024-12-21,Completed
PRO000039,MAT00256,PL01,WC013,530,2023-11-08,2023-11-16,,,Planned
