work_center_id,work_center_name,plant,capacity_hours
WC001,Assembly Line 1,PL03,11
WC002,Packaging Line 2,PL01,16
WC003,Cutting Line 3,PL01,15
WC004,Painting Line 4,PL01,11
WC005,Quality Check Line 5,PL03,10
WC006,Welding Line 6,PL03,21
WC007,Molding Line 7,PL01,8
WC008,Finishing Line 8,PL01,14
WC009,Inspection Line 9,PL01,24
WC010,Sorting Line 10,PL03,8
WC011,Labeling Line 11,PL03,14
WC012,Testing Line 12,PL03,21
WC013,Machining Line 13,PL01,22
WC014,Sewing Line 14,PL03,16
WC015,Curing Line 15,PL01,13
